#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.202435 (z=3.939857)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.202435 (z=3.939857) stellar mass
#sm range: 10.75 - 11.25
#HM    Stats: 2.764710e+12 (median) + 1.883820e+12  / - 8.338301e+11
#SM    Stats: 7.332020e+10 (median) + 2.811979e+10  / - 1.275510e+10
#ObsSM Stats: 7.359570e+10 (median) + 8.727029e+10  / - 3.795960e+10
#VMP   Stats: 3.797500e+02 (median) + 7.394000e+01  / - 4.328000e+01
#ICL   Stats: 3.821540e+08 (median) + 7.809960e+08  / - 2.895017e+08
#SSFR  Stats: 1.691092e-09 (median) + 3.434497e-09  / - 1.679188e-09
sfh 0.055623 0 0 0 #avg: 8.85921e-19; avg_err: 6.55263e-19; sd: 1.58622e-17; counts: 587
sfh 0.060123 0 0 0 #avg: 4.97841e-14; avg_err: 9.73339e-15; sd: 2.3562e-13; counts: 587
sfh 0.062373 0 1.93245e-14 0 #avg: 2.77552e-13; avg_err: 4.40671e-14; sd: 1.06675e-12; counts: 587
sfh 0.064623 0 8.40265e-13 0 #avg: 6.7254e-13; avg_err: 7.72344e-14; sd: 1.86965e-12; counts: 587
sfh 0.066873 0 2.63126e-12 0 #avg: 1.53383e-12; avg_err: 1.542e-13; sd: 3.73278e-12; counts: 587
sfh 0.069123 5.12866e-16 7.14058e-12 5.12866e-16 #avg: 3.48766e-12; avg_err: 3.02442e-13; sd: 7.32136e-12; counts: 587
sfh 0.071373 4.6112e-13 1.41205e-11 4.6112e-13 #avg: 6.54307e-12; avg_err: 5.61041e-13; sd: 1.35814e-11; counts: 587
sfh 0.073623 1.31691e-12 1.72367e-11 1.31691e-12 #avg: 8.63251e-12; avg_err: 6.64216e-13; sd: 1.6079e-11; counts: 587
sfh 0.075873 2.81848e-12 1.99768e-11 2.81848e-12 #avg: 1.16475e-11; avg_err: 9.13086e-13; sd: 2.21035e-11; counts: 587
sfh 0.078123 4.01757e-12 2.45547e-11 4.00216e-12 #avg: 1.53427e-11; avg_err: 1.1844e-12; sd: 2.86713e-11; counts: 587
sfh 0.080373 5.4378e-12 3.4451e-11 5.25249e-12 #avg: 1.91401e-11; avg_err: 1.41662e-12; sd: 3.42928e-11; counts: 587
sfh 0.082623 6.59691e-12 3.41699e-11 6.10173e-12 #avg: 2.1872e-11; avg_err: 1.58306e-12; sd: 3.83217e-11; counts: 587
sfh 0.085998 1.02369e-11 4.5098e-11 8.95476e-12 #avg: 3.28219e-11; avg_err: 2.58197e-12; sd: 6.25029e-11; counts: 587
sfh 0.089373 1.53855e-11 6.30235e-11 1.29463e-11 #avg: 4.6821e-11; avg_err: 3.73985e-12; sd: 9.05322e-11; counts: 587
