#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.202435 (z=3.939857)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.202435 (z=3.939857) stellar mass
#sm range: 9.25 - 9.75
#HM    Stats: 3.067650e+11 (median) + 1.676470e+11  / - 1.160300e+11
#SM    Stats: 2.654240e+09 (median) + 1.460790e+09  / - 6.735200e+08
#ObsSM Stats: 2.677230e+09 (median) + 3.024720e+09  / - 1.445290e+09
#VMP   Stats: 1.936200e+02 (median) + 2.309001e+01  / - 2.017000e+01
#ICL   Stats: 1.218630e+07 (median) + 4.984100e+07  / - 1.202573e+07
#SSFR  Stats: 1.405385e-09 (median) + 2.896609e-09  / - 9.109570e-10
sfh 0.055623 0 0 0 #avg: 6.40332e-19; avg_err: 6.00433e-19; sd: 3.95193e-17; counts: 4333
sfh 0.060123 0 0 0 #avg: 1.73885e-13; avg_err: 3.90034e-14; sd: 2.56712e-12; counts: 4333
sfh 0.062373 0 0 0 #avg: 1.06894e-12; avg_err: 1.5981e-13; sd: 1.05184e-11; counts: 4333
sfh 0.064623 0 0 0 #avg: 2.91483e-12; avg_err: 3.20828e-13; sd: 2.11163e-11; counts: 4333
sfh 0.066873 0 0 0 #avg: 6.72704e-12; avg_err: 6.08617e-13; sd: 4.00579e-11; counts: 4333
sfh 0.069123 0 0 0 #avg: 1.48243e-11; avg_err: 1.10292e-12; sd: 7.25918e-11; counts: 4333
sfh 0.071373 0 8.5338e-12 0 #avg: 2.42949e-11; avg_err: 1.69825e-12; sd: 1.11775e-10; counts: 4333
sfh 0.073623 0 2.28688e-11 0 #avg: 3.62649e-11; avg_err: 2.52985e-12; sd: 1.6651e-10; counts: 4333
sfh 0.075873 0 4.65935e-11 0 #avg: 4.75562e-11; avg_err: 3.59167e-12; sd: 2.36396e-10; counts: 4333
sfh 0.078123 0 7.03491e-11 0 #avg: 6.12006e-11; avg_err: 3.80492e-12; sd: 2.50432e-10; counts: 4333
sfh 0.080373 1.18522e-12 1.01768e-10 1.18522e-12 #avg: 7.87863e-11; avg_err: 8.01055e-12; sd: 5.27238e-10; counts: 4333
sfh 0.082623 6.00995e-12 1.1841e-10 6.00995e-12 #avg: 8.43433e-11; avg_err: 4.5997e-12; sd: 3.02743e-10; counts: 4333
sfh 0.085998 1.70733e-11 1.57642e-10 1.70733e-11 #avg: 1.17882e-10; avg_err: 5.33417e-12; sd: 3.51084e-10; counts: 4333
sfh 0.089373 3.30587e-11 1.90541e-10 3.30587e-11 #avg: 1.46424e-10; avg_err: 5.81402e-12; sd: 3.82667e-10; counts: 4333
sfh 0.092748 4.88237e-11 2.34196e-10 4.8798e-11 #avg: 1.82755e-10; avg_err: 7.2754e-12; sd: 4.78852e-10; counts: 4333
sfh 0.096123 7.21778e-11 2.88981e-10 6.8831e-11 #avg: 2.24927e-10; avg_err: 7.6234e-12; sd: 5.01757e-10; counts: 4333
sfh 0.099498 9.36925e-11 3.40431e-10 8.48009e-11 #avg: 2.76298e-10; avg_err: 9.25649e-12; sd: 6.09243e-10; counts: 4333
