#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.202435 (z=3.939857)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.202435 (z=3.939857) stellar mass
#vmpeak range: 2.11667 - 2.28333
#HM    Stats: 1.636760e+11 (median) + 9.044201e+10  / - 4.107299e+10
#SM    Stats: 4.801670e+08 (median) + 6.176430e+08  / - 2.575880e+08
#ObsSM Stats: 4.651010e+08 (median) + 8.831891e+08  / - 3.021130e+08
#VMP   Stats: 1.476000e+02 (median) + 2.273000e+01  / - 1.250000e+01
#ICL   Stats: 5.210270e+06 (median) + 1.968513e+07  / - 5.133548e+06
#SSFR  Stats: 2.219456e-09 (median) + 4.583463e-09  / - 1.491557e-09
sfh 0.055623 0 0 0 #avg: 5.21231e-18; avg_err: 5.18592e-18; sd: 2.29356e-15; counts: 195600
sfh 0.060123 0 0 0 #avg: 4.58989e-14; avg_err: 6.2459e-15; sd: 2.76235e-12; counts: 195600
sfh 0.062373 0 0 0 #avg: 3.11555e-13; avg_err: 2.45599e-14; sd: 1.0862e-11; counts: 195600
sfh 0.064623 0 0 0 #avg: 1.07786e-12; avg_err: 5.70635e-14; sd: 2.52372e-11; counts: 195600
sfh 0.066873 0 0 0 #avg: 2.83503e-12; avg_err: 1.08053e-13; sd: 4.77883e-11; counts: 195600
sfh 0.069123 0 0 0 #avg: 6.27778e-12; avg_err: 1.88726e-13; sd: 8.34672e-11; counts: 195600
sfh 0.071373 0 0 0 #avg: 1.13779e-11; avg_err: 2.823e-13; sd: 1.24852e-10; counts: 195600
sfh 0.073623 0 0 0 #avg: 1.7903e-11; avg_err: 3.70995e-13; sd: 1.64078e-10; counts: 195600
sfh 0.075873 0 0 0 #avg: 2.56667e-11; avg_err: 4.20095e-13; sd: 1.85794e-10; counts: 195600
sfh 0.078123 0 2.81794e-12 0 #avg: 3.66001e-11; avg_err: 5.07999e-13; sd: 2.2467e-10; counts: 195600
sfh 0.080373 0 2.41708e-11 0 #avg: 4.94532e-11; avg_err: 5.96817e-13; sd: 2.63952e-10; counts: 195600
sfh 0.082623 0 5.64011e-11 0 #avg: 6.121e-11; avg_err: 5.86533e-13; sd: 2.59403e-10; counts: 195600
sfh 0.085998 0 1.22187e-10 0 #avg: 9.28684e-11; avg_err: 7.34953e-13; sd: 3.25044e-10; counts: 195600
