#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.202435 (z=3.939857)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.202435 (z=3.939857) stellar mass
#vmpeak range: 2.78333 - 2.95
#HM    Stats: 1.106620e+13 (median) + 0.000000e+00  / - 0.000000e+00
#SM    Stats: 1.134520e+11 (median) + 0.000000e+00  / - 0.000000e+00
#ObsSM Stats: 1.118470e+11 (median) + 0.000000e+00  / - 0.000000e+00
#VMP   Stats: 6.383500e+02 (median) + 0.000000e+00  / - 0.000000e+00
#ICL   Stats: 6.034120e+08 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR  Stats: 2.608224e-10 (median) + 0.000000e+00  / - 0.000000e+00
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
sfh 0.069123 6.3359e-12 0 0 #avg: 6.3359e-12; avg_err: 6.3359e-12; sd: 0; counts: 1
sfh 0.071373 1.98905e-12 0 0 #avg: 1.98905e-12; avg_err: 1.98905e-12; sd: 0; counts: 1
sfh 0.073623 1.14938e-12 0 0 #avg: 1.14938e-12; avg_err: 1.14938e-12; sd: 0; counts: 1
sfh 0.075873 1.57755e-12 0 0 #avg: 1.57755e-12; avg_err: 1.57755e-12; sd: 0; counts: 1
sfh 0.078123 3.90807e-12 0 0 #avg: 3.90807e-12; avg_err: 3.90807e-12; sd: 0; counts: 1
sfh 0.080373 7.63073e-12 0 0 #avg: 7.63073e-12; avg_err: 7.63073e-12; sd: 0; counts: 1
sfh 0.082623 6.11396e-12 0 0 #avg: 6.11396e-12; avg_err: 6.11396e-12; sd: 0; counts: 1
sfh 0.085998 2.86407e-12 0 0 #avg: 2.86407e-12; avg_err: 2.86407e-12; sd: 0; counts: 1
sfh 0.089373 8.75073e-12 0 0 #avg: 8.75073e-12; avg_err: 8.75073e-12; sd: 0; counts: 1
sfh 0.092748 5.23279e-11 0 0 #avg: 5.23279e-11; avg_err: 5.23279e-11; sd: 0; counts: 1
