#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 10.25 - 10.75
#HM    Stats: 2.939710e+10 (median) + 1.458820e+10  / - 8.661801e+09
#SM    Stats: 1.941470e+07 (median) + 3.790690e+07  / - 1.349606e+07
#ObsSM Stats: 1.862750e+07 (median) + 4.249950e+07  / - 1.346168e+07
#VMP   Stats: 7.455000e+01 (median) + 1.243000e+01  / - 1.036000e+01
#ICL   Stats: 0.000000e+00 (median) + 1.220130e+06  / - 0.000000e+00
#SSFR  Stats: 8.887664e-10 (median) + 1.469284e-09  / - 5.389816e-10
sfh 0.055623 0 0 0 #avg: 2.05546e-13; avg_err: 2.05546e-13; sd: 1.80838e-10; counts: 774037
sfh 0.060123 0 0 0 #avg: 3.78347e-07; avg_err: 1.96335e-07; sd: 0.000172735; counts: 774037
sfh 0.062373 0 0 0 #avg: 2.21643e-06; avg_err: 9.90008e-07; sd: 0.000871002; counts: 774037
sfh 0.064623 0 0 0 #avg: 4.79013e-06; avg_err: 1.35531e-06; sd: 0.00119239; counts: 774037
sfh 0.066873 0 0 0 #avg: 1.63478e-05; avg_err: 3.89085e-06; sd: 0.00342314; counts: 774037
sfh 0.069123 0 0 0 #avg: 3.28699e-05; avg_err: 6.06821e-06; sd: 0.00533877; counts: 774037
sfh 0.071373 0 0 0 #avg: 6.5169e-05; avg_err: 7.90197e-06; sd: 0.0069521; counts: 774037
sfh 0.073623 0 0 0 #avg: 0.000116739; avg_err: 1.00594e-05; sd: 0.00885015; counts: 774037
sfh 0.075873 0 0 0 #avg: 0.000202443; avg_err: 1.2844e-05; sd: 0.0113; counts: 774037
sfh 0.078123 0 0 0 #avg: 0.00029912; avg_err: 1.41889e-05; sd: 0.0124833; counts: 774037
sfh 0.080373 0 0 0 #avg: 0.000441199; avg_err: 1.59852e-05; sd: 0.0140637; counts: 774037
sfh 0.082623 0 0 0 #avg: 0.000613228; avg_err: 1.73597e-05; sd: 0.0152729; counts: 774037
