#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 11.75 - 12.25
#HM    Stats: 8.375000e+11 (median) + 4.605900e+11  / - 2.110290e+11
#SM    Stats: 7.728940e+09 (median) + 1.256796e+10  / - 4.425640e+09
#ObsSM Stats: 7.590090e+09 (median) + 1.422421e+10  / - 4.783150e+09
#VMP   Stats: 1.999700e+02 (median) + 3.114000e+01  / - 1.942000e+01
#ICL   Stats: 7.836100e+07 (median) + 1.788780e+08  / - 5.681700e+07
#SSFR  Stats: 2.638187e-09 (median) + 4.581280e-09  / - 2.123955e-09
sfh 0.055623 0 0 0 #avg: 1.05243e-08; avg_err: 9.67158e-09; sd: 2.6402e-06; counts: 74522
sfh 0.060123 0 0 0 #avg: 5.61689e-05; avg_err: 8.36769e-06; sd: 0.00228426; counts: 74522
sfh 0.062373 0 0 0 #avg: 0.000405773; avg_err: 3.63462e-05; sd: 0.00992197; counts: 74522
sfh 0.064623 0 0 0 #avg: 0.001462; avg_err: 8.48282e-05; sd: 0.0231568; counts: 74522
sfh 0.066873 0 0 0 #avg: 0.00389115; avg_err: 0.000185983; sd: 0.0507706; counts: 74522
sfh 0.069123 0 0 0 #avg: 0.00865033; avg_err: 0.000371082; sd: 0.1013; counts: 74522
sfh 0.071373 0 0 0 #avg: 0.0146864; avg_err: 0.000487154; sd: 0.132986; counts: 74522
sfh 0.073623 0 0 0 #avg: 0.0222804; avg_err: 0.000686213; sd: 0.187326; counts: 74522
sfh 0.075873 0 0 0 #avg: 0.031569; avg_err: 0.000797628; sd: 0.217741; counts: 74522
sfh 0.078123 0 0.0137581 0 #avg: 0.0444602; avg_err: 0.00109986; sd: 0.300245; counts: 74522
sfh 0.080373 0 0.038123 0 #avg: 0.0575936; avg_err: 0.00110496; sd: 0.301639; counts: 74522
sfh 0.082623 0 0.0709185 0 #avg: 0.068755; avg_err: 0.00115868; sd: 0.316304; counts: 74522
sfh 0.085998 0 0.130686 0 #avg: 0.100138; avg_err: 0.00155563; sd: 0.424665; counts: 74522
sfh 0.089373 0.00756426 0.193463 0.00756426 #avg: 0.133119; avg_err: 0.001838; sd: 0.501746; counts: 74522
sfh 0.092748 0.0249425 0.239892 0.0249425 #avg: 0.172698; avg_err: 0.00205296; sd: 0.560428; counts: 74522
sfh 0.096123 0.0477627 0.296239 0.0477627 #avg: 0.216723; avg_err: 0.0026144; sd: 0.713692; counts: 74522
sfh 0.099498 0.0752598 0.342139 0.0752422 #avg: 0.264682; avg_err: 0.00279627; sd: 0.76334; counts: 74522
sfh 0.102873 0.102497 0.401177 0.0980196 #avg: 0.319662; avg_err: 0.00317034; sd: 0.865456; counts: 74522
sfh 0.106248 0.130573 0.460878 0.118253 #avg: 0.375383; avg_err: 0.00343142; sd: 0.936727; counts: 74522
sfh 0.109623 0.160237 0.526488 0.138493 #avg: 0.439279; avg_err: 0.00386802; sd: 1.05591; counts: 74522
sfh 0.112998 0.190004 0.594578 0.158779 #avg: 0.502115; avg_err: 0.00439124; sd: 1.19874; counts: 74522
sfh 0.116373 0.218004 0.670425 0.178139 #avg: 0.569058; avg_err: 0.00520214; sd: 1.42011; counts: 74522
sfh 0.119748 0.2489 0.750664 0.199869 #avg: 0.63547; avg_err: 0.00552411; sd: 1.508; counts: 74522
sfh 0.123123 0.277947 0.831943 0.220139 #avg: 0.703145; avg_err: 0.00588846; sd: 1.60746; counts: 74522
sfh 0.126498 0.307976 0.913994 0.239542 #avg: 0.769201; avg_err: 0.00620957; sd: 1.69512; counts: 74522
sfh 0.129873 0.341938 1.00527 0.263783 #avg: 0.840231; avg_err: 0.00654937; sd: 1.78788; counts: 74522
sfh 0.133248 0.374999 1.09075 0.287006 #avg: 0.916777; avg_err: 0.00707674; sd: 1.93185; counts: 74522
sfh 0.136623 0.412714 1.181 0.314174 #avg: 0.99452; avg_err: 0.00754342; sd: 2.05924; counts: 74522
sfh 0.141685 0.462645 1.31953 0.349078 #avg: 1.10542; avg_err: 0.00810516; sd: 2.21259; counts: 74522
sfh 0.146748 0.514405 1.46731 0.386533 #avg: 1.22986; avg_err: 0.00962362; sd: 2.62711; counts: 74522
sfh 0.15181 0.570709 1.59475 0.427912 #avg: 1.34395; avg_err: 0.00994986; sd: 2.71616; counts: 74522
sfh 0.156873 0.62534 1.74251 0.466689 #avg: 1.47572; avg_err: 0.0112118; sd: 3.06066; counts: 74522
sfh 0.161935 0.683714 1.88938 0.510302 #avg: 1.61259; avg_err: 0.011754; sd: 3.20867; counts: 74522
sfh 0.166998 0.74898 2.0618 0.560133 #avg: 1.75442; avg_err: 0.0127471; sd: 3.47977; counts: 74522
sfh 0.17206 0.819754 2.23137 0.616433 #avg: 1.89428; avg_err: 0.0135973; sd: 3.71186; counts: 74522
sfh 0.177123 0.882817 2.40094 0.66106 #avg: 2.05324; avg_err: 0.0150193; sd: 4.10006; counts: 74522
sfh 0.182185 0.957198 2.60997 0.718972 #avg: 2.23492; avg_err: 0.0169749; sd: 4.63389; counts: 74522
sfh 0.187248 1.02864 2.82 0.772707 #avg: 2.40124; avg_err: 0.0175696; sd: 4.79623; counts: 74522
sfh 0.19231 1.10121 3.06028 0.82783 #avg: 2.57542; avg_err: 0.0182384; sd: 4.97882; counts: 74522
sfh 0.197373 1.18491 3.29892 0.889186 #avg: 2.76404; avg_err: 0.0196157; sd: 5.3548; counts: 74522
sfh 0.202435 1.27895 3.5162 0.961866 #avg: 2.95853; avg_err: 0.0206931; sd: 5.6489; counts: 74522
