#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 11.25 - 11.75
#HM    Stats: 4.072060e+12 (median) + 5.600000e+12  / - 1.745590e+12
#SM    Stats: 1.302540e+11 (median) + 5.521901e+10  / - 4.457039e+10
#ObsSM Stats: 2.235730e+11 (median) + 8.753200e+10  / - 3.528701e+10
#VMP   Stats: 3.436100e+02 (median) + 1.040300e+02  / - 5.848999e+01
#ICL   Stats: 1.046510e+09 (median) + 3.771190e+09  / - 7.820260e+08
#SSFR  Stats: 1.986117e-11 (median) + 8.838079e-10  / - 1.876103e-11
sfh 0.055623 0 0 0 #avg: 8.41595e-09; avg_err: 8.35595e-09; sd: 2.83979e-07; counts: 1156
sfh 0.060123 0 0 0 #avg: 0.00160762; avg_err: 0.000329723; sd: 0.0112057; counts: 1156
sfh 0.062373 0 0 0 #avg: 0.0107558; avg_err: 0.00170732; sd: 0.0580238; counts: 1156
sfh 0.064623 0 7.91189e-05 0 #avg: 0.0294811; avg_err: 0.00366032; sd: 0.124397; counts: 1156
sfh 0.066873 0 0.0494376 0 #avg: 0.0697004; avg_err: 0.00802149; sd: 0.272613; counts: 1156
sfh 0.069123 0 0.12882 0 #avg: 0.141109; avg_err: 0.0144878; sd: 0.49237; counts: 1156
sfh 0.071373 0 0.279259 0 #avg: 0.232904; avg_err: 0.0202229; sd: 0.68728; counts: 1156
sfh 0.073623 0.00822218 0.447456 0.00822218 #avg: 0.321655; avg_err: 0.0250245; sd: 0.850464; counts: 1156
sfh 0.075873 0.0301351 0.678024 0.0301351 #avg: 0.448453; avg_err: 0.0348192; sd: 1.18334; counts: 1156
sfh 0.078123 0.0825117 0.831002 0.0825117 #avg: 0.59301; avg_err: 0.0487266; sd: 1.65599; counts: 1156
sfh 0.080373 0.156844 0.917446 0.156844 #avg: 0.724919; avg_err: 0.0535756; sd: 1.82078; counts: 1156
sfh 0.082623 0.212493 1.05488 0.209998 #avg: 0.895865; avg_err: 0.0612095; sd: 2.08022; counts: 1156
sfh 0.085998 0.360514 1.49667 0.337367 #avg: 1.25272; avg_err: 0.0864803; sd: 2.93906; counts: 1156
sfh 0.089373 0.522801 2.02718 0.465514 #avg: 1.80073; avg_err: 0.1401; sd: 4.76135; counts: 1156
sfh 0.092748 0.689286 2.43058 0.583898 #avg: 2.14412; avg_err: 0.152226; sd: 5.17344; counts: 1156
sfh 0.096123 0.889211 3.13477 0.725667 #avg: 2.65968; avg_err: 0.174101; sd: 5.91688; counts: 1156
sfh 0.099498 1.10778 3.93415 0.902415 #avg: 3.39517; avg_err: 0.224362; sd: 7.62502; counts: 1156
sfh 0.102873 1.43026 4.91118 1.1624 #avg: 4.04892; avg_err: 0.256716; sd: 8.72458; counts: 1156
sfh 0.106248 1.65608 5.55216 1.31235 #avg: 4.93149; avg_err: 0.358203; sd: 12.1736; counts: 1156
sfh 0.109623 1.85528 6.91315 1.41575 #avg: 6.08942; avg_err: 0.456005; sd: 15.4975; counts: 1156
sfh 0.112998 2.34905 7.21302 1.8369 #avg: 7.54739; avg_err: 0.671682; sd: 22.8273; counts: 1156
sfh 0.116373 2.62676 8.59064 1.97445 #avg: 8.35574; avg_err: 0.66587; sd: 22.6298; counts: 1156
sfh 0.119748 2.91429 11.481 2.19432 #avg: 9.46806; avg_err: 0.6799; sd: 23.1066; counts: 1156
sfh 0.123123 3.23139 12.7812 2.45879 #avg: 10.425; avg_err: 0.738188; sd: 25.0875; counts: 1156
sfh 0.126498 3.7821 12.8601 2.88462 #avg: 11.8407; avg_err: 0.856539; sd: 29.1097; counts: 1156
sfh 0.129873 4.27846 15.2325 3.26245 #avg: 13.1256; avg_err: 0.919521; sd: 31.2502; counts: 1156
sfh 0.133248 4.68102 17.3264 3.53852 #avg: 14.6683; avg_err: 0.992195; sd: 33.72; counts: 1156
sfh 0.136623 5.13702 19.1337 3.78603 #avg: 16.7828; avg_err: 1.10835; sd: 37.6677; counts: 1156
sfh 0.141685 6.17397 21.4407 4.81072 #avg: 19.5769; avg_err: 1.39777; sd: 47.5035; counts: 1156
sfh 0.146748 6.81205 25.6255 5.22151 #avg: 23.048; avg_err: 1.6509; sd: 56.1062; counts: 1156
sfh 0.15181 8.20511 30.9559 6.52385 #avg: 26.6788; avg_err: 1.58943; sd: 54.0171; counts: 1156
sfh 0.156873 9.79875 40.641 7.83056 #avg: 31.314; avg_err: 1.87055; sd: 63.5713; counts: 1156
sfh 0.161935 10.5637 44.761 8.21752 #avg: 37.0416; avg_err: 2.15269; sd: 73.1599; counts: 1156
sfh 0.166998 12.0878 55.5605 9.62815 #avg: 42.1445; avg_err: 2.94357; sd: 100.038; counts: 1156
sfh 0.17206 14.3374 61.7119 11.4375 #avg: 48.9578; avg_err: 3.31115; sd: 112.531; counts: 1156
sfh 0.177123 15.8414 69.3709 12.5225 #avg: 51.859; avg_err: 2.79395; sd: 94.9532; counts: 1156
sfh 0.182185 18.4415 80.4154 14.8412 #avg: 55.754; avg_err: 2.87097; sd: 97.5708; counts: 1156
sfh 0.187248 21.1187 94.8173 16.9778 #avg: 60.5377; avg_err: 3.00899; sd: 102.261; counts: 1156
sfh 0.19231 23.5575 94.0525 19.0155 #avg: 63.6756; avg_err: 3.09626; sd: 105.227; counts: 1156
sfh 0.197373 26.5307 101.702 21.6742 #avg: 68.5834; avg_err: 3.24984; sd: 110.447; counts: 1156
sfh 0.202435 28.1521 111.764 23.2474 #avg: 72.9987; avg_err: 3.39866; sd: 115.504; counts: 1156
sfh 0.207498 29.9262 119.379 25.0694 #avg: 76.0456; avg_err: 3.38914; sd: 115.181; counts: 1156
sfh 0.21256 32.543 121.409 26.8956 #avg: 79.9757; avg_err: 3.46819; sd: 117.868; counts: 1156
sfh 0.217623 35.9426 123.626 29.9623 #avg: 84.5844; avg_err: 3.62124; sd: 123.069; counts: 1156
sfh 0.222685 42.3986 125.149 35.4126 #avg: 88.1183; avg_err: 3.67; sd: 124.726; counts: 1156
sfh 0.227748 46.7416 133.363 39.676 #avg: 94.0134; avg_err: 3.72347; sd: 126.543; counts: 1156
sfh 0.23281 54.4494 134.196 46.2638 #avg: 96.1387; avg_err: 3.64609; sd: 123.913; counts: 1156
sfh 0.237873 57.9465 123.981 50.3589 #avg: 98.5338; avg_err: 3.6387; sd: 123.662; counts: 1156
sfh 0.242935 55.5328 138.452 47.6704 #avg: 99.7844; avg_err: 3.62104; sd: 123.062; counts: 1156
sfh 0.247998 61.9835 131.656 53.0639 #avg: 103.303; avg_err: 3.7001; sd: 125.749; counts: 1156
sfh 0.25306 63.8148 141.357 53.3585 #avg: 108.735; avg_err: 3.84361; sd: 130.626; counts: 1156
sfh 0.258123 68.0884 134.369 59.0498 #avg: 109.909; avg_err: 3.80011; sd: 129.148; counts: 1156
sfh 0.263185 72.6867 132.347 64.9123 #avg: 110.689; avg_err: 3.68523; sd: 125.244; counts: 1156
sfh 0.268248 74.7284 135.516 67.0114 #avg: 112.155; avg_err: 3.60009; sd: 122.35; counts: 1156
sfh 0.27331 83.1043 131.4 75.3404 #avg: 114.832; avg_err: 3.45287; sd: 117.347; counts: 1156
sfh 0.278373 81.021 148.993 78.092 #avg: 116.623; avg_err: 3.5929; sd: 122.106; counts: 1156
sfh 0.283435 84.3303 132.408 82.1795 #avg: 113.849; avg_err: 3.49643; sd: 118.827; counts: 1156
sfh 0.288498 83.4914 131.691 81.9117 #avg: 114.105; avg_err: 3.55184; sd: 120.71; counts: 1156
sfh 0.29356 82.6579 127.603 81.5396 #avg: 110.242; avg_err: 3.47164; sd: 117.985; counts: 1156
sfh 0.298623 79.2076 134.011 78.497 #avg: 107.562; avg_err: 3.42378; sd: 116.358; counts: 1156
sfh 0.303685 76.1415 128.209 75.5234 #avg: 104.392; avg_err: 3.39358; sd: 115.332; counts: 1156
sfh 0.308748 66.2495 120.087 65.7538 #avg: 94.9331; avg_err: 3.23243; sd: 109.855; counts: 1156
sfh 0.31381 61.0882 124.425 60.7126 #avg: 89.1195; avg_err: 3.19802; sd: 108.686; counts: 1156
sfh 0.318873 48.6828 114.591 48.4066 #avg: 80.8002; avg_err: 3.11602; sd: 105.899; counts: 1156
sfh 0.323935 37.5892 102.612 37.3602 #avg: 69.7828; avg_err: 2.87991; sd: 97.8747; counts: 1156
sfh 0.328997 21.8991 102.846 21.7257 #avg: 60.1001; avg_err: 2.73855; sd: 93.0706; counts: 1156
sfh 0.33406 2.04852 102.188 1.91468 #avg: 51.3416; avg_err: 2.47652; sd: 84.1651; counts: 1156
iclh 0.055623 0 0 0 #avg: 2.86374e-07; avg_err: 2.76965e-07; sd: 9.41272e-06; counts: 1156
iclh 0.060123 0 0 0 #avg: 0.00067579; avg_err: 0.000320895; sd: 0.0109057; counts: 1156
iclh 0.062373 0 0 0 #avg: 0.00479317; avg_err: 0.00121983; sd: 0.0414563; counts: 1156
iclh 0.064623 0 0 0 #avg: 0.013562; avg_err: 0.00253277; sd: 0.0860771; counts: 1156
iclh 0.066873 0 2.58923e-08 0 #avg: 0.0243866; avg_err: 0.00407588; sd: 0.13852; counts: 1156
iclh 0.069123 0 0.00706221 0 #avg: 0.0436199; avg_err: 0.00632613; sd: 0.214995; counts: 1156
iclh 0.071373 0 0.037421 0 #avg: 0.065271; avg_err: 0.0116897; sd: 0.397278; counts: 1156
iclh 0.073623 0 0.0786377 0 #avg: 0.0627153; avg_err: 0.0402968; sd: 1.3695; counts: 1156
iclh 0.075873 0.000268589 0.145743 0.000268589 #avg: -0.0456696; avg_err: 0.180267; sd: 6.12642; counts: 1156
iclh 0.078123 0.00724037 0.227819 0.00724037 #avg: -0.0998866; avg_err: 0.274441; sd: 9.32695; counts: 1156
iclh 0.080373 0.0207349 0.311793 0.0207349 #avg: -0.91286; avg_err: 1.14297; sd: 38.8442; counts: 1156
iclh 0.082623 0.0471219 0.353945 0.0471219 #avg: -1.6103; avg_err: 1.87356; sd: 63.6736; counts: 1156
iclh 0.085998 0.0959457 0.526101 0.095569 #avg: -1.16273; avg_err: 1.55475; sd: 52.8386; counts: 1156
iclh 0.089373 0.152771 0.619663 0.145461 #avg: -0.398817; avg_err: 0.908801; sd: 30.8859; counts: 1156
iclh 0.092748 0.222976 0.732425 0.20112 #avg: -0.361067; avg_err: 0.999276; sd: 33.9607; counts: 1156
iclh 0.096123 0.284165 0.892285 0.242145 #avg: 0.0334087; avg_err: 0.719849; sd: 24.4643; counts: 1156
iclh 0.099498 0.367391 0.981089 0.298184 #avg: 0.0666876; avg_err: 0.875281; sd: 29.7467; counts: 1156
iclh 0.102873 0.459771 1.23267 0.365531 #avg: -0.133892; avg_err: 1.25475; sd: 42.6431; counts: 1156
iclh 0.106248 0.561448 1.40455 0.446728 #avg: -0.738552; avg_err: 2.10444; sd: 71.52; counts: 1156
iclh 0.109623 0.619374 1.60418 0.482167 #avg: -0.0850366; avg_err: 1.68451; sd: 57.2486; counts: 1156
iclh 0.112998 0.711868 1.71319 0.548211 #avg: -0.832944; avg_err: 2.4212; sd: 82.2851; counts: 1156
iclh 0.116373 0.766179 1.85227 0.58015 #avg: -0.0296542; avg_err: 1.70246; sd: 57.8587; counts: 1156
iclh 0.119748 0.792437 1.90029 0.587522 #avg: -0.820788; avg_err: 2.66748; sd: 90.6551; counts: 1156
iclh 0.123123 0.826517 1.92799 0.617715 #avg: -2.15562; avg_err: 4.13769; sd: 140.621; counts: 1156
iclh 0.126498 0.872219 2.08356 0.655135 #avg: -3.26634; avg_err: 5.27367; sd: 179.227; counts: 1156
iclh 0.129873 0.908298 2.02696 0.678276 #avg: -3.57903; avg_err: 5.67383; sd: 192.827; counts: 1156
iclh 0.133248 0.924576 2.1863 0.694319 #avg: -3.33169; avg_err: 5.42898; sd: 184.505; counts: 1156
iclh 0.136623 0.937171 2.38178 0.693921 #avg: -2.82907; avg_err: 4.97051; sd: 168.924; counts: 1156
iclh 0.141685 0.963216 2.71011 0.722867 #avg: -4.22904; avg_err: 6.4416; sd: 218.92; counts: 1156
iclh 0.146748 0.97325 2.66945 0.718712 #avg: -9.68814; avg_err: 11.9687; sd: 406.759; counts: 1156
iclh 0.15181 0.97994 2.86802 0.728486 #avg: -20.4788; avg_err: 22.7893; sd: 774.501; counts: 1156
iclh 0.156873 0.959589 2.65253 0.709352 #avg: -13.6786; avg_err: 16.0907; sd: 546.847; counts: 1156
iclh 0.161935 0.909597 2.76351 0.665143 #avg: -11.1088; avg_err: 13.496; sd: 458.665; counts: 1156
iclh 0.166998 0.912702 2.38169 0.681335 #avg: -11.5784; avg_err: 13.9827; sd: 475.207; counts: 1156
