#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 7.75 - 8.25
#HM    Stats: 1.337790e+11 (median) + 8.754500e+10  / - 5.447020e+10
#SM    Stats: 1.325120e+08 (median) + 8.887400e+07  / - 6.519820e+07
#ObsSM Stats: 1.146870e+08 (median) + 3.962500e+07  / - 4.193990e+07
#VMP   Stats: 1.125600e+02 (median) + 1.719000e+01  / - 1.582000e+01
#ICL   Stats: 4.286850e+06 (median) + 1.409675e+07  / - 3.976527e+06
#SSFR  Stats: 3.497976e-12 (median) + 3.543134e-12  / - 2.221777e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 357
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 357
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 357
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 357
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 357
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 357
sfh 0.071373 0 0 0 #avg: 3.06104e-05; avg_err: 3.06104e-05; sd: 0.000577555; counts: 357
sfh 0.073623 0 0 0 #avg: 6.86535e-05; avg_err: 6.86535e-05; sd: 0.00129535; counts: 357
sfh 0.075873 0 0 0 #avg: 0.000305064; avg_err: 0.000220733; sd: 0.00416478; counts: 357
sfh 0.078123 0 0 0 #avg: 0.000268717; avg_err: 0.000206545; sd: 0.00389709; counts: 357
sfh 0.080373 0 0 0 #avg: 0.000495873; avg_err: 0.000306738; sd: 0.00578752; counts: 357
sfh 0.082623 0 0 0 #avg: 0.000302832; avg_err: 0.000144357; sd: 0.00272373; counts: 357
sfh 0.085998 0 0 0 #avg: 0.00120078; avg_err: 0.000433767; sd: 0.0081843; counts: 357
sfh 0.089373 0 0 0 #avg: 0.00251571; avg_err: 0.00072821; sd: 0.0137398; counts: 357
sfh 0.092748 0 0 0 #avg: 0.00672077; avg_err: 0.00189069; sd: 0.0356734; counts: 357
