#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 7.75 - 8.25
#HM    Stats: 6.995590e+10 (median) + 4.307309e+10  / - 2.825001e+10
#SM    Stats: 8.529360e+07 (median) + 6.855939e+07  / - 3.713000e+07
#ObsSM Stats: 9.136220e+07 (median) + 4.858481e+07  / - 2.664210e+07
#VMP   Stats: 9.332000e+01 (median) + 1.266000e+01  / - 1.072000e+01
#ICL   Stats: 8.428300e+05 (median) + 5.690870e+06  / - 8.428300e+05
#SSFR  Stats: 9.439192e-10 (median) + 1.604363e-09  / - 5.883807e-10
sfh 0.055623 0 0 0 #avg: 2.24013e-13; avg_err: 2.24013e-13; sd: 1.88787e-10; counts: 710228
sfh 0.060123 0 0 0 #avg: 7.77213e-08; avg_err: 5.91142e-08; sd: 4.98184e-05; counts: 710228
sfh 0.062373 0 0 0 #avg: 4.46401e-07; avg_err: 2.19902e-07; sd: 0.000185322; counts: 710228
sfh 0.064623 0 0 0 #avg: 2.15419e-06; avg_err: 7.22818e-07; sd: 0.000609154; counts: 710228
sfh 0.066873 0 0 0 #avg: 6.87449e-06; avg_err: 1.53642e-06; sd: 0.00129482; counts: 710228
sfh 0.069123 0 0 0 #avg: 1.95552e-05; avg_err: 2.55526e-06; sd: 0.00215344; counts: 710228
sfh 0.071373 0 0 0 #avg: 4.97001e-05; avg_err: 5.42337e-06; sd: 0.00457054; counts: 710228
sfh 0.073623 0 0 0 #avg: 9.63189e-05; avg_err: 7.58875e-06; sd: 0.00639542; counts: 710228
sfh 0.075873 0 0 0 #avg: 0.000186322; avg_err: 1.01281e-05; sd: 0.00853548; counts: 710228
sfh 0.078123 0 0 0 #avg: 0.000325407; avg_err: 1.2276e-05; sd: 0.0103456; counts: 710228
sfh 0.080373 0 0 0 #avg: 0.000552291; avg_err: 1.60992e-05; sd: 0.0135676; counts: 710228
sfh 0.082623 0 0 0 #avg: 0.000864338; avg_err: 1.97544e-05; sd: 0.016648; counts: 710228
