#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 8.25 - 8.75
#HM    Stats: 1.305880e+11 (median) + 7.705900e+10  / - 5.173510e+10
#SM    Stats: 2.675020e+08 (median) + 2.185330e+08  / - 1.180560e+08
#ObsSM Stats: 2.876440e+08 (median) + 1.538490e+08  / - 8.340800e+07
#VMP   Stats: 1.132200e+02 (median) + 1.531000e+01  / - 1.311000e+01
#ICL   Stats: 3.724590e+06 (median) + 1.257521e+07  / - 3.558746e+06
#SSFR  Stats: 1.132661e-09 (median) + 1.891739e-09  / - 7.024243e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 369207
sfh 0.060123 0 0 0 #avg: 1.0415e-06; avg_err: 5.3171e-07; sd: 0.000323079; counts: 369207
sfh 0.062373 0 0 0 #avg: 7.46026e-06; avg_err: 1.59896e-06; sd: 0.000971568; counts: 369207
sfh 0.064623 0 0 0 #avg: 2.36387e-05; avg_err: 3.55844e-06; sd: 0.00216219; counts: 369207
sfh 0.066873 0 0 0 #avg: 8.09655e-05; avg_err: 1.01798e-05; sd: 0.00618547; counts: 369207
sfh 0.069123 0 0 0 #avg: 0.000192128; avg_err: 1.60589e-05; sd: 0.00975776; counts: 369207
sfh 0.071373 0 0 0 #avg: 0.000383206; avg_err: 2.37303e-05; sd: 0.0144191; counts: 369207
sfh 0.073623 0 0 0 #avg: 0.000717698; avg_err: 3.63279e-05; sd: 0.0220737; counts: 369207
sfh 0.075873 0 0 0 #avg: 0.00121163; avg_err: 4.52636e-05; sd: 0.0275032; counts: 369207
sfh 0.078123 0 0 0 #avg: 0.00188824; avg_err: 5.07335e-05; sd: 0.0308269; counts: 369207
sfh 0.080373 0 0 0 #avg: 0.00287175; avg_err: 5.83105e-05; sd: 0.0354308; counts: 369207
sfh 0.082623 0 0 0 #avg: 0.00402829; avg_err: 6.7246e-05; sd: 0.0408602; counts: 369207
sfh 0.085998 0 0 0 #avg: 0.00692498; avg_err: 8.84611e-05; sd: 0.053751; counts: 369207
sfh 0.089373 0 0 0 #avg: 0.0105537; avg_err: 0.000103497; sd: 0.0628872; counts: 369207
sfh 0.092748 0 0.00857109 0 #avg: 0.01512; avg_err: 0.000119503; sd: 0.0726128; counts: 369207
sfh 0.096123 0 0.0217209 0 #avg: 0.0204528; avg_err: 0.000133975; sd: 0.0814063; counts: 369207
sfh 0.099498 0 0.0380921 0 #avg: 0.0264237; avg_err: 0.000147871; sd: 0.08985; counts: 369207
sfh 0.102873 0 0.0536492 0 #avg: 0.032856; avg_err: 0.000163614; sd: 0.0994157; counts: 369207
sfh 0.106248 0.00248993 0.0655322 0.00248993 #avg: 0.0396963; avg_err: 0.000179452; sd: 0.109039; counts: 369207
sfh 0.109623 0.00745201 0.0741548 0.00745201 #avg: 0.0466313; avg_err: 0.000192749; sd: 0.117119; counts: 369207
sfh 0.112998 0.0129356 0.0808498 0.0129356 #avg: 0.0532642; avg_err: 0.000208209; sd: 0.126513; counts: 369207
sfh 0.116373 0.0176743 0.0853407 0.0176743 #avg: 0.0591165; avg_err: 0.000215728; sd: 0.131082; counts: 369207
sfh 0.119748 0.0220306 0.0904144 0.0220306 #avg: 0.0650066; avg_err: 0.000227398; sd: 0.138172; counts: 369207
sfh 0.123123 0.026303 0.095934 0.0258506 #avg: 0.0706711; avg_err: 0.000234927; sd: 0.142747; counts: 369207
sfh 0.126498 0.0307792 0.101387 0.0289027 #avg: 0.0766439; avg_err: 0.000243476; sd: 0.147942; counts: 369207
