#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 8.75 - 9.25
#HM    Stats: 2.507350e+11 (median) + 1.770590e+11  / - 1.039700e+11
#SM    Stats: 1.105580e+09 (median) + 8.174999e+08  / - 4.704430e+08
#ObsSM Stats: 1.057280e+09 (median) + 4.681999e+08  / - 3.546560e+08
#VMP   Stats: 1.542500e+02 (median) + 2.116000e+01  / - 1.660001e+01
#ICL   Stats: 1.375250e+07 (median) + 4.943700e+07  / - 1.293266e+07
#SSFR  Stats: 2.584317e-12 (median) + 3.351862e-12  / - 1.600105e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2287
sfh 0.060123 0 0 0 #avg: 1.2207e-08; avg_err: 1.2207e-08; sd: 5.83645e-07; counts: 2287
sfh 0.062373 0 0 0 #avg: 1.82967e-05; avg_err: 1.49538e-05; sd: 0.000714975; counts: 2287
sfh 0.064623 0 0 0 #avg: 0.000186343; avg_err: 0.000126153; sd: 0.00603164; counts: 2287
sfh 0.066873 0 0 0 #avg: 0.000999414; avg_err: 0.000431402; sd: 0.0206262; counts: 2287
sfh 0.069123 0 0 0 #avg: 0.00232509; avg_err: 0.000731917; sd: 0.0349945; counts: 2287
sfh 0.071373 0 0 0 #avg: 0.00472577; avg_err: 0.00097803; sd: 0.0467617; counts: 2287
sfh 0.073623 0 0 0 #avg: 0.00733019; avg_err: 0.00134359; sd: 0.0642401; counts: 2287
sfh 0.075873 0 0 0 #avg: 0.0114568; avg_err: 0.00209089; sd: 0.0999698; counts: 2287
sfh 0.078123 0 0 0 #avg: 0.016641; avg_err: 0.00244544; sd: 0.116922; counts: 2287
sfh 0.080373 0 0.000818807 0 #avg: 0.0242971; avg_err: 0.00417172; sd: 0.199459; counts: 2287
sfh 0.082623 0 0.015489 0 #avg: 0.0287241; avg_err: 0.00336105; sd: 0.160699; counts: 2287
sfh 0.085998 0 0.0382866 0 #avg: 0.0418446; avg_err: 0.00384618; sd: 0.183894; counts: 2287
