#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 9.25 - 9.75
#HM    Stats: 6.025000e+11 (median) + 4.138200e+11  / - 2.516180e+11
#SM    Stats: 3.334090e+09 (median) + 2.508110e+09  / - 1.425300e+09
#ObsSM Stats: 3.297090e+09 (median) + 1.483190e+09  / - 1.112050e+09
#VMP   Stats: 1.878400e+02 (median) + 2.958000e+01  / - 2.198999e+01
#ICL   Stats: 5.603930e+07 (median) + 1.456777e+08  / - 4.508860e+07
#SSFR  Stats: 2.733583e-12 (median) + 3.360769e-12  / - 1.739603e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6573
sfh 0.060123 0 0 0 #avg: 3.51614e-05; avg_err: 1.74793e-05; sd: 0.00141701; counts: 6573
sfh 0.062373 0 0 0 #avg: 0.000323712; avg_err: 9.62574e-05; sd: 0.00780338; counts: 6573
sfh 0.064623 0 0 0 #avg: 0.00180571; avg_err: 0.00043423; sd: 0.0352021; counts: 6573
sfh 0.066873 0 0 0 #avg: 0.00322309; avg_err: 0.000558943; sd: 0.0453123; counts: 6573
sfh 0.069123 0 0 0 #avg: 0.00706843; avg_err: 0.00080604; sd: 0.065344; counts: 6573
sfh 0.071373 0 0 0 #avg: 0.0125987; avg_err: 0.00139413; sd: 0.113019; counts: 6573
sfh 0.073623 0 0 0 #avg: 0.0217844; avg_err: 0.00220083; sd: 0.178417; counts: 6573
sfh 0.075873 0 0 0 #avg: 0.0302637; avg_err: 0.00233535; sd: 0.189322; counts: 6573
sfh 0.078123 0 0.0120993 0 #avg: 0.0403872; avg_err: 0.00260832; sd: 0.211451; counts: 6573
sfh 0.080373 0 0.0355468 0 #avg: 0.0521241; avg_err: 0.00298126; sd: 0.241684; counts: 6573
sfh 0.082623 0 0.0661046 0 #avg: 0.0681088; avg_err: 0.00440493; sd: 0.357098; counts: 6573
sfh 0.085998 0 0.121373 0 #avg: 0.09227; avg_err: 0.00487502; sd: 0.395208; counts: 6573
sfh 0.089373 0.00646445 0.179348 0.00646445 #avg: 0.124843; avg_err: 0.00610976; sd: 0.495305; counts: 6573
sfh 0.092748 0.0230988 0.223575 0.0230988 #avg: 0.155334; avg_err: 0.00659487; sd: 0.534632; counts: 6573
sfh 0.096123 0.0457993 0.266317 0.0457993 #avg: 0.189354; avg_err: 0.00576906; sd: 0.467686; counts: 6573
sfh 0.099498 0.0694883 0.297396 0.0693786 #avg: 0.226627; avg_err: 0.00643392; sd: 0.521584; counts: 6573
sfh 0.102873 0.0955337 0.352422 0.0903595 #avg: 0.271784; avg_err: 0.00731596; sd: 0.593089; counts: 6573
sfh 0.106248 0.124229 0.40409 0.111016 #avg: 0.3226; avg_err: 0.00832876; sd: 0.675195; counts: 6573
sfh 0.109623 0.150941 0.471062 0.12805 #avg: 0.381792; avg_err: 0.0102274; sd: 0.829117; counts: 6573
sfh 0.112998 0.177252 0.529144 0.145999 #avg: 0.438748; avg_err: 0.0112877; sd: 0.915071; counts: 6573
sfh 0.116373 0.205745 0.577386 0.165989 #avg: 0.506459; avg_err: 0.0141424; sd: 1.1465; counts: 6573
sfh 0.119748 0.236439 0.652786 0.187366 #avg: 0.56418; avg_err: 0.0139293; sd: 1.12922; counts: 6573
sfh 0.123123 0.269578 0.748732 0.209235 #avg: 0.6351; avg_err: 0.0160955; sd: 1.30483; counts: 6573
sfh 0.126498 0.302752 0.821378 0.230769 #avg: 0.704198; avg_err: 0.0170678; sd: 1.38365; counts: 6573
sfh 0.129873 0.337443 0.887567 0.257533 #avg: 0.77664; avg_err: 0.0178501; sd: 1.44707; counts: 6573
sfh 0.133248 0.365496 1.03575 0.275113 #avg: 0.852605; avg_err: 0.0193437; sd: 1.56815; counts: 6573
sfh 0.136623 0.405747 1.09256 0.30565 #avg: 0.923048; avg_err: 0.0208535; sd: 1.69055; counts: 6573
sfh 0.141685 0.456938 1.1922 0.339377 #avg: 0.994592; avg_err: 0.0219943; sd: 1.78303; counts: 6573
sfh 0.146748 0.506408 1.27183 0.369713 #avg: 1.06477; avg_err: 0.0219316; sd: 1.77795; counts: 6573
sfh 0.15181 0.566279 1.36297 0.408622 #avg: 1.15368; avg_err: 0.0233174; sd: 1.89029; counts: 6573
sfh 0.156873 0.616359 1.44931 0.443149 #avg: 1.26058; avg_err: 0.029815; sd: 2.41704; counts: 6573
sfh 0.161935 0.67614 1.64277 0.479627 #avg: 1.39662; avg_err: 0.0382773; sd: 3.10306; counts: 6573
sfh 0.166998 0.728293 1.80823 0.516845 #avg: 1.48039; avg_err: 0.0380718; sd: 3.0864; counts: 6573
sfh 0.17206 0.796718 1.89535 0.568057 #avg: 1.6032; avg_err: 0.0477757; sd: 3.87308; counts: 6573
sfh 0.177123 0.877537 2.06379 0.628142 #avg: 1.73855; avg_err: 0.0383893; sd: 3.11214; counts: 6573
sfh 0.182185 0.94662 2.13098 0.674193 #avg: 1.81434; avg_err: 0.0359408; sd: 2.91364; counts: 6573
sfh 0.187248 1.02308 2.19649 0.726043 #avg: 1.87954; avg_err: 0.0338106; sd: 2.74095; counts: 6573
sfh 0.19231 1.07411 2.28928 0.755515 #avg: 1.97726; avg_err: 0.0358638; sd: 2.9074; counts: 6573
sfh 0.197373 1.12216 2.3916 0.781962 #avg: 2.10715; avg_err: 0.039729; sd: 3.22075; counts: 6573
sfh 0.202435 1.2102 2.38308 0.853257 #avg: 2.16968; avg_err: 0.0382481; sd: 3.10069; counts: 6573
sfh 0.207498 1.30196 2.57199 0.916344 #avg: 2.29206; avg_err: 0.0398739; sd: 3.23249; counts: 6573
sfh 0.21256 1.40008 2.67702 0.97606 #avg: 2.40062; avg_err: 0.0400681; sd: 3.24824; counts: 6573
sfh 0.217623 1.4499 2.79325 0.991259 #avg: 2.49019; avg_err: 0.039247; sd: 3.18167; counts: 6573
sfh 0.222685 1.54263 2.87307 1.06482 #avg: 2.60682; avg_err: 0.0435443; sd: 3.53004; counts: 6573
sfh 0.227748 1.60192 2.96715 1.09661 #avg: 2.71151; avg_err: 0.0448987; sd: 3.63984; counts: 6573
sfh 0.23281 1.6456 3.12974 1.13016 #avg: 2.80333; avg_err: 0.0446972; sd: 3.62351; counts: 6573
sfh 0.237873 1.72682 3.15048 1.1601 #avg: 2.88191; avg_err: 0.0454541; sd: 3.68487; counts: 6573
sfh 0.242935 1.80041 3.1204 1.21511 #avg: 2.91318; avg_err: 0.0457935; sd: 3.71238; counts: 6573
sfh 0.247998 1.83942 3.12777 1.24701 #avg: 2.94036; avg_err: 0.0464471; sd: 3.76537; counts: 6573
sfh 0.25306 1.89162 3.27296 1.29271 #avg: 3.02457; avg_err: 0.046018; sd: 3.73058; counts: 6573
sfh 0.258123 1.95579 3.37812 1.34306 #avg: 3.0912; avg_err: 0.0465106; sd: 3.77051; counts: 6573
sfh 0.263185 1.98446 3.33526 1.38232 #avg: 3.18135; avg_err: 0.0499046; sd: 4.04566; counts: 6573
sfh 0.268248 2.00709 3.6363 1.42178 #avg: 3.25162; avg_err: 0.0511839; sd: 4.14937; counts: 6573
sfh 0.27331 2.04558 3.63681 1.49398 #avg: 3.30829; avg_err: 0.0527872; sd: 4.27935; counts: 6573
sfh 0.278373 2.08669 3.78353 1.60707 #avg: 3.31065; avg_err: 0.0513769; sd: 4.16502; counts: 6573
sfh 0.283435 2.01799 3.72178 1.69746 #avg: 3.28948; avg_err: 0.0523812; sd: 4.24643; counts: 6573
sfh 0.288498 1.95228 3.86435 1.84978 #avg: 3.23792; avg_err: 0.0526791; sd: 4.27058; counts: 6573
sfh 0.29356 1.87854 3.91823 1.8379 #avg: 3.21047; avg_err: 0.0534956; sd: 4.33677; counts: 6573
