#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 11.25 - 11.75
#HM    Stats: 7.277940e+12 (median) + 7.707360e+12  / - 3.460290e+12
#SM    Stats: 2.015500e+11 (median) + 3.734300e+10  / - 1.888100e+10
#ObsSM Stats: 2.190030e+11 (median) + 1.400250e+11  / - 7.936700e+10
#VMP   Stats: 4.089000e+02 (median) + 1.184700e+02  / - 6.695999e+01
#ICL   Stats: 2.264720e+09 (median) + 6.918701e+09  / - 1.664386e+09
#SSFR  Stats: 2.892434e-12 (median) + 3.824951e-12  / - 1.849091e-12
sfh 0.055623 0 0 0 #avg: 9.12195e-11; avg_err: 7.92109e-11; sd: 9.7336e-10; counts: 152
sfh 0.060123 0 0 0 #avg: 0.00344639; avg_err: 0.00133174; sd: 0.0163646; counts: 152
sfh 0.062373 0 0 0 #avg: 0.0207286; avg_err: 0.007909; sd: 0.0971875; counts: 152
sfh 0.064623 0 0.0426433 0 #avg: 0.0333146; avg_err: 0.00738849; sd: 0.0907912; counts: 152
sfh 0.066873 0 0.176663 0 #avg: 0.112365; avg_err: 0.025909; sd: 0.318376; counts: 152
sfh 0.069123 4.52275e-08 0.320478 4.52275e-08 #avg: 0.193037; avg_err: 0.0457972; sd: 0.562766; counts: 152
sfh 0.071373 0.0192707 0.706591 0.0192707 #avg: 0.355991; avg_err: 0.0729062; sd: 0.895886; counts: 152
sfh 0.073623 0.0647518 0.84667 0.0647518 #avg: 0.471458; avg_err: 0.0850184; sd: 1.04472; counts: 152
sfh 0.075873 0.132683 0.928787 0.132683 #avg: 0.64438; avg_err: 0.121978; sd: 1.4989; counts: 152
sfh 0.078123 0.239585 0.970655 0.238473 #avg: 0.779463; avg_err: 0.158439; sd: 1.94693; counts: 152
sfh 0.080373 0.349903 1.52461 0.339756 #avg: 1.02613; avg_err: 0.162293; sd: 1.99429; counts: 152
sfh 0.082623 0.544941 1.56166 0.518754 #avg: 1.23741; avg_err: 0.172003; sd: 2.11361; counts: 152
sfh 0.085998 0.82571 2.06324 0.685757 #avg: 1.90372; avg_err: 0.28634; sd: 3.5186; counts: 152
sfh 0.089373 1.09758 3.00099 0.922598 #avg: 2.76839; avg_err: 0.415933; sd: 5.11108; counts: 152
sfh 0.092748 1.40719 3.45683 1.16458 #avg: 3.1648; avg_err: 0.388236; sd: 4.77073; counts: 152
sfh 0.096123 2.03838 5.71889 1.65186 #avg: 3.72814; avg_err: 0.403647; sd: 4.9601; counts: 152
sfh 0.099498 2.6052 7.24422 2.13762 #avg: 4.98575; avg_err: 0.536308; sd: 6.59027; counts: 152
sfh 0.102873 3.19813 8.24867 2.60296 #avg: 6.93772; avg_err: 0.931513; sd: 11.4466; counts: 152
sfh 0.106248 3.81164 11.7392 3.05942 #avg: 9.30438; avg_err: 1.37948; sd: 16.9514; counts: 152
sfh 0.109623 4.76323 13.6536 3.7921 #avg: 11.0764; avg_err: 1.5222; sd: 18.7051; counts: 152
sfh 0.112998 5.27562 17.2864 3.9569 #avg: 13.4889; avg_err: 2.22615; sd: 27.3554; counts: 152
sfh 0.116373 6.23348 21.1329 4.78195 #avg: 14.4912; avg_err: 2.0307; sd: 24.9537; counts: 152
sfh 0.119748 6.88294 24.1793 5.10543 #avg: 15.207; avg_err: 1.91602; sd: 23.5444; counts: 152
sfh 0.123123 7.68823 22.4425 5.8173 #avg: 15.9292; avg_err: 1.85521; sd: 22.7973; counts: 152
sfh 0.126498 8.96925 26.5092 6.61156 #avg: 19.4406; avg_err: 2.47577; sd: 30.4227; counts: 152
sfh 0.129873 10.1763 24.0021 7.72228 #avg: 22.4719; avg_err: 2.78566; sd: 34.2307; counts: 152
sfh 0.133248 12.1676 29.3167 9.62027 #avg: 25.9422; avg_err: 3.32237; sd: 40.8259; counts: 152
sfh 0.136623 12.7726 32.7837 10.0261 #avg: 29.5302; avg_err: 3.7945; sd: 46.6275; counts: 152
sfh 0.141685 16.3666 36.3897 12.8995 #avg: 35.0886; avg_err: 4.756; sd: 58.4426; counts: 152
sfh 0.146748 19.2707 49.958 15.6634 #avg: 41.6678; avg_err: 7.61824; sd: 93.6145; counts: 152
sfh 0.15181 23.2466 75.3172 18.5571 #avg: 51.741; avg_err: 7.14425; sd: 87.79; counts: 152
sfh 0.156873 26.4163 83.4197 20.5632 #avg: 62.5055; avg_err: 8.04754; sd: 98.8898; counts: 152
sfh 0.161935 31.125 83.349 24.5406 #avg: 78.5794; avg_err: 10.2636; sd: 126.121; counts: 152
sfh 0.166998 42.1744 157.575 35.4707 #avg: 106.357; avg_err: 17.0416; sd: 209.411; counts: 152
sfh 0.17206 43.9121 225.691 36.6592 #avg: 130.425; avg_err: 18.6912; sd: 229.681; counts: 152
sfh 0.177123 59.1206 235.024 49.8435 #avg: 139.656; avg_err: 14.3691; sd: 176.571; counts: 152
sfh 0.182185 77.7098 198.321 68.3915 #avg: 151.228; avg_err: 16.1618; sd: 198.599; counts: 152
sfh 0.187248 92.332 246.83 80.0942 #avg: 162.09; avg_err: 16.1016; sd: 197.86; counts: 152
sfh 0.19231 85.8302 266.424 73.8084 #avg: 162.863; avg_err: 15.5361; sd: 190.911; counts: 152
sfh 0.197373 93.5571 250.676 76.6368 #avg: 182.018; avg_err: 17.5539; sd: 215.705; counts: 152
sfh 0.202435 124.588 195.61 108.982 #avg: 180.042; avg_err: 15.8876; sd: 195.23; counts: 152
sfh 0.207498 132.859 226.526 114.919 #avg: 186.782; avg_err: 16.4615; sd: 202.282; counts: 152
sfh 0.21256 137.058 276.523 117.128 #avg: 190.683; avg_err: 15.1703; sd: 186.415; counts: 152
sfh 0.217623 136.239 280.613 107.131 #avg: 207.957; avg_err: 17.5588; sd: 215.766; counts: 152
sfh 0.222685 149.941 240.742 112.018 #avg: 223.394; avg_err: 19.1147; sd: 234.886; counts: 152
sfh 0.227748 161.954 231.951 120.502 #avg: 217.499; avg_err: 16.6374; sd: 204.443; counts: 152
sfh 0.23281 154.31 269.649 108.963 #avg: 222.143; avg_err: 18.4813; sd: 227.102; counts: 152
sfh 0.237873 141.652 244.374 86.0554 #avg: 217.262; avg_err: 18.6712; sd: 229.436; counts: 152
sfh 0.242935 152.707 257.198 125.295 #avg: 215.473; avg_err: 17.0446; sd: 209.448; counts: 152
sfh 0.247998 153.856 237.618 109.279 #avg: 219.496; avg_err: 17.4526; sd: 214.461; counts: 152
sfh 0.25306 150.058 208.191 121.968 #avg: 202.277; avg_err: 16.4609; sd: 202.275; counts: 152
sfh 0.258123 139.237 214.986 111.649 #avg: 188.471; avg_err: 14.8508; sd: 182.49; counts: 152
sfh 0.263185 124.55 200.528 116.406 #avg: 185.872; avg_err: 15.4355; sd: 189.675; counts: 152
sfh 0.268248 129.967 234.93 123.049 #avg: 179.793; avg_err: 14.7673; sd: 181.463; counts: 152
sfh 0.27331 112.663 230.593 109.411 #avg: 169.286; avg_err: 14.0821; sd: 173.044; counts: 152
sfh 0.278373 94.5036 224.009 92.2271 #avg: 157.805; avg_err: 14.3152; sd: 175.908; counts: 152
sfh 0.283435 69.243 207.722 67.9902 #avg: 137.869; avg_err: 14.7893; sd: 181.734; counts: 152
sfh 0.288498 70.8059 198.634 69.7868 #avg: 127.871; avg_err: 13.852; sd: 170.216; counts: 152
sfh 0.29356 51.1577 177.185 50.3398 #avg: 102.864; avg_err: 11.191; sd: 137.517; counts: 152
sfh 0.298623 32.6307 127.956 31.9847 #avg: 82.8213; avg_err: 10.3336; sd: 126.981; counts: 152
sfh 0.303685 21.4572 117.135 21.0057 #avg: 66.5131; avg_err: 7.97939; sd: 98.0524; counts: 152
sfh 0.308748 5.13609 118.957 4.7215 #avg: 48.7835; avg_err: 5.87533; sd: 72.1972; counts: 152
sfh 0.31381 1.39474 69.6436 1.06921 #avg: 31.9594; avg_err: 4.43828; sd: 54.5384; counts: 152
sfh 0.318873 0.904161 72.6873 0.696082 #avg: 25.4003; avg_err: 3.78822; sd: 46.5504; counts: 152
sfh 0.323935 0.650486 33.7242 0.411286 #avg: 12.632; avg_err: 2.11835; sd: 26.0307; counts: 152
sfh 0.328997 0.466449 4.26074 0.294912 #avg: 5.59819; avg_err: 1.06464; sd: 13.0825; counts: 152
sfh 0.33406 0.358727 0.324582 0.241877 #avg: 0.404127; avg_err: 0.0261467; sd: 0.321297; counts: 152
iclh 0.055623 0 0 0 #avg: 2.1052e-06; avg_err: 2.1052e-06; sd: 2.58692e-05; counts: 152
iclh 0.060123 0 0 0 #avg: 0.00126244; avg_err: 0.00075427; sd: 0.00926863; counts: 152
iclh 0.062373 0 0 0 #avg: 0.00598485; avg_err: 0.00403933; sd: 0.0496362; counts: 152
iclh 0.064623 0 0.000168736 0 #avg: 0.019444; avg_err: 0.00979855; sd: 0.120407; counts: 152
