#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 1.78333 - 1.95
#HM    Stats: 2.644120e+10 (median) + 1.526470e+10  / - 9.808800e+09
#SM    Stats: 1.524480e+07 (median) + 2.609350e+07  / - 9.891400e+06
#ObsSM Stats: 1.471930e+07 (median) + 2.890160e+07  / - 1.008313e+07
#VMP   Stats: 7.173000e+01 (median) + 1.162000e+01  / - 8.040005e+00
#ICL   Stats: 0.000000e+00 (median) + 8.884380e+05  / - 0.000000e+00
#SSFR  Stats: 8.974580e-10 (median) + 1.543546e-09  / - 5.505597e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 820802
sfh 0.060123 0 0 0 #avg: 1.80357e-08; avg_err: 1.80357e-08; sd: 1.634e-05; counts: 820802
sfh 0.062373 0 0 0 #avg: 1.86088e-07; avg_err: 1.15073e-07; sd: 0.000104254; counts: 820802
sfh 0.064623 0 0 0 #avg: 9.5683e-07; avg_err: 5.02109e-07; sd: 0.000454901; counts: 820802
sfh 0.066873 0 0 0 #avg: 2.4652e-06; avg_err: 8.55944e-07; sd: 0.000775469; counts: 820802
sfh 0.069123 0 0 0 #avg: 4.3867e-06; avg_err: 1.06528e-06; sd: 0.000965119; counts: 820802
sfh 0.071373 0 0 0 #avg: 1.02111e-05; avg_err: 1.72447e-06; sd: 0.00156233; counts: 820802
sfh 0.073623 0 0 0 #avg: 1.98136e-05; avg_err: 2.89617e-06; sd: 0.00262388; counts: 820802
sfh 0.075873 0 0 0 #avg: 3.42227e-05; avg_err: 3.07789e-06; sd: 0.00278851; counts: 820802
sfh 0.078123 0 0 0 #avg: 6.53004e-05; avg_err: 4.05658e-06; sd: 0.00367518; counts: 820802
sfh 0.080373 0 0 0 #avg: 0.00011509; avg_err: 6.18725e-06; sd: 0.00560553; counts: 820802
sfh 0.082623 0 0 0 #avg: 0.000181586; avg_err: 7.3085e-06; sd: 0.00662136; counts: 820802
sfh 0.085998 0 0 0 #avg: 0.000344727; avg_err: 8.84258e-06; sd: 0.00801121; counts: 820802
sfh 0.089373 0 0 0 #avg: 0.000600773; avg_err: 1.237e-05; sd: 0.011207; counts: 820802
sfh 0.092748 0 0 0 #avg: 0.000966692; avg_err: 1.40822e-05; sd: 0.0127582; counts: 820802
sfh 0.096123 0 0 0 #avg: 0.00149706; avg_err: 1.75647e-05; sd: 0.0159132; counts: 820802
sfh 0.099498 0 0 0 #avg: 0.00219548; avg_err: 2.12001e-05; sd: 0.0192069; counts: 820802
sfh 0.102873 0 0 0 #avg: 0.00298881; avg_err: 2.3509e-05; sd: 0.0212987; counts: 820802
sfh 0.106248 0 0 0 #avg: 0.00389959; avg_err: 2.61675e-05; sd: 0.0237073; counts: 820802
sfh 0.109623 0 4.57653e-10 0 #avg: 0.0049093; avg_err: 2.82645e-05; sd: 0.0256071; counts: 820802
sfh 0.112998 0 0.00288025 0 #avg: 0.00591005; avg_err: 3.01194e-05; sd: 0.0272876; counts: 820802
sfh 0.116373 0 0.0061702 0 #avg: 0.00679391; avg_err: 3.11103e-05; sd: 0.0281853; counts: 820802
sfh 0.119748 0 0.00909093 0 #avg: 0.00764133; avg_err: 3.27301e-05; sd: 0.0296528; counts: 820802
sfh 0.123123 0 0.0116115 0 #avg: 0.0084982; avg_err: 3.3251e-05; sd: 0.0301247; counts: 820802
sfh 0.126498 0 0.0138851 0 #avg: 0.00947638; avg_err: 3.48913e-05; sd: 0.0316108; counts: 820802
sfh 0.129873 0 0.0160871 0 #avg: 0.0104549; avg_err: 3.61971e-05; sd: 0.0327939; counts: 820802
sfh 0.133248 0 0.0183479 0 #avg: 0.0114165; avg_err: 3.69171e-05; sd: 0.0334462; counts: 820802
sfh 0.136623 0.000660559 0.0197032 0.000660559 #avg: 0.0122779; avg_err: 3.7486e-05; sd: 0.0339616; counts: 820802
sfh 0.141685 0.00166793 0.0215194 0.00166793 #avg: 0.0134338; avg_err: 3.82374e-05; sd: 0.0346424; counts: 820802
sfh 0.146748 0.00265167 0.02284 0.00265167 #avg: 0.014397; avg_err: 3.81826e-05; sd: 0.0345927; counts: 820802
sfh 0.15181 0.00360521 0.0236 0.00360521 #avg: 0.0152266; avg_err: 3.82788e-05; sd: 0.0346798; counts: 820802
sfh 0.156873 0.00452177 0.0238498 0.00452177 #avg: 0.0158151; avg_err: 3.73669e-05; sd: 0.0338537; counts: 820802
sfh 0.161935 0.00536636 0.0235511 0.00536636 #avg: 0.0161843; avg_err: 3.69041e-05; sd: 0.0334344; counts: 820802
sfh 0.166998 0.00606196 0.0233002 0.00605678 #avg: 0.0164298; avg_err: 3.56483e-05; sd: 0.0322966; counts: 820802
sfh 0.17206 0.0065217 0.0227497 0.00629407 #avg: 0.0163524; avg_err: 3.39416e-05; sd: 0.0307504; counts: 820802
sfh 0.177123 0.00672541 0.0219265 0.00627326 #avg: 0.0161639; avg_err: 3.26547e-05; sd: 0.0295845; counts: 820802
sfh 0.182185 0.00688416 0.0214978 0.00623472 #avg: 0.0159689; avg_err: 3.13821e-05; sd: 0.0284316; counts: 820802
sfh 0.187248 0.00694639 0.020913 0.0061208 #avg: 0.015655; avg_err: 2.9761e-05; sd: 0.0269629; counts: 820802
sfh 0.19231 0.00696943 0.0203055 0.00599729 #avg: 0.0153218; avg_err: 2.85732e-05; sd: 0.0258868; counts: 820802
sfh 0.197373 0.0069757 0.0196363 0.00588081 #avg: 0.014985; avg_err: 2.74743e-05; sd: 0.0248912; counts: 820802
sfh 0.202435 0.00697864 0.0190552 0.00577059 #avg: 0.0146397; avg_err: 2.63223e-05; sd: 0.0238475; counts: 820802
sfh 0.207498 0.00695002 0.0184677 0.00563816 #avg: 0.0142952; avg_err: 2.51302e-05; sd: 0.0227675; counts: 820802
