#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.45 - 2.61667
#HM    Stats: 3.439710e+12 (median) + 1.830880e+12  / - 8.558899e+11
#SM    Stats: 5.169490e+10 (median) + 4.481480e+10  / - 2.739340e+10
#ObsSM Stats: 4.893400e+10 (median) + 5.927200e+10  / - 2.889250e+10
#VMP   Stats: 3.193500e+02 (median) + 4.794998e+01  / - 2.785001e+01
#ICL   Stats: 6.708960e+08 (median) + 1.522634e+09  / - 4.614130e+08
#SSFR  Stats: 1.001824e-11 (median) + 2.941932e-09  / - 8.252584e-12
sfh 0.055623 0 0 0 #avg: 1.66297e-06; avg_err: 1.41913e-06; sd: 0.000160738; counts: 12830
sfh 0.060123 0 0 0 #avg: 0.000580849; avg_err: 6.84912e-05; sd: 0.00775767; counts: 12830
sfh 0.062373 0 0 0 #avg: 0.0038409; avg_err: 0.000314387; sd: 0.0356091; counts: 12830
sfh 0.064623 0 0 0 #avg: 0.0119414; avg_err: 0.000678791; sd: 0.0768834; counts: 12830
sfh 0.066873 0 0 0 #avg: 0.0296328; avg_err: 0.00137067; sd: 0.155249; counts: 12830
sfh 0.069123 0 0.0213429 0 #avg: 0.060207; avg_err: 0.00236661; sd: 0.268055; counts: 12830
sfh 0.071373 0 0.0758657 0 #avg: 0.103938; avg_err: 0.00362531; sd: 0.410621; counts: 12830
sfh 0.073623 0 0.159908 0 #avg: 0.155108; avg_err: 0.0049598; sd: 0.561773; counts: 12830
sfh 0.075873 0.000277651 0.285475 0.000277651 #avg: 0.219907; avg_err: 0.00665499; sd: 0.753779; counts: 12830
sfh 0.078123 0.0146275 0.398381 0.0146275 #avg: 0.293482; avg_err: 0.00848037; sd: 0.960531; counts: 12830
sfh 0.080373 0.0404331 0.515167 0.0404331 #avg: 0.357681; avg_err: 0.00958081; sd: 1.08517; counts: 12830
sfh 0.082623 0.0792879 0.573417 0.0792879 #avg: 0.410019; avg_err: 0.0103883; sd: 1.17663; counts: 12830
sfh 0.085998 0.150668 0.795283 0.149589 #avg: 0.586237; avg_err: 0.0139835; sd: 1.58384; counts: 12830
sfh 0.089373 0.238702 0.955258 0.224198 #avg: 0.764126; avg_err: 0.0172182; sd: 1.95023; counts: 12830
sfh 0.092748 0.341372 1.14808 0.303086 #avg: 0.943206; avg_err: 0.0190341; sd: 2.1559; counts: 12830
sfh 0.096123 0.461595 1.41054 0.390422 #avg: 1.17133; avg_err: 0.0220873; sd: 2.50172; counts: 12830
sfh 0.099498 0.571402 1.70716 0.458007 #avg: 1.47021; avg_err: 0.0291713; sd: 3.30409; counts: 12830
sfh 0.102873 0.704842 2.07475 0.546408 #avg: 1.79237; avg_err: 0.0347435; sd: 3.93523; counts: 12830
sfh 0.106248 0.854864 2.47602 0.65446 #avg: 2.15509; avg_err: 0.0446958; sd: 5.06248; counts: 12830
sfh 0.109623 1.0201 2.88168 0.769955 #avg: 2.5393; avg_err: 0.0510358; sd: 5.78058; counts: 12830
sfh 0.112998 1.19561 3.31557 0.896679 #avg: 2.89742; avg_err: 0.0552193; sd: 6.25442; counts: 12830
sfh 0.116373 1.38154 3.80549 1.03024 #avg: 3.28718; avg_err: 0.0596261; sd: 6.75356; counts: 12830
sfh 0.119748 1.57308 4.34822 1.16948 #avg: 3.76015; avg_err: 0.0685945; sd: 7.76937; counts: 12830
sfh 0.123123 1.80069 4.7998 1.34161 #avg: 4.30799; avg_err: 0.0838801; sd: 9.5007; counts: 12830
sfh 0.126498 2.02199 5.43837 1.50694 #avg: 4.81643; avg_err: 0.0907841; sd: 10.2827; counts: 12830
sfh 0.129873 2.23974 6.18407 1.66383 #avg: 5.35391; avg_err: 0.0989993; sd: 11.2132; counts: 12830
sfh 0.133248 2.50747 6.68472 1.86661 #avg: 5.82679; avg_err: 0.102101; sd: 11.5645; counts: 12830
sfh 0.136623 2.76624 7.27236 2.05514 #avg: 6.41615; avg_err: 0.113519; sd: 12.8577; counts: 12830
sfh 0.141685 3.16246 8.49254 2.34607 #avg: 7.32965; avg_err: 0.123669; sd: 14.0074; counts: 12830
sfh 0.146748 3.59895 9.74975 2.6577 #avg: 8.46413; avg_err: 0.152815; sd: 17.3086; counts: 12830
sfh 0.15181 4.07677 10.9628 3.02053 #avg: 9.59176; avg_err: 0.168013; sd: 19.03; counts: 12830
sfh 0.156873 4.67337 12.7393 3.49425 #avg: 10.8801; avg_err: 0.1866; sd: 21.1352; counts: 12830
sfh 0.161935 5.21473 14.0269 3.90954 #avg: 12.0428; avg_err: 0.200368; sd: 22.6947; counts: 12830
sfh 0.166998 5.86967 16.4173 4.40739 #avg: 13.558; avg_err: 0.220615; sd: 24.988; counts: 12830
sfh 0.17206 6.51281 18.3028 4.91754 #avg: 15.215; avg_err: 0.246425; sd: 27.9114; counts: 12830
sfh 0.177123 7.25263 20.6127 5.49262 #avg: 16.9935; avg_err: 0.271401; sd: 30.7403; counts: 12830
sfh 0.182185 7.96874 22.8191 6.03 #avg: 18.785; avg_err: 0.313533; sd: 35.5124; counts: 12830
sfh 0.187248 9.04495 25.3819 6.91869 #avg: 20.5811; avg_err: 0.325375; sd: 36.8537; counts: 12830
sfh 0.19231 9.83306 28.0779 7.48468 #avg: 22.5848; avg_err: 0.354017; sd: 40.0978; counts: 12830
sfh 0.197373 10.7441 30.5739 8.17847 #avg: 24.8395; avg_err: 0.387913; sd: 43.9371; counts: 12830
sfh 0.202435 11.7154 34.1162 8.9759 #avg: 26.6385; avg_err: 0.39372; sd: 44.5947; counts: 12830
sfh 0.207498 12.5115 36.7253 9.68801 #avg: 28.556; avg_err: 0.415308; sd: 47.04; counts: 12830
sfh 0.21256 13.4988 40.7602 10.4824 #avg: 31.1592; avg_err: 0.458383; sd: 51.9189; counts: 12830
sfh 0.217623 14.9187 44.208 11.8308 #avg: 33.5526; avg_err: 0.487609; sd: 55.2291; counts: 12830
sfh 0.222685 16.1571 46.3555 13.0971 #avg: 35.21; avg_err: 0.48778; sd: 55.2485; counts: 12830
sfh 0.227748 17.6933 51.3043 14.4684 #avg: 37.604; avg_err: 0.497086; sd: 56.3025; counts: 12830
sfh 0.23281 19.0055 56.3598 16.002 #avg: 40.1559; avg_err: 0.53151; sd: 60.2015; counts: 12830
sfh 0.237873 19.542 59.8036 16.7104 #avg: 42.1595; avg_err: 0.556398; sd: 63.0205; counts: 12830
sfh 0.242935 20.585 64.7551 18.0584 #avg: 44.498; avg_err: 0.585589; sd: 66.3269; counts: 12830
sfh 0.247998 22.1404 66.8913 19.8604 #avg: 46.3701; avg_err: 0.597764; sd: 67.7058; counts: 12830
sfh 0.25306 23.1639 68.8229 21.2688 #avg: 47.6361; avg_err: 0.600277; sd: 67.9905; counts: 12830
sfh 0.258123 24.4854 71.1594 23.2185 #avg: 49.1032; avg_err: 0.61648; sd: 69.8257; counts: 12830
sfh 0.263185 25.9639 72.2797 25.037 #avg: 50.113; avg_err: 0.609754; sd: 69.0639; counts: 12830
sfh 0.268248 26.6255 73.1639 26.0272 #avg: 50.9383; avg_err: 0.621715; sd: 70.4186; counts: 12830
sfh 0.27331 28.0496 76.8754 27.62 #avg: 52.7817; avg_err: 0.636708; sd: 72.1168; counts: 12830
sfh 0.278373 28.2657 77.6363 27.9396 #avg: 52.8741; avg_err: 0.639974; sd: 72.4868; counts: 12830
sfh 0.283435 28.324 78.675 28.0898 #avg: 52.8637; avg_err: 0.64208; sd: 72.7254; counts: 12830
sfh 0.288498 26.9239 78.9451 26.748 #avg: 52.1736; avg_err: 0.648118; sd: 73.4092; counts: 12830
sfh 0.29356 26.8795 79.9845 26.7389 #avg: 51.6345; avg_err: 0.630345; sd: 71.3961; counts: 12830
sfh 0.298623 25.5833 80.0067 25.4707 #avg: 50.2643; avg_err: 0.622403; sd: 70.4966; counts: 12830
sfh 0.303685 23.6111 80.6549 23.5225 #avg: 48.7566; avg_err: 0.602192; sd: 68.2074; counts: 12830
sfh 0.308748 19.3346 82.7414 19.2601 #avg: 46.9076; avg_err: 0.591163; sd: 66.9581; counts: 12830
sfh 0.31381 15.1399 84.3303 15.0749 #avg: 45.2529; avg_err: 0.584308; sd: 66.1818; counts: 12830
sfh 0.318873 2.63927 91.8518 2.58403 #avg: 42.602; avg_err: 0.574721; sd: 65.0958; counts: 12830
sfh 0.323935 0.751254 88.9701 0.703942 #avg: 39.3257; avg_err: 0.544518; sd: 61.6749; counts: 12830
sfh 0.328997 0.422201 82.0194 0.38102 #avg: 36.3006; avg_err: 0.528222; sd: 59.8291; counts: 12830
sfh 0.33406 0.253914 75.7257 0.220427 #avg: 32.262; avg_err: 0.487362; sd: 55.2012; counts: 12830
iclh 0.055623 0 0 0 #avg: 8.60321e-10; avg_err: 8.58606e-10; sd: 9.72502e-08; counts: 12830
iclh 0.060123 0 0 0 #avg: 7.59014e-05; avg_err: 1.93667e-05; sd: 0.00219357; counts: 12830
iclh 0.062373 0 0 0 #avg: 0.000808961; avg_err: 0.000109223; sd: 0.0123712; counts: 12830
iclh 0.064623 0 0 0 #avg: 0.00269498; avg_err: 0.000309689; sd: 0.0350769; counts: 12830
iclh 0.066873 0 0 0 #avg: 0.00576062; avg_err: 0.000542378; sd: 0.0614326; counts: 12830
iclh 0.069123 0 0 0 #avg: 0.011252; avg_err: 0.000841586; sd: 0.0953224; counts: 12830
iclh 0.071373 0 0.000138239 0 #avg: 0.0150261; avg_err: 0.0044815; sd: 0.507598; counts: 12830
iclh 0.073623 0 0.0113118 0 #avg: 0.0261337; avg_err: 0.00453809; sd: 0.514007; counts: 12830
iclh 0.075873 0 0.0325955 0 #avg: 0.035854; avg_err: 0.00572701; sd: 0.64867; counts: 12830
iclh 0.078123 1.58855e-08 0.0672248 1.58855e-08 #avg: 0.0522272; avg_err: 0.0047803; sd: 0.541441; counts: 12830
iclh 0.080373 0.00119583 0.112247 0.00119583 #avg: 0.0703107; avg_err: 0.00570139; sd: 0.645769; counts: 12830
iclh 0.082623 0.00789174 0.150921 0.00789174 #avg: 0.0905387; avg_err: 0.00505775; sd: 0.572867; counts: 12830
iclh 0.085998 0.0267836 0.217647 0.0267836 #avg: 0.130011; avg_err: 0.00808457; sd: 0.915701; counts: 12830
iclh 0.089373 0.0585343 0.279225 0.0584499 #avg: 0.180154; avg_err: 0.00794269; sd: 0.89963; counts: 12830
iclh 0.092748 0.0971545 0.346016 0.0925687 #avg: 0.240916; avg_err: 0.00636873; sd: 0.721355; counts: 12830
iclh 0.096123 0.144656 0.414337 0.129331 #avg: 0.303095; avg_err: 0.00567978; sd: 0.643321; counts: 12830
iclh 0.099498 0.200734 0.473329 0.169887 #avg: 0.369591; avg_err: 0.00682559; sd: 0.773102; counts: 12830
iclh 0.102873 0.252807 0.536887 0.202881 #avg: 0.436663; avg_err: 0.00703937; sd: 0.797316; counts: 12830
iclh 0.106248 0.308543 0.57827 0.236854 #avg: 0.50698; avg_err: 0.00748236; sd: 0.847491; counts: 12830
iclh 0.109623 0.36063 0.65376 0.268668 #avg: 0.584446; avg_err: 0.00909199; sd: 1.02981; counts: 12830
iclh 0.112998 0.406166 0.716564 0.293453 #avg: 0.656041; avg_err: 0.00958965; sd: 1.08617; counts: 12830
iclh 0.116373 0.443109 0.764361 0.313723 #avg: 0.706514; avg_err: 0.0119435; sd: 1.35279; counts: 12830
iclh 0.119748 0.479497 0.809203 0.337216 #avg: 0.745667; avg_err: 0.0178877; sd: 2.02606; counts: 12830
iclh 0.123123 0.503425 0.861595 0.349344 #avg: 0.787646; avg_err: 0.0151819; sd: 1.71958; counts: 12830
