#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.45 - 2.61667
#HM    Stats: 3.772060e+12 (median) + 1.942650e+12  / - 1.067650e+12
#SM    Stats: 4.506660e+10 (median) + 4.090840e+10  / - 2.446860e+10
#ObsSM Stats: 4.540910e+10 (median) + 5.521190e+10  / - 2.708220e+10
#VMP   Stats: 3.288900e+02 (median) + 4.822998e+01  / - 3.455002e+01
#ICL   Stats: 8.150430e+08 (median) + 1.782497e+09  / - 5.376650e+08
#SSFR  Stats: 2.750913e-12 (median) + 3.435702e-12  / - 1.702789e-12
sfh 0.055623 0 0 0 #avg: 8.32503e-09; avg_err: 3.50413e-09; sd: 2.80549e-07; counts: 6411
sfh 0.060123 0 0 0 #avg: 0.000740998; avg_err: 0.000100938; sd: 0.00808132; counts: 6411
sfh 0.062373 0 0 0 #avg: 0.00483876; avg_err: 0.000512113; sd: 0.0410011; counts: 6411
sfh 0.064623 0 0 0 #avg: 0.015342; avg_err: 0.00113129; sd: 0.0905735; counts: 6411
sfh 0.066873 0 4.33504e-08 0 #avg: 0.0378682; avg_err: 0.00224853; sd: 0.180023; counts: 6411
sfh 0.069123 0 0.0394303 0 #avg: 0.075184; avg_err: 0.00390934; sd: 0.312992; counts: 6411
sfh 0.071373 0 0.112626 0 #avg: 0.127127; avg_err: 0.00584398; sd: 0.467884; counts: 6411
sfh 0.073623 0 0.226983 0 #avg: 0.184191; avg_err: 0.00760893; sd: 0.60919; counts: 6411
sfh 0.075873 0.006293 0.365114 0.006293 #avg: 0.260875; avg_err: 0.0100626; sd: 0.805635; counts: 6411
sfh 0.078123 0.0288247 0.505728 0.0288247 #avg: 0.355132; avg_err: 0.0138378; sd: 1.10789; counts: 6411
sfh 0.080373 0.0629421 0.595873 0.0629421 #avg: 0.430092; avg_err: 0.0158305; sd: 1.26743; counts: 6411
sfh 0.082623 0.110611 0.675717 0.110611 #avg: 0.493154; avg_err: 0.0168513; sd: 1.34916; counts: 6411
sfh 0.085998 0.194497 0.914133 0.188334 #avg: 0.691366; avg_err: 0.0208159; sd: 1.66657; counts: 6411
sfh 0.089373 0.304364 1.11653 0.278107 #avg: 0.909268; avg_err: 0.0285422; sd: 2.28516; counts: 6411
sfh 0.092748 0.426148 1.32403 0.368003 #avg: 1.11996; avg_err: 0.0309129; sd: 2.47496; counts: 6411
sfh 0.096123 0.560336 1.67716 0.459637 #avg: 1.39386; avg_err: 0.035966; sd: 2.87953; counts: 6411
sfh 0.099498 0.686291 2.13927 0.531243 #avg: 1.76448; avg_err: 0.0492453; sd: 3.9427; counts: 6411
sfh 0.102873 0.862664 2.51854 0.656138 #avg: 2.16157; avg_err: 0.0586488; sd: 4.69557; counts: 6411
sfh 0.106248 1.02701 2.93234 0.764978 #avg: 2.60951; avg_err: 0.0775889; sd: 6.21196; counts: 6411
sfh 0.109623 1.2453 3.38784 0.928725 #avg: 3.08015; avg_err: 0.087289; sd: 6.98857; counts: 6411
sfh 0.112998 1.45398 3.96242 1.06917 #avg: 3.49576; avg_err: 0.0942603; sd: 7.54672; counts: 6411
sfh 0.116373 1.68665 4.59944 1.23438 #avg: 3.93226; avg_err: 0.0985861; sd: 7.89305; counts: 6411
sfh 0.119748 1.94828 5.15094 1.41043 #avg: 4.49515; avg_err: 0.111089; sd: 8.89403; counts: 6411
sfh 0.123123 2.19812 5.62114 1.59443 #avg: 5.11698; avg_err: 0.134847; sd: 10.7962; counts: 6411
sfh 0.126498 2.47685 6.54825 1.80513 #avg: 5.67766; avg_err: 0.14191; sd: 11.3617; counts: 6411
sfh 0.129873 2.73182 7.06974 1.98323 #avg: 6.26516; avg_err: 0.148403; sd: 11.8815; counts: 6411
sfh 0.133248 3.05433 7.86137 2.22646 #avg: 6.83106; avg_err: 0.157034; sd: 12.5725; counts: 6411
sfh 0.136623 3.38439 8.56111 2.47837 #avg: 7.5772; avg_err: 0.182317; sd: 14.5968; counts: 6411
sfh 0.141685 3.84178 10.3127 2.80365 #avg: 8.75386; avg_err: 0.199776; sd: 15.9946; counts: 6411
sfh 0.146748 4.44838 11.7717 3.24985 #avg: 10.203; avg_err: 0.25016; sd: 20.0284; counts: 6411
sfh 0.15181 5.11834 13.3032 3.78286 #avg: 11.6486; avg_err: 0.27835; sd: 22.2854; counts: 6411
sfh 0.156873 5.80235 15.4992 4.32668 #avg: 13.2965; avg_err: 0.313746; sd: 25.1193; counts: 6411
sfh 0.161935 6.48487 16.9459 4.80761 #avg: 14.6236; avg_err: 0.326604; sd: 26.1487; counts: 6411
sfh 0.166998 7.20648 19.8678 5.33675 #avg: 16.4956; avg_err: 0.36723; sd: 29.4014; counts: 6411
sfh 0.17206 8.05403 22.4659 5.97026 #avg: 18.4454; avg_err: 0.407065; sd: 32.5906; counts: 6411
sfh 0.177123 9.16213 24.7823 6.86147 #avg: 20.5248; avg_err: 0.437144; sd: 34.9988; counts: 6411
sfh 0.182185 10.1459 27.5476 7.58401 #avg: 22.7842; avg_err: 0.50591; sd: 40.5044; counts: 6411
sfh 0.187248 11.2511 30.1441 8.40182 #avg: 24.7958; avg_err: 0.531375; sd: 42.5432; counts: 6411
sfh 0.19231 12.3325 34.3302 9.2447 #avg: 26.9604; avg_err: 0.578816; sd: 46.3415; counts: 6411
sfh 0.197373 13.6564 36.1983 10.3745 #avg: 29.6409; avg_err: 0.611835; sd: 48.985; counts: 6411
sfh 0.202435 14.791 39.4716 11.2357 #avg: 31.4782; avg_err: 0.606441; sd: 48.5532; counts: 6411
sfh 0.207498 15.6946 42.6151 12.1133 #avg: 33.7373; avg_err: 0.660118; sd: 52.8506; counts: 6411
sfh 0.21256 16.8343 47.4163 13.0892 #avg: 36.4163; avg_err: 0.713476; sd: 57.1227; counts: 6411
sfh 0.217623 18.2806 52.2173 14.5684 #avg: 39.3793; avg_err: 0.76571; sd: 61.3047; counts: 6411
sfh 0.222685 20.049 54.3777 16.2133 #avg: 40.8478; avg_err: 0.749352; sd: 59.995; counts: 6411
sfh 0.227748 21.7159 58.5767 17.8687 #avg: 43.1431; avg_err: 0.751549; sd: 60.1709; counts: 6411
sfh 0.23281 23.1579 63.9728 19.6648 #avg: 45.7882; avg_err: 0.799142; sd: 63.9813; counts: 6411
sfh 0.237873 23.2963 67.1558 20.3422 #avg: 47.8223; avg_err: 0.852727; sd: 68.2714; counts: 6411
sfh 0.242935 24.3139 72.1971 21.7313 #avg: 50.2302; avg_err: 0.893711; sd: 71.5527; counts: 6411
sfh 0.247998 26.2053 72.6838 24.2145 #avg: 51.398; avg_err: 0.918741; sd: 73.5566; counts: 6411
sfh 0.25306 27.1228 72.3124 25.7628 #avg: 51.7526; avg_err: 0.898764; sd: 71.9572; counts: 6411
sfh 0.258123 27.2364 76.7036 26.3879 #avg: 53.1479; avg_err: 0.928359; sd: 74.3267; counts: 6411
sfh 0.263185 28.8573 74.3797 28.2539 #avg: 52.898; avg_err: 0.910219; sd: 72.8744; counts: 6411
sfh 0.268248 27.7254 77.2356 27.3047 #avg: 52.8576; avg_err: 0.913029; sd: 73.0994; counts: 6411
sfh 0.27331 27.7223 79.0947 27.4267 #avg: 53.2729; avg_err: 0.933517; sd: 74.7397; counts: 6411
sfh 0.278373 26.9016 78.4064 26.6719 #avg: 51.7749; avg_err: 0.910696; sd: 72.9126; counts: 6411
sfh 0.283435 23.2947 81.8823 23.1285 #avg: 49.9523; avg_err: 0.898541; sd: 71.9394; counts: 6411
sfh 0.288498 15.5243 82.4081 15.4007 #avg: 46.2482; avg_err: 0.883499; sd: 70.7352; counts: 6411
sfh 0.29356 8.20218 84.2587 8.10342 #avg: 42.322; avg_err: 0.807436; sd: 64.6454; counts: 6411
sfh 0.298623 2.18341 83.2745 2.10177 #avg: 36.6799; avg_err: 0.733157; sd: 58.6984; counts: 6411
sfh 0.303685 0.875702 73.0339 0.815544 #avg: 30.7341; avg_err: 0.632455; sd: 50.6359; counts: 6411
