#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.334060 (z=1.993474) stellar mass
#obs_sm range: 10.25 - 10.75
#HM    Stats: 1.419260e+12 (median) + 1.013090e+12  / - 4.670540e+11
#SM    Stats: 2.711300e+10 (median) + 2.111630e+10  / - 1.202130e+10
#ObsSM Stats: 2.841470e+10 (median) + 1.538980e+10  / - 8.025799e+09
#VMP   Stats: 2.380000e+02 (median) + 4.654001e+01  / - 2.817999e+01
#ICL   Stats: 1.839780e+08 (median) + 4.551020e+08  / - 1.283816e+08
#SSFR  Stats: 2.387758e-09 (median) + 3.117955e-09  / - 1.538478e-09
sfh 0.055623 0 0 0 #avg: 1.45968e-17; avg_err: 1.45934e-17; sd: 1.93427e-15; counts: 17569
sfh 0.060123 0 0 0 #avg: 5.16869e-15; avg_err: 9.5282e-16; sd: 1.26291e-13; counts: 17569
sfh 0.062373 0 0 0 #avg: 4.05222e-14; avg_err: 5.00578e-15; sd: 6.63488e-13; counts: 17569
sfh 0.064623 0 0 0 #avg: 1.33953e-13; avg_err: 1.19297e-14; sd: 1.58121e-12; counts: 17569
sfh 0.066873 0 0 0 #avg: 3.5413e-13; avg_err: 2.50325e-14; sd: 3.31792e-12; counts: 17569
sfh 0.069123 0 0 0 #avg: 7.24556e-13; avg_err: 4.8421e-14; sd: 6.41793e-12; counts: 17569
sfh 0.071373 0 0 0 #avg: 1.25871e-12; avg_err: 6.43766e-14; sd: 8.53276e-12; counts: 17569
sfh 0.073623 0 4.38351e-13 0 #avg: 1.93526e-12; avg_err: 8.47716e-14; sd: 1.1236e-11; counts: 17569
sfh 0.075873 0 1.4632e-12 0 #avg: 2.73195e-12; avg_err: 1.09632e-13; sd: 1.45311e-11; counts: 17569
sfh 0.078123 0 3.18551e-12 0 #avg: 3.75743e-12; avg_err: 1.51208e-13; sd: 2.00418e-11; counts: 17569
sfh 0.080373 0 5.21931e-12 0 #avg: 4.67709e-12; avg_err: 1.74208e-13; sd: 2.30903e-11; counts: 17569
sfh 0.082623 9.49297e-14 7.1545e-12 9.49297e-14 #avg: 5.42352e-12; avg_err: 1.73643e-13; sd: 2.30154e-11; counts: 17569
sfh 0.085998 7.40157e-13 1.0423e-11 7.40157e-13 #avg: 8.02621e-12; avg_err: 2.6286e-13; sd: 3.48406e-11; counts: 17569
sfh 0.089373 1.82543e-12 1.40123e-11 1.82543e-12 #avg: 1.04966e-11; avg_err: 3.2406e-13; sd: 4.29523e-11; counts: 17569
sfh 0.092748 3.34021e-12 1.67799e-11 3.3399e-12 #avg: 1.31616e-11; avg_err: 2.84156e-13; sd: 3.76633e-11; counts: 17569
sfh 0.096123 5.05608e-12 2.01887e-11 4.8148e-12 #avg: 1.61895e-11; avg_err: 3.28633e-13; sd: 4.35584e-11; counts: 17569
sfh 0.099498 6.96586e-12 2.43723e-11 6.23145e-12 #avg: 1.93025e-11; avg_err: 3.20459e-13; sd: 4.24751e-11; counts: 17569
sfh 0.102873 9.11982e-12 2.86183e-11 7.74547e-12 #avg: 2.32995e-11; avg_err: 3.75734e-13; sd: 4.98014e-11; counts: 17569
sfh 0.106248 1.11473e-11 3.39535e-11 9.03674e-12 #avg: 2.78501e-11; avg_err: 4.64326e-13; sd: 6.15438e-11; counts: 17569
sfh 0.109623 1.36001e-11 3.80952e-11 1.07934e-11 #avg: 3.26163e-11; avg_err: 5.50774e-13; sd: 7.30019e-11; counts: 17569
sfh 0.112998 1.59899e-11 4.37764e-11 1.24301e-11 #avg: 3.76913e-11; avg_err: 5.99056e-13; sd: 7.94015e-11; counts: 17569
sfh 0.116373 1.81706e-11 5.05806e-11 1.38881e-11 #avg: 4.31391e-11; avg_err: 6.64404e-13; sd: 8.8063e-11; counts: 17569
sfh 0.119748 2.08375e-11 5.74823e-11 1.57642e-11 #avg: 4.87655e-11; avg_err: 7.38431e-13; sd: 9.78748e-11; counts: 17569
sfh 0.123123 2.37184e-11 6.28494e-11 1.78247e-11 #avg: 5.46002e-11; avg_err: 8.41405e-13; sd: 1.11524e-10; counts: 17569
sfh 0.126498 2.6213e-11 7.01744e-11 1.9446e-11 #avg: 6.0788e-11; avg_err: 9.58634e-13; sd: 1.27061e-10; counts: 17569
sfh 0.129873 2.91984e-11 7.7279e-11 2.15725e-11 #avg: 6.62474e-11; avg_err: 1.02349e-12; sd: 1.35658e-10; counts: 17569
sfh 0.133248 3.21262e-11 8.27659e-11 2.35942e-11 #avg: 7.24818e-11; avg_err: 1.11513e-12; sd: 1.47804e-10; counts: 17569
sfh 0.136623 3.49276e-11 9.15053e-11 2.54328e-11 #avg: 7.85099e-11; avg_err: 1.15026e-12; sd: 1.5246e-10; counts: 17569
sfh 0.141685 3.97273e-11 1.00475e-10 2.9041e-11 #avg: 8.72245e-11; avg_err: 1.24035e-12; sd: 1.64402e-10; counts: 17569
sfh 0.146748 4.47508e-11 1.12241e-10 3.26315e-11 #avg: 9.74047e-11; avg_err: 1.38405e-12; sd: 1.83448e-10; counts: 17569
sfh 0.15181 4.99081e-11 1.27307e-10 3.62964e-11 #avg: 1.07404e-10; avg_err: 1.43083e-12; sd: 1.89648e-10; counts: 17569
sfh 0.156873 5.56228e-11 1.39406e-10 4.03303e-11 #avg: 1.20045e-10; avg_err: 1.60539e-12; sd: 2.12786e-10; counts: 17569
sfh 0.161935 6.17119e-11 1.54832e-10 4.45614e-11 #avg: 1.33063e-10; avg_err: 1.75606e-12; sd: 2.32756e-10; counts: 17569
sfh 0.166998 6.92148e-11 1.7322e-10 5.03032e-11 #avg: 1.47727e-10; avg_err: 1.96863e-12; sd: 2.6093e-10; counts: 17569
sfh 0.17206 7.59685e-11 1.83388e-10 5.54583e-11 #avg: 1.60377e-10; avg_err: 2.06386e-12; sd: 2.73553e-10; counts: 17569
sfh 0.177123 8.34469e-11 2.01089e-10 6.10814e-11 #avg: 1.7199e-10; avg_err: 2.07438e-12; sd: 2.74948e-10; counts: 17569
sfh 0.182185 9.18839e-11 2.25659e-10 6.72802e-11 #avg: 1.86742e-10; avg_err: 2.14975e-12; sd: 2.84937e-10; counts: 17569
sfh 0.187248 1.01675e-10 2.45628e-10 7.49797e-11 #avg: 2.02969e-10; avg_err: 2.30632e-12; sd: 3.0569e-10; counts: 17569
sfh 0.19231 1.10906e-10 2.69857e-10 8.18012e-11 #avg: 2.19522e-10; avg_err: 2.45851e-12; sd: 3.25861e-10; counts: 17569
sfh 0.197373 1.19129e-10 2.89997e-10 8.70005e-11 #avg: 2.38154e-10; avg_err: 2.66314e-12; sd: 3.52984e-10; counts: 17569
sfh 0.202435 1.31398e-10 3.05075e-10 9.5987e-11 #avg: 2.56345e-10; avg_err: 2.83691e-12; sd: 3.76016e-10; counts: 17569
sfh 0.207498 1.43941e-10 3.21957e-10 1.04867e-10 #avg: 2.75544e-10; avg_err: 3.04082e-12; sd: 4.03044e-10; counts: 17569
sfh 0.21256 1.57761e-10 3.55775e-10 1.15872e-10 #avg: 2.98519e-10; avg_err: 3.20861e-12; sd: 4.25283e-10; counts: 17569
sfh 0.217623 1.71702e-10 3.82962e-10 1.25798e-10 #avg: 3.17202e-10; avg_err: 3.29204e-12; sd: 4.36341e-10; counts: 17569
sfh 0.222685 1.85014e-10 4.13015e-10 1.36105e-10 #avg: 3.37423e-10; avg_err: 3.39685e-12; sd: 4.50233e-10; counts: 17569
sfh 0.227748 2.05122e-10 4.36025e-10 1.53235e-10 #avg: 3.59777e-10; avg_err: 3.52146e-12; sd: 4.66749e-10; counts: 17569
sfh 0.23281 2.2386e-10 4.62656e-10 1.6846e-10 #avg: 3.82216e-10; avg_err: 3.60666e-12; sd: 4.78042e-10; counts: 17569
sfh 0.237873 2.40976e-10 4.91219e-10 1.80741e-10 #avg: 4.05521e-10; avg_err: 3.75371e-12; sd: 4.97533e-10; counts: 17569
sfh 0.242935 2.63151e-10 5.1312e-10 1.98092e-10 #avg: 4.31524e-10; avg_err: 3.90528e-12; sd: 5.17623e-10; counts: 17569
sfh 0.247998 2.84752e-10 5.3862e-10 2.13758e-10 #avg: 4.59929e-10; avg_err: 4.08237e-12; sd: 5.41094e-10; counts: 17569
sfh 0.25306 3.11225e-10 5.82395e-10 2.36057e-10 #avg: 4.9112e-10; avg_err: 4.23135e-12; sd: 5.60842e-10; counts: 17569
sfh 0.258123 3.41212e-10 5.9881e-10 2.61034e-10 #avg: 5.17072e-10; avg_err: 4.27169e-12; sd: 5.66189e-10; counts: 17569
sfh 0.263185 3.71389e-10 6.24491e-10 2.84791e-10 #avg: 5.47233e-10; avg_err: 4.39166e-12; sd: 5.82089e-10; counts: 17569
sfh 0.268248 4.02525e-10 6.53991e-10 3.10792e-10 #avg: 5.80778e-10; avg_err: 4.58987e-12; sd: 6.08361e-10; counts: 17569
sfh 0.27331 4.38524e-10 6.91212e-10 3.39316e-10 #avg: 6.20985e-10; avg_err: 4.77674e-12; sd: 6.3313e-10; counts: 17569
sfh 0.278373 4.80628e-10 7.18269e-10 3.72895e-10 #avg: 6.60136e-10; avg_err: 4.87408e-12; sd: 6.46031e-10; counts: 17569
sfh 0.283435 5.38911e-10 7.25919e-10 4.20521e-10 #avg: 7.04522e-10; avg_err: 4.99814e-12; sd: 6.62475e-10; counts: 17569
sfh 0.288498 5.92873e-10 7.69092e-10 4.56201e-10 #avg: 7.61676e-10; avg_err: 5.19118e-12; sd: 6.88062e-10; counts: 17569
sfh 0.29356 6.7664e-10 7.69384e-10 5.17556e-10 #avg: 8.23667e-10; avg_err: 5.31796e-12; sd: 7.04866e-10; counts: 17569
sfh 0.298623 7.6415e-10 8.22036e-10 5.64425e-10 #avg: 9.07385e-10; avg_err: 5.60402e-12; sd: 7.42781e-10; counts: 17569
sfh 0.303685 8.5748e-10 8.59029e-10 6.14647e-10 #avg: 9.92548e-10; avg_err: 5.83804e-12; sd: 7.73799e-10; counts: 17569
sfh 0.308748 9.77777e-10 8.91247e-10 6.66027e-10 #avg: 1.0989e-09; avg_err: 6.15031e-12; sd: 8.15188e-10; counts: 17569
sfh 0.31381 1.10004e-09 9.56233e-10 7.32577e-10 #avg: 1.21767e-09; avg_err: 6.629e-12; sd: 8.78636e-10; counts: 17569
sfh 0.318873 1.22408e-09 1.03955e-09 8.10775e-10 #avg: 1.34767e-09; avg_err: 7.23972e-12; sd: 9.59583e-10; counts: 17569
sfh 0.323935 1.31101e-09 1.20633e-09 8.50665e-10 #avg: 1.47486e-09; avg_err: 8.02344e-12; sd: 1.06346e-09; counts: 17569
sfh 0.328997 1.36385e-09 1.39395e-09 8.53473e-10 #avg: 1.61455e-09; avg_err: 9.30821e-12; sd: 1.23375e-09; counts: 17569
sfh 0.33406 1.35821e-09 1.51212e-09 8.14913e-10 #avg: 1.7187e-09; avg_err: 1.09305e-11; sd: 1.44878e-09; counts: 17569
iclh 0.055623 0 0 0 #avg: 8.63618e-25; avg_err: 8.63618e-25; sd: 1.14468e-22; counts: 17569
iclh 0.060123 0 0 0 #avg: 7.72497e-16; avg_err: 3.33315e-16; sd: 4.4179e-14; counts: 17569
iclh 0.062373 0 0 0 #avg: 3.96352e-15; avg_err: 8.14901e-16; sd: 1.0801e-13; counts: 17569
iclh 0.064623 0 0 0 #avg: 1.40738e-14; avg_err: 2.15769e-15; sd: 2.85989e-13; counts: 17569
iclh 0.066873 0 0 0 #avg: 3.54516e-14; avg_err: 4.16504e-15; sd: 5.52053e-13; counts: 17569
iclh 0.069123 0 0 0 #avg: 8.46332e-14; avg_err: 1.01671e-14; sd: 1.34759e-12; counts: 17569
iclh 0.071373 0 0 0 #avg: 1.31756e-13; avg_err: 1.06787e-14; sd: 1.4154e-12; counts: 17569
iclh 0.073623 0 0 0 #avg: 2.14692e-13; avg_err: 1.45282e-14; sd: 1.92563e-12; counts: 17569
iclh 0.075873 0 6.48541e-18 0 #avg: 3.12542e-13; avg_err: 1.63967e-14; sd: 2.17329e-12; counts: 17569
iclh 0.078123 0 8.0111e-14 0 #avg: 4.62917e-13; avg_err: 2.14024e-14; sd: 2.83676e-12; counts: 17569
iclh 0.080373 0 3.73284e-13 0 #avg: 6.82613e-13; avg_err: 2.91072e-14; sd: 3.85799e-12; counts: 17569
iclh 0.082623 0 8.8724e-13 0 #avg: 9.11753e-13; avg_err: 3.02295e-14; sd: 4.00674e-12; counts: 17569
iclh 0.085998 1.78741e-17 1.88292e-12 1.78741e-17 #avg: 1.42985e-12; avg_err: 3.75494e-14; sd: 4.97696e-12; counts: 17569
