#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.334060 (z=1.993474) stellar mass
#obs_sm range: 7.75 - 8.25
#HM    Stats: 5.377940e+10 (median) + 3.464710e+10  / - 2.186760e+10
#SM    Stats: 8.568720e+07 (median) + 6.736179e+07  / - 3.587650e+07
#ObsSM Stats: 9.177190e+07 (median) + 4.828109e+07  / - 2.680180e+07
#VMP   Stats: 9.322000e+01 (median) + 1.188000e+01  / - 9.700005e+00
#ICL   Stats: 4.026470e+05 (median) + 4.935043e+06  / - 4.026470e+05
#SSFR  Stats: 7.685590e-10 (median) + 1.158402e-09  / - 4.599855e-10
sfh 0.055623 0 0 0 #avg: 2.73308e-21; avg_err: 2.73308e-21; sd: 1.31331e-18; counts: 230903
sfh 0.060123 0 0 0 #avg: 2.45271e-15; avg_err: 1.93996e-15; sd: 9.32196e-13; counts: 230903
sfh 0.062373 0 0 0 #avg: 7.53039e-15; avg_err: 3.77216e-15; sd: 1.81261e-12; counts: 230903
sfh 0.064623 0 0 0 #avg: 4.90655e-14; avg_err: 2.71144e-14; sd: 1.30291e-11; counts: 230903
sfh 0.066873 0 0 0 #avg: 1.11176e-13; avg_err: 2.64686e-14; sd: 1.27188e-11; counts: 230903
sfh 0.069123 0 0 0 #avg: 3.20054e-13; avg_err: 5.35503e-14; sd: 2.57321e-11; counts: 230903
sfh 0.071373 0 0 0 #avg: 7.69258e-13; avg_err: 9.62174e-14; sd: 4.62346e-11; counts: 230903
sfh 0.073623 0 0 0 #avg: 1.46954e-12; avg_err: 1.21356e-13; sd: 5.83144e-11; counts: 230903
sfh 0.075873 0 0 0 #avg: 2.82695e-12; avg_err: 1.75997e-13; sd: 8.45706e-11; counts: 230903
sfh 0.078123 0 0 0 #avg: 5.02493e-12; avg_err: 2.19951e-13; sd: 1.05691e-10; counts: 230903
sfh 0.080373 0 0 0 #avg: 8.20592e-12; avg_err: 2.86455e-13; sd: 1.37648e-10; counts: 230903
sfh 0.082623 0 0 0 #avg: 1.27631e-11; avg_err: 3.62646e-13; sd: 1.7426e-10; counts: 230903
sfh 0.085998 0 0 0 #avg: 2.27656e-11; avg_err: 4.30987e-13; sd: 2.07099e-10; counts: 230903
sfh 0.089373 0 0 0 #avg: 3.80391e-11; avg_err: 5.55448e-13; sd: 2.66905e-10; counts: 230903
sfh 0.092748 0 0 0 #avg: 5.96101e-11; avg_err: 6.55198e-13; sd: 3.14837e-10; counts: 230903
sfh 0.096123 0 4.06714e-11 0 #avg: 8.82951e-11; avg_err: 8.16627e-13; sd: 3.92408e-10; counts: 230903
sfh 0.099498 0 1.27154e-10 0 #avg: 1.22757e-10; avg_err: 9.45902e-13; sd: 4.54527e-10; counts: 230903
sfh 0.102873 0 2.31866e-10 0 #avg: 1.60063e-10; avg_err: 1.04741e-12; sd: 5.03302e-10; counts: 230903
sfh 0.106248 0 3.37772e-10 0 #avg: 2.01047e-10; avg_err: 1.1617e-12; sd: 5.58222e-10; counts: 230903
sfh 0.109623 0 4.41547e-10 0 #avg: 2.43739e-10; avg_err: 1.25951e-12; sd: 6.05225e-10; counts: 230903
sfh 0.112998 2.66984e-11 5.02078e-10 2.66984e-11 #avg: 2.82351e-10; avg_err: 1.33185e-12; sd: 6.39984e-10; counts: 230903
sfh 0.116373 6.24435e-11 5.34542e-10 6.24435e-11 #avg: 3.16696e-10; avg_err: 1.37784e-12; sd: 6.62083e-10; counts: 230903
sfh 0.119748 9.7397e-11 5.61302e-10 9.7397e-11 #avg: 3.48157e-10; avg_err: 1.40578e-12; sd: 6.75507e-10; counts: 230903
sfh 0.123123 1.29111e-10 5.92994e-10 1.29111e-10 #avg: 3.79965e-10; avg_err: 1.43154e-12; sd: 6.87889e-10; counts: 230903
sfh 0.126498 1.60654e-10 6.24996e-10 1.60654e-10 #avg: 4.15113e-10; avg_err: 1.48351e-12; sd: 7.12859e-10; counts: 230903
sfh 0.129873 1.91725e-10 6.58989e-10 1.91725e-10 #avg: 4.50327e-10; avg_err: 1.53671e-12; sd: 7.38422e-10; counts: 230903
sfh 0.133248 2.24139e-10 6.81988e-10 2.1733e-10 #avg: 4.81898e-10; avg_err: 1.56201e-12; sd: 7.50581e-10; counts: 230903
sfh 0.136623 2.54315e-10 6.97733e-10 2.34933e-10 #avg: 5.10957e-10; avg_err: 1.58721e-12; sd: 7.62691e-10; counts: 230903
sfh 0.141685 2.94674e-10 7.1523e-10 2.57844e-10 #avg: 5.46928e-10; avg_err: 1.59403e-12; sd: 7.65969e-10; counts: 230903
sfh 0.146748 3.32099e-10 7.22671e-10 2.77116e-10 #avg: 5.76694e-10; avg_err: 1.58811e-12; sd: 7.63122e-10; counts: 230903
sfh 0.15181 3.62431e-10 7.14638e-10 2.89258e-10 #avg: 5.9799e-10; avg_err: 1.5728e-12; sd: 7.55768e-10; counts: 230903
sfh 0.156873 3.86272e-10 7.05457e-10 2.95201e-10 #avg: 6.14767e-10; avg_err: 1.54912e-12; sd: 7.44388e-10; counts: 230903
sfh 0.161935 4.04686e-10 6.97373e-10 2.97807e-10 #avg: 6.26019e-10; avg_err: 1.5264e-12; sd: 7.33468e-10; counts: 230903
sfh 0.166998 4.22089e-10 6.82241e-10 3.01039e-10 #avg: 6.32486e-10; avg_err: 1.48181e-12; sd: 7.12046e-10; counts: 230903
sfh 0.17206 4.31279e-10 6.60928e-10 2.99814e-10 #avg: 6.31964e-10; avg_err: 1.43514e-12; sd: 6.89619e-10; counts: 230903
sfh 0.177123 4.38127e-10 6.43922e-10 2.96131e-10 #avg: 6.31016e-10; avg_err: 1.394e-12; sd: 6.69846e-10; counts: 230903
sfh 0.182185 4.47346e-10 6.28743e-10 2.95624e-10 #avg: 6.30388e-10; avg_err: 1.34315e-12; sd: 6.45412e-10; counts: 230903
sfh 0.187248 4.48211e-10 6.13436e-10 2.90527e-10 #avg: 6.24848e-10; avg_err: 1.29606e-12; sd: 6.22787e-10; counts: 230903
sfh 0.19231 4.49944e-10 5.93275e-10 2.85777e-10 #avg: 6.18068e-10; avg_err: 1.25185e-12; sd: 6.01543e-10; counts: 230903
sfh 0.197373 4.50569e-10 5.75587e-10 2.80629e-10 #avg: 6.11555e-10; avg_err: 1.21216e-12; sd: 5.8247e-10; counts: 230903
sfh 0.202435 4.47552e-10 5.55878e-10 2.73029e-10 #avg: 6.02442e-10; avg_err: 1.17169e-12; sd: 5.63023e-10; counts: 230903
sfh 0.207498 4.4532e-10 5.39354e-10 2.66049e-10 #avg: 5.94811e-10; avg_err: 1.13778e-12; sd: 5.46731e-10; counts: 230903
