#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.334060 (z=1.993474) stellar mass
#sm range: 10.75 - 11.25
#HM    Stats: 4.652940e+12 (median) + 6.139659e+12  / - 2.129410e+12
#SM    Stats: 8.088220e+10 (median) + 3.752280e+10  / - 1.864860e+10
#ObsSM Stats: 8.114750e+10 (median) + 6.187849e+10  / - 3.448380e+10
#VMP   Stats: 3.562900e+02 (median) + 1.118900e+02  / - 6.048001e+01
#ICL   Stats: 1.269630e+09 (median) + 3.918760e+09  / - 9.207620e+08
#SSFR  Stats: 3.367882e-12 (median) + 5.815680e-12  / - 2.189690e-12
sfh 0.055623 0 0 0 #avg: 2.05122e-19; avg_err: 7.72513e-20; sd: 5.661e-18; counts: 5371
sfh 0.060123 0 0 0 #avg: 2.11466e-14; avg_err: 2.30824e-15; sd: 1.69148e-13; counts: 5371
sfh 0.062373 0 0 0 #avg: 1.09933e-13; avg_err: 8.78197e-15; sd: 6.43545e-13; counts: 5371
sfh 0.064623 0 1.86902e-14 0 #avg: 3.53325e-13; avg_err: 2.14459e-14; sd: 1.57156e-12; counts: 5371
sfh 0.066873 0 7.39693e-13 0 #avg: 8.59631e-13; avg_err: 4.40552e-14; sd: 3.22838e-12; counts: 5371
sfh 0.069123 0 2.05875e-12 0 #avg: 1.72058e-12; avg_err: 7.57344e-14; sd: 5.54984e-12; counts: 5371
sfh 0.071373 0 4.08866e-12 0 #avg: 2.87347e-12; avg_err: 1.13025e-13; sd: 8.28247e-12; counts: 5371
sfh 0.073623 1.65983e-13 6.58477e-12 1.65983e-13 #avg: 4.18233e-12; avg_err: 1.52513e-13; sd: 1.11762e-11; counts: 5371
sfh 0.075873 5.60654e-13 8.94442e-12 5.60654e-13 #avg: 5.81297e-12; avg_err: 2.03437e-13; sd: 1.4908e-11; counts: 5371
sfh 0.078123 1.1647e-12 1.0622e-11 1.1647e-12 #avg: 7.63606e-12; avg_err: 2.7755e-13; sd: 2.0339e-11; counts: 5371
sfh 0.080373 2.05925e-12 1.25952e-11 2.05925e-12 #avg: 9.32443e-12; avg_err: 3.09616e-13; sd: 2.26887e-11; counts: 5371
