#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.334060 (z=1.993474) stellar mass
#sm range: 11.25 - 11.75
#HM    Stats: 3.589710e+12 (median) + 2.589700e+12  / - 1.629420e+12
#SM    Stats: 1.935050e+11 (median) + 4.040499e+10  / - 1.215300e+10
#ObsSM Stats: 2.217950e+11 (median) + 1.268020e+11  / - 8.385298e+10
#VMP   Stats: 3.433700e+02 (median) + 6.207001e+01  / - 5.428000e+01
#ICL   Stats: 4.530530e+08 (median) + 2.478917e+09  / - 3.931472e+08
#SSFR  Stats: 8.589070e-12 (median) + 1.173619e-09  / - 7.295413e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 43
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 43
sfh 0.062373 0 0 0 #avg: 4.82986e-16; avg_err: 4.82986e-16; sd: 3.13011e-15; counts: 43
sfh 0.064623 0 0 0 #avg: 8.86528e-15; avg_err: 6.98119e-15; sd: 4.52433e-14; counts: 43
sfh 0.066873 0 1.37345e-21 0 #avg: 4.6351e-14; avg_err: 2.27883e-14; sd: 1.47685e-13; counts: 43
sfh 0.069123 0 2.49558e-13 0 #avg: 1.56041e-13; avg_err: 6.26646e-14; sd: 4.06113e-13; counts: 43
sfh 0.071373 0 8.75112e-13 0 #avg: 4.37849e-13; avg_err: 1.61939e-13; sd: 1.04949e-12; counts: 43
sfh 0.073623 0 1.29202e-12 0 #avg: 5.44573e-13; avg_err: 1.69929e-13; sd: 1.10126e-12; counts: 43
sfh 0.075873 4.93319e-15 2.00703e-12 4.93319e-15 #avg: 6.80303e-13; avg_err: 1.91481e-13; sd: 1.24094e-12; counts: 43
sfh 0.078123 8.79567e-14 2.45618e-12 8.79567e-14 #avg: 1.05929e-12; avg_err: 2.69641e-13; sd: 1.74747e-12; counts: 43
sfh 0.080373 1.68542e-13 4.07567e-12 1.68542e-13 #avg: 1.4429e-12; avg_err: 3.14086e-13; sd: 2.03551e-12; counts: 43
sfh 0.082623 5.63128e-13 4.75011e-12 5.63128e-13 #avg: 1.90947e-12; avg_err: 4.27073e-13; sd: 2.76775e-12; counts: 43
sfh 0.085998 1.15589e-12 5.8098e-12 1.15589e-12 #avg: 2.69673e-12; avg_err: 5.31225e-13; sd: 3.44273e-12; counts: 43
sfh 0.089373 1.10863e-12 8.09927e-12 1.08072e-12 #avg: 4.18877e-12; avg_err: 9.11136e-13; sd: 5.90483e-12; counts: 43
sfh 0.092748 1.77831e-12 9.58062e-12 1.66279e-12 #avg: 6.28572e-12; avg_err: 1.65868e-12; sd: 1.07495e-11; counts: 43
sfh 0.096123 2.45771e-12 1.41226e-11 2.10483e-12 #avg: 7.88578e-12; avg_err: 1.68038e-12; sd: 1.08901e-11; counts: 43
sfh 0.099498 3.65088e-12 1.79872e-11 3.12274e-12 #avg: 1.17437e-11; avg_err: 2.42209e-12; sd: 1.56969e-11; counts: 43
sfh 0.102873 4.73513e-12 2.07425e-11 4.12575e-12 #avg: 1.25072e-11; avg_err: 2.52898e-12; sd: 1.63897e-11; counts: 43
sfh 0.106248 6.87942e-12 3.11923e-11 5.58709e-12 #avg: 1.96533e-11; avg_err: 4.58919e-12; sd: 2.97413e-11; counts: 43
sfh 0.109623 9.59183e-12 3.04713e-11 8.10549e-12 #avg: 2.31538e-11; avg_err: 5.50103e-12; sd: 3.56507e-11; counts: 43
sfh 0.112998 1.03218e-11 2.74174e-11 8.48109e-12 #avg: 2.23815e-11; avg_err: 5.01967e-12; sd: 3.25312e-11; counts: 43
sfh 0.116373 1.15227e-11 4.14532e-11 9.86101e-12 #avg: 2.36951e-11; avg_err: 5.02628e-12; sd: 3.2574e-11; counts: 43
sfh 0.119748 1.25894e-11 4.04216e-11 1.08471e-11 #avg: 2.93475e-11; avg_err: 6.45747e-12; sd: 4.18492e-11; counts: 43
sfh 0.123123 1.39488e-11 3.84956e-11 1.28345e-11 #avg: 3.58994e-11; avg_err: 9.48599e-12; sd: 6.14762e-11; counts: 43
sfh 0.126498 1.946e-11 3.37562e-11 1.79757e-11 #avg: 3.89843e-11; avg_err: 1.00271e-11; sd: 6.49832e-11; counts: 43
sfh 0.129873 1.97937e-11 4.64376e-11 1.81604e-11 #avg: 4.31674e-11; avg_err: 1.24025e-11; sd: 8.03774e-11; counts: 43
