#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.334060 (z=1.993474) stellar mass
#sm range: 9.25 - 9.75
#HM    Stats: 3.598530e+11 (median) + 1.808820e+11  / - 1.298530e+11
#SM    Stats: 2.834580e+09 (median) + 1.520500e+09  / - 8.007599e+08
#ObsSM Stats: 2.820040e+09 (median) + 2.350560e+09  / - 1.240790e+09
#VMP   Stats: 1.681300e+02 (median) + 1.731000e+01  / - 1.439000e+01
#ICL   Stats: 2.382990e+07 (median) + 7.424450e+07  / - 2.143457e+07
#SSFR  Stats: 1.314496e-09 (median) + 2.146609e-09  / - 1.046545e-09
sfh 0.055623 0 0 0 #avg: 3.03638e-20; avg_err: 3.00481e-20; sd: 4.64998e-18; counts: 23949
sfh 0.060123 0 0 0 #avg: 9.49166e-15; avg_err: 3.48759e-15; sd: 5.3971e-13; counts: 23949
sfh 0.062373 0 0 0 #avg: 7.29626e-14; avg_err: 1.45045e-14; sd: 2.24459e-12; counts: 23949
sfh 0.064623 0 0 0 #avg: 3.30534e-13; avg_err: 4.46987e-14; sd: 6.91719e-12; counts: 23949
sfh 0.066873 0 0 0 #avg: 8.36899e-13; avg_err: 8.14882e-14; sd: 1.26104e-11; counts: 23949
sfh 0.069123 0 0 0 #avg: 2.08977e-12; avg_err: 1.68716e-13; sd: 2.6109e-11; counts: 23949
sfh 0.071373 0 0 0 #avg: 3.62647e-12; avg_err: 2.40898e-13; sd: 3.72794e-11; counts: 23949
sfh 0.073623 0 0 0 #avg: 5.68653e-12; avg_err: 3.27675e-13; sd: 5.07081e-11; counts: 23949
sfh 0.075873 0 0 0 #avg: 7.84263e-12; avg_err: 3.58874e-13; sd: 5.55362e-11; counts: 23949
sfh 0.078123 0 1.5356e-12 0 #avg: 1.0837e-11; avg_err: 4.4635e-13; sd: 6.90732e-11; counts: 23949
sfh 0.080373 0 6.97217e-12 0 #avg: 1.33365e-11; avg_err: 4.48957e-13; sd: 6.94767e-11; counts: 23949
sfh 0.082623 0 1.48872e-11 0 #avg: 1.60391e-11; avg_err: 4.70205e-13; sd: 7.2765e-11; counts: 23949
sfh 0.085998 0 2.9941e-11 0 #avg: 2.40279e-11; avg_err: 6.05322e-13; sd: 9.36744e-11; counts: 23949
sfh 0.089373 3.10621e-13 4.74846e-11 3.10621e-13 #avg: 3.2334e-11; avg_err: 7.46162e-13; sd: 1.1547e-10; counts: 23949
sfh 0.092748 4.15255e-12 6.09194e-11 4.15255e-12 #avg: 4.07566e-11; avg_err: 8.22748e-13; sd: 1.27321e-10; counts: 23949
sfh 0.096123 9.59506e-12 7.6821e-11 9.59506e-12 #avg: 5.15173e-11; avg_err: 9.07889e-13; sd: 1.40497e-10; counts: 23949
sfh 0.099498 1.61937e-11 8.90978e-11 1.61937e-11 #avg: 6.31408e-11; avg_err: 1.05549e-12; sd: 1.63339e-10; counts: 23949
sfh 0.102873 2.33683e-11 1.01373e-10 2.33659e-11 #avg: 7.57236e-11; avg_err: 1.14979e-12; sd: 1.77932e-10; counts: 23949
sfh 0.106248 3.10751e-11 1.16285e-10 2.97631e-11 #avg: 8.97856e-11; avg_err: 1.3153e-12; sd: 2.03544e-10; counts: 23949
sfh 0.109623 3.79978e-11 1.28724e-10 3.46435e-11 #avg: 1.03788e-10; avg_err: 1.44317e-12; sd: 2.23332e-10; counts: 23949
sfh 0.112998 4.49324e-11 1.48798e-10 3.92743e-11 #avg: 1.19167e-10; avg_err: 1.60665e-12; sd: 2.48631e-10; counts: 23949
sfh 0.116373 5.30138e-11 1.67745e-10 4.49828e-11 #avg: 1.35162e-10; avg_err: 1.74211e-12; sd: 2.69594e-10; counts: 23949
sfh 0.119748 6.15893e-11 1.86813e-10 5.12601e-11 #avg: 1.50138e-10; avg_err: 1.8519e-12; sd: 2.86585e-10; counts: 23949
sfh 0.123123 6.92448e-11 2.10347e-10 5.6533e-11 #avg: 1.68834e-10; avg_err: 2.05776e-12; sd: 3.18441e-10; counts: 23949
sfh 0.126498 7.74044e-11 2.27835e-10 6.22282e-11 #avg: 1.86119e-10; avg_err: 2.32818e-12; sd: 3.60289e-10; counts: 23949
sfh 0.129873 8.60912e-11 2.4924e-10 6.81661e-11 #avg: 2.03747e-10; avg_err: 2.45337e-12; sd: 3.79663e-10; counts: 23949
sfh 0.133248 9.52266e-11 2.73386e-10 7.49064e-11 #avg: 2.20944e-10; avg_err: 2.53438e-12; sd: 3.922e-10; counts: 23949
sfh 0.136623 1.05432e-10 2.94066e-10 8.24315e-11 #avg: 2.36832e-10; avg_err: 2.58373e-12; sd: 3.99837e-10; counts: 23949
sfh 0.141685 1.2024e-10 3.26535e-10 9.31932e-11 #avg: 2.57711e-10; avg_err: 2.63636e-12; sd: 4.0798e-10; counts: 23949
sfh 0.146748 1.35946e-10 3.6544e-10 1.04297e-10 #avg: 2.78569e-10; avg_err: 2.69044e-12; sd: 4.1635e-10; counts: 23949
sfh 0.15181 1.5419e-10 3.833e-10 1.18504e-10 #avg: 3.01492e-10; avg_err: 2.79223e-12; sd: 4.32101e-10; counts: 23949
sfh 0.156873 1.71421e-10 4.21838e-10 1.30605e-10 #avg: 3.2619e-10; avg_err: 2.9095e-12; sd: 4.5025e-10; counts: 23949
sfh 0.161935 1.90266e-10 4.41218e-10 1.44942e-10 #avg: 3.55615e-10; avg_err: 3.17758e-12; sd: 4.91735e-10; counts: 23949
sfh 0.166998 2.08188e-10 4.62515e-10 1.57345e-10 #avg: 3.75109e-10; avg_err: 3.18498e-12; sd: 4.92879e-10; counts: 23949
sfh 0.17206 2.28138e-10 4.85876e-10 1.72228e-10 #avg: 3.92568e-10; avg_err: 3.14598e-12; sd: 4.86846e-10; counts: 23949
sfh 0.177123 2.49148e-10 4.92321e-10 1.86454e-10 #avg: 4.12458e-10; avg_err: 3.23416e-12; sd: 5.0049e-10; counts: 23949
sfh 0.182185 2.64851e-10 5.01672e-10 1.96113e-10 #avg: 4.28247e-10; avg_err: 3.24405e-12; sd: 5.02022e-10; counts: 23949
sfh 0.187248 2.83876e-10 5.14733e-10 2.06752e-10 #avg: 4.45295e-10; avg_err: 3.23159e-12; sd: 5.00093e-10; counts: 23949
sfh 0.19231 3.05311e-10 5.25085e-10 2.21058e-10 #avg: 4.65983e-10; avg_err: 3.30127e-12; sd: 5.10877e-10; counts: 23949
sfh 0.197373 3.2561e-10 5.18058e-10 2.34117e-10 #avg: 4.77933e-10; avg_err: 3.3114e-12; sd: 5.12443e-10; counts: 23949
sfh 0.202435 3.39257e-10 5.27421e-10 2.38435e-10 #avg: 4.93996e-10; avg_err: 3.30791e-12; sd: 5.11903e-10; counts: 23949
sfh 0.207498 3.59735e-10 5.2974e-10 2.49551e-10 #avg: 5.11658e-10; avg_err: 3.37759e-12; sd: 5.22687e-10; counts: 23949
sfh 0.21256 3.82072e-10 5.28631e-10 2.6006e-10 #avg: 5.28391e-10; avg_err: 3.39745e-12; sd: 5.2576e-10; counts: 23949
sfh 0.217623 3.99121e-10 5.25802e-10 2.64268e-10 #avg: 5.4131e-10; avg_err: 3.3204e-12; sd: 5.13837e-10; counts: 23949
