#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.334060 (z=1.993474) stellar mass
#vmpeak range: 1.61667 - 1.78333
#HM    Stats: 8.204410e+09 (median) + 2.733790e+09  / - 2.279410e+09
#SM    Stats: 8.213660e+06 (median) + 1.043974e+07  / - 3.534440e+06
#ObsSM Stats: 8.154550e+06 (median) + 8.158950e+06  / - 3.616360e+06
#VMP   Stats: 4.556000e+01 (median) + 4.320000e+00  / - 3.110001e+00
#ICL   Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR  Stats: 1.464444e-11 (median) + 1.120259e-11  / - 5.092503e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 181
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 181
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 181
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 181
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 181
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 181
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 181
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 181
sfh 0.075873 0 0 0 #avg: 3.4731e-13; avg_err: 3.4731e-13; sd: 4.65965e-12; counts: 181
sfh 0.078123 0 0 0 #avg: 2.33237e-12; avg_err: 2.01023e-12; sd: 2.697e-11; counts: 181
sfh 0.080373 0 0 0 #avg: 1.87412e-12; avg_err: 1.47448e-12; sd: 1.97822e-11; counts: 181
sfh 0.082623 0 0 0 #avg: 7.9724e-12; avg_err: 7.51711e-12; sd: 1.00853e-10; counts: 181
sfh 0.085998 0 0 0 #avg: 7.39865e-12; avg_err: 5.74492e-12; sd: 7.70762e-11; counts: 181
sfh 0.089373 0 0 0 #avg: 4.33232e-11; avg_err: 2.8151e-11; sd: 3.77685e-10; counts: 181
sfh 0.092748 0 0 0 #avg: 4.10423e-11; avg_err: 1.99435e-11; sd: 2.6757e-10; counts: 181
sfh 0.096123 0 0 0 #avg: 9.97866e-11; avg_err: 4.03747e-11; sd: 5.41683e-10; counts: 181
sfh 0.099498 0 0 0 #avg: 2.13239e-10; avg_err: 7.658e-11; sd: 1.02743e-09; counts: 181
sfh 0.102873 0 0 0 #avg: 2.84957e-10; avg_err: 8.0976e-11; sd: 1.08641e-09; counts: 181
sfh 0.106248 0 1.89432e-10 0 #avg: 5.36265e-10; avg_err: 1.30006e-10; sd: 1.74422e-09; counts: 181
sfh 0.109623 0 9.07755e-10 0 #avg: 6.36054e-10; avg_err: 1.28555e-10; sd: 1.72475e-09; counts: 181
sfh 0.112998 0 1.36226e-09 0 #avg: 7.58584e-10; avg_err: 1.4624e-10; sd: 1.96202e-09; counts: 181
sfh 0.116373 0 2.04882e-09 0 #avg: 9.78901e-10; avg_err: 1.75286e-10; sd: 2.35171e-09; counts: 181
sfh 0.119748 0 2.08134e-09 0 #avg: 9.07004e-10; avg_err: 1.34017e-10; sd: 1.79803e-09; counts: 181
sfh 0.123123 0 2.11383e-09 0 #avg: 8.35515e-10; avg_err: 1.16642e-10; sd: 1.56492e-09; counts: 181
sfh 0.126498 0 2.00944e-09 0 #avg: 9.42797e-10; avg_err: 1.28079e-10; sd: 1.71837e-09; counts: 181
sfh 0.129873 1.63039e-10 2.05151e-09 1.63039e-10 #avg: 1.07237e-09; avg_err: 1.33374e-10; sd: 1.78941e-09; counts: 181
sfh 0.133248 3.67624e-10 2.47491e-09 3.67624e-10 #avg: 1.3522e-09; avg_err: 1.79869e-10; sd: 2.41319e-09; counts: 181
sfh 0.136623 4.20509e-10 2.18962e-09 4.20509e-10 #avg: 1.41638e-09; avg_err: 1.7635e-10; sd: 2.36599e-09; counts: 181
sfh 0.141685 7.20181e-10 2.08384e-09 7.20181e-10 #avg: 1.46449e-09; avg_err: 1.63639e-10; sd: 2.19545e-09; counts: 181
sfh 0.146748 7.79368e-10 2.10568e-09 7.79368e-10 #avg: 1.39514e-09; avg_err: 1.2942e-10; sd: 1.73635e-09; counts: 181
sfh 0.15181 9.39587e-10 1.55911e-09 8.06931e-10 #avg: 1.47656e-09; avg_err: 1.30773e-10; sd: 1.7545e-09; counts: 181
sfh 0.156873 9.92668e-10 2.19734e-09 6.83462e-10 #avg: 1.64183e-09; avg_err: 1.42635e-10; sd: 1.91365e-09; counts: 181
sfh 0.161935 1.10574e-09 2.10943e-09 7.72774e-10 #avg: 1.90711e-09; avg_err: 1.72665e-10; sd: 2.31655e-09; counts: 181
sfh 0.166998 1.10393e-09 2.37989e-09 7.92219e-10 #avg: 1.85661e-09; avg_err: 1.56177e-10; sd: 2.09533e-09; counts: 181
sfh 0.17206 1.03871e-09 2.02316e-09 7.32053e-10 #avg: 1.67889e-09; avg_err: 1.38982e-10; sd: 1.86463e-09; counts: 181
sfh 0.177123 7.49806e-10 1.39344e-09 4.72459e-10 #avg: 1.43106e-09; avg_err: 1.48728e-10; sd: 1.99539e-09; counts: 181
sfh 0.182185 6.49896e-10 9.10922e-10 4.04434e-10 #avg: 9.6583e-10; avg_err: 7.46255e-11; sd: 1.00121e-09; counts: 181
sfh 0.187248 5.50241e-10 6.60845e-10 3.58576e-10 #avg: 8.81326e-10; avg_err: 8.63882e-11; sd: 1.15902e-09; counts: 181
sfh 0.19231 4.59187e-10 7.8006e-10 2.7301e-10 #avg: 8.42854e-10; avg_err: 9.30377e-11; sd: 1.24823e-09; counts: 181
sfh 0.197373 4.52499e-10 7.51372e-10 2.75405e-10 #avg: 7.89584e-10; avg_err: 8.04746e-11; sd: 1.07968e-09; counts: 181
sfh 0.202435 3.94083e-10 7.5271e-10 2.27667e-10 #avg: 6.78504e-10; avg_err: 6.01236e-11; sd: 8.06643e-10; counts: 181
sfh 0.207498 3.58242e-10 6.14209e-10 2.34343e-10 #avg: 5.86537e-10; avg_err: 5.57349e-11; sd: 7.47763e-10; counts: 181
sfh 0.21256 3.26791e-10 5.172e-10 2.01285e-10 #avg: 5.3014e-10; avg_err: 5.88124e-11; sd: 7.89051e-10; counts: 181
sfh 0.217623 3.08513e-10 4.09144e-10 1.88917e-10 #avg: 4.54326e-10; avg_err: 4.34817e-11; sd: 5.83369e-10; counts: 181
sfh 0.222685 2.71536e-10 3.98395e-10 1.60538e-10 #avg: 4.15357e-10; avg_err: 4.12996e-11; sd: 5.54093e-10; counts: 181
