#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.334060 (z=1.993474) stellar mass
#vmpeak range: 1.95 - 2.11667
#HM    Stats: 9.502940e+10 (median) + 5.908859e+10  / - 3.189700e+10
#SM    Stats: 1.306080e+08 (median) + 1.940430e+08  / - 6.998970e+07
#ObsSM Stats: 1.288190e+08 (median) + 2.195220e+08  / - 7.789100e+07
#VMP   Stats: 1.017700e+02 (median) + 1.604000e+01  / - 9.399994e+00
#ICL   Stats: 1.969850e+06 (median) + 8.837050e+06  / - 1.961968e+06
#SSFR  Stats: 1.339100e-09 (median) + 2.140871e-09  / - 7.943327e-10
sfh 0.055623 0 0 0 #avg: 6.15566e-22; avg_err: 6.15566e-22; sd: 6.23273e-19; counts: 1025196
sfh 0.060123 0 0 0 #avg: 1.69191e-15; avg_err: 6.23203e-16; sd: 6.31005e-13; counts: 1025196
sfh 0.062373 0 0 0 #avg: 9.41351e-15; avg_err: 1.80991e-15; sd: 1.83256e-12; counts: 1025196
sfh 0.064623 0 0 0 #avg: 3.34858e-14; avg_err: 4.36689e-15; sd: 4.42156e-12; counts: 1025196
sfh 0.066873 0 0 0 #avg: 1.10051e-13; avg_err: 1.13411e-14; sd: 1.1483e-11; counts: 1025196
sfh 0.069123 0 0 0 #avg: 2.88478e-13; avg_err: 1.94974e-14; sd: 1.97415e-11; counts: 1025196
sfh 0.071373 0 0 0 #avg: 6.01758e-13; avg_err: 3.24494e-14; sd: 3.28557e-11; counts: 1025196
sfh 0.073623 0 0 0 #avg: 1.15852e-12; avg_err: 4.6768e-14; sd: 4.73535e-11; counts: 1025196
sfh 0.075873 0 0 0 #avg: 2.0677e-12; avg_err: 6.0665e-14; sd: 6.14245e-11; counts: 1025196
sfh 0.078123 0 0 0 #avg: 3.33881e-12; avg_err: 6.93033e-14; sd: 7.0171e-11; counts: 1025196
sfh 0.080373 0 0 0 #avg: 5.32979e-12; avg_err: 8.48494e-14; sd: 8.59117e-11; counts: 1025196
sfh 0.082623 0 0 0 #avg: 7.97034e-12; avg_err: 1.05204e-13; sd: 1.06521e-10; counts: 1025196
sfh 0.085998 0 0 0 #avg: 1.43797e-11; avg_err: 1.38547e-13; sd: 1.40282e-10; counts: 1025196
sfh 0.089373 0 0 0 #avg: 2.34816e-11; avg_err: 1.67162e-13; sd: 1.69255e-10; counts: 1025196
sfh 0.092748 0 0 0 #avg: 3.64542e-11; avg_err: 2.06754e-13; sd: 2.09342e-10; counts: 1025196
sfh 0.096123 0 2.21617e-11 0 #avg: 5.26719e-11; avg_err: 2.44169e-13; sd: 2.47225e-10; counts: 1025196
sfh 0.099498 0 6.97369e-11 0 #avg: 7.26838e-11; avg_err: 2.81678e-13; sd: 2.85205e-10; counts: 1025196
sfh 0.102873 0 1.29371e-10 0 #avg: 9.52135e-11; avg_err: 3.15952e-13; sd: 3.19908e-10; counts: 1025196
sfh 0.106248 0 1.92809e-10 0 #avg: 1.20447e-10; avg_err: 3.52848e-13; sd: 3.57265e-10; counts: 1025196
sfh 0.109623 0 2.55967e-10 0 #avg: 1.46831e-10; avg_err: 3.82137e-13; sd: 3.86921e-10; counts: 1025196
sfh 0.112998 1.3367e-11 2.97432e-10 1.3367e-11 #avg: 1.71578e-10; avg_err: 4.05319e-13; sd: 4.10393e-10; counts: 1025196
sfh 0.116373 3.39582e-11 3.22224e-10 3.39582e-11 #avg: 1.93398e-10; avg_err: 4.19424e-13; sd: 4.24675e-10; counts: 1025196
sfh 0.119748 5.53522e-11 3.42034e-10 5.53522e-11 #avg: 2.14688e-10; avg_err: 4.3364e-13; sd: 4.39069e-10; counts: 1025196
sfh 0.123123 7.51963e-11 3.61228e-10 7.51963e-11 #avg: 2.35999e-10; avg_err: 4.49603e-13; sd: 4.55232e-10; counts: 1025196
sfh 0.126498 9.50253e-11 3.84372e-10 9.50253e-11 #avg: 2.5888e-10; avg_err: 4.64948e-13; sd: 4.70769e-10; counts: 1025196
sfh 0.129873 1.15507e-10 4.0477e-10 1.15507e-10 #avg: 2.82492e-10; avg_err: 4.83369e-13; sd: 4.89421e-10; counts: 1025196
sfh 0.133248 1.35802e-10 4.24947e-10 1.33539e-10 #avg: 3.05293e-10; avg_err: 4.97888e-13; sd: 5.04121e-10; counts: 1025196
sfh 0.136623 1.56069e-10 4.43607e-10 1.46436e-10 #avg: 3.28081e-10; avg_err: 5.12052e-13; sd: 5.18462e-10; counts: 1025196
sfh 0.141685 1.83211e-10 4.66596e-10 1.6219e-10 #avg: 3.58061e-10; avg_err: 5.25231e-13; sd: 5.31806e-10; counts: 1025196
sfh 0.146748 2.09885e-10 4.86066e-10 1.76349e-10 #avg: 3.85238e-10; avg_err: 5.33664e-13; sd: 5.40345e-10; counts: 1025196
sfh 0.15181 2.33005e-10 4.99474e-10 1.86884e-10 #avg: 4.08016e-10; avg_err: 5.37011e-13; sd: 5.43734e-10; counts: 1025196
sfh 0.156873 2.53462e-10 5.06684e-10 1.95476e-10 #avg: 4.2665e-10; avg_err: 5.38427e-13; sd: 5.45168e-10; counts: 1025196
sfh 0.161935 2.70889e-10 5.11405e-10 2.01771e-10 #avg: 4.42347e-10; avg_err: 5.37772e-13; sd: 5.44504e-10; counts: 1025196
sfh 0.166998 2.8734e-10 5.14742e-10 2.07945e-10 #avg: 4.56125e-10; avg_err: 5.34301e-13; sd: 5.4099e-10; counts: 1025196
sfh 0.17206 2.98583e-10 5.11117e-10 2.10767e-10 #avg: 4.63572e-10; avg_err: 5.27305e-13; sd: 5.33907e-10; counts: 1025196
sfh 0.177123 3.09743e-10 5.11715e-10 2.1481e-10 #avg: 4.71731e-10; avg_err: 5.21668e-13; sd: 5.28198e-10; counts: 1025196
sfh 0.182185 3.21294e-10 5.12547e-10 2.19333e-10 #avg: 4.80147e-10; avg_err: 5.15936e-13; sd: 5.22395e-10; counts: 1025196
sfh 0.187248 3.28661e-10 5.1121e-10 2.21332e-10 #avg: 4.84616e-10; avg_err: 5.08623e-13; sd: 5.1499e-10; counts: 1025196
sfh 0.19231 3.36965e-10 5.0715e-10 2.24092e-10 #avg: 4.89637e-10; avg_err: 5.03014e-13; sd: 5.09312e-10; counts: 1025196
sfh 0.197373 3.44541e-10 5.05582e-10 2.25721e-10 #avg: 4.95348e-10; avg_err: 5.0058e-13; sd: 5.06846e-10; counts: 1025196
sfh 0.202435 3.51679e-10 5.01343e-10 2.26973e-10 #avg: 4.99801e-10; avg_err: 4.96485e-13; sd: 5.02701e-10; counts: 1025196
sfh 0.207498 3.58878e-10 4.9681e-10 2.28226e-10 #avg: 5.03371e-10; avg_err: 4.88722e-13; sd: 4.9484e-10; counts: 1025196
sfh 0.21256 3.65949e-10 4.90919e-10 2.29486e-10 #avg: 5.07483e-10; avg_err: 4.83968e-13; sd: 4.90027e-10; counts: 1025196
sfh 0.217623 3.72747e-10 4.86485e-10 2.30278e-10 #avg: 5.11013e-10; avg_err: 4.77911e-13; sd: 4.83895e-10; counts: 1025196
sfh 0.222685 3.78842e-10 4.82643e-10 2.30509e-10 #avg: 5.15027e-10; avg_err: 4.72673e-13; sd: 4.7859e-10; counts: 1025196
sfh 0.227748 3.87106e-10 4.7956e-10 2.32845e-10 #avg: 5.20457e-10; avg_err: 4.68814e-13; sd: 4.74683e-10; counts: 1025196
sfh 0.23281 3.94344e-10 4.8476e-10 2.34714e-10 #avg: 5.28223e-10; avg_err: 4.70219e-13; sd: 4.76106e-10; counts: 1025196
sfh 0.237873 4.00825e-10 4.84e-10 2.34955e-10 #avg: 5.3415e-10; avg_err: 4.69757e-13; sd: 4.75638e-10; counts: 1025196
sfh 0.242935 4.07135e-10 4.81309e-10 2.35462e-10 #avg: 5.3901e-10; avg_err: 4.67218e-13; sd: 4.73068e-10; counts: 1025196
sfh 0.247998 4.15737e-10 4.8166e-10 2.36319e-10 #avg: 5.47648e-10; avg_err: 4.68581e-13; sd: 4.74448e-10; counts: 1025196
sfh 0.25306 4.23492e-10 4.7857e-10 2.37336e-10 #avg: 5.53333e-10; avg_err: 4.66989e-13; sd: 4.72835e-10; counts: 1025196
sfh 0.258123 4.3318e-10 4.81333e-10 2.39493e-10 #avg: 5.63514e-10; avg_err: 4.68141e-13; sd: 4.74002e-10; counts: 1025196
sfh 0.263185 4.41522e-10 4.80924e-10 2.40598e-10 #avg: 5.70826e-10; avg_err: 4.6687e-13; sd: 4.72715e-10; counts: 1025196
sfh 0.268248 4.50423e-10 4.83503e-10 2.42371e-10 #avg: 5.79813e-10; avg_err: 4.68291e-13; sd: 4.74154e-10; counts: 1025196
sfh 0.27331 4.60348e-10 4.88079e-10 2.44297e-10 #avg: 5.90735e-10; avg_err: 4.71458e-13; sd: 4.7736e-10; counts: 1025196
sfh 0.278373 4.70797e-10 4.97802e-10 2.47742e-10 #avg: 6.04056e-10; avg_err: 4.78891e-13; sd: 4.84886e-10; counts: 1025196
sfh 0.283435 4.85909e-10 5.04859e-10 2.52884e-10 #avg: 6.20471e-10; avg_err: 4.84872e-13; sd: 4.90942e-10; counts: 1025196
sfh 0.288498 4.98884e-10 5.09737e-10 2.56313e-10 #avg: 6.3436e-10; avg_err: 4.90536e-13; sd: 4.96678e-10; counts: 1025196
sfh 0.29356 5.12119e-10 5.16677e-10 2.60314e-10 #avg: 6.48778e-10; avg_err: 4.93883e-13; sd: 5.00066e-10; counts: 1025196
sfh 0.298623 5.28229e-10 5.22924e-10 2.65893e-10 #avg: 6.65227e-10; avg_err: 4.99651e-13; sd: 5.05906e-10; counts: 1025196
sfh 0.303685 5.43703e-10 5.36923e-10 2.71274e-10 #avg: 6.83701e-10; avg_err: 5.07096e-13; sd: 5.13444e-10; counts: 1025196
sfh 0.308748 5.62074e-10 5.54624e-10 2.80134e-10 #avg: 7.06258e-10; avg_err: 5.21896e-13; sd: 5.2843e-10; counts: 1025196
sfh 0.31381 5.82533e-10 5.80959e-10 2.91957e-10 #avg: 7.34708e-10; avg_err: 5.48123e-13; sd: 5.54985e-10; counts: 1025196
sfh 0.318873 6.02749e-10 6.24751e-10 3.04999e-10 #avg: 7.70845e-10; avg_err: 5.90537e-13; sd: 5.97931e-10; counts: 1025196
sfh 0.323935 6.21185e-10 6.90153e-10 3.19424e-10 #avg: 8.18058e-10; avg_err: 6.6336e-13; sd: 6.71665e-10; counts: 1025196
sfh 0.328997 6.3649e-10 7.55271e-10 3.31626e-10 #avg: 8.769e-10; avg_err: 7.9572e-13; sd: 8.05682e-10; counts: 1025196
sfh 0.33406 6.47127e-10 8.25013e-10 3.41165e-10 #avg: 9.57234e-10; avg_err: 1.10675e-12; sd: 1.1206e-09; counts: 1025196
iclh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1025196
iclh 0.060123 0 0 0 #avg: 3.08546e-21; avg_err: 2.22656e-21; sd: 2.25444e-18; counts: 1025196
iclh 0.062373 0 0 0 #avg: 1.69933e-16; avg_err: 1.68232e-16; sd: 1.70338e-13; counts: 1025196
iclh 0.064623 0 0 0 #avg: 1.246e-15; avg_err: 4.43416e-16; sd: 4.48968e-13; counts: 1025196
iclh 0.066873 0 0 0 #avg: 4.32122e-15; avg_err: 1.12945e-15; sd: 1.14359e-12; counts: 1025196
iclh 0.069123 0 0 0 #avg: 9.80675e-15; avg_err: 2.30675e-15; sd: 2.33563e-12; counts: 1025196
iclh 0.071373 0 0 0 #avg: 2.31563e-14; avg_err: 4.28617e-15; sd: 4.33982e-12; counts: 1025196
iclh 0.073623 0 0 0 #avg: 4.94075e-14; avg_err: 7.15058e-15; sd: 7.2401e-12; counts: 1025196
iclh 0.075873 0 0 0 #avg: 8.27359e-14; avg_err: 8.04905e-15; sd: 8.14982e-12; counts: 1025196
iclh 0.078123 0 0 0 #avg: 1.45398e-13; avg_err: 1.18322e-14; sd: 1.19803e-11; counts: 1025196
iclh 0.080373 0 0 0 #avg: 2.84175e-13; avg_err: 2.60213e-14; sd: 2.6347e-11; counts: 1025196
iclh 0.082623 0 0 0 #avg: 4.84829e-13; avg_err: 3.78779e-14; sd: 3.83521e-11; counts: 1025196
iclh 0.085998 0 0 0 #avg: 8.6816e-13; avg_err: 3.2922e-14; sd: 3.33342e-11; counts: 1025196
iclh 0.089373 0 0 0 #avg: 1.5821e-12; avg_err: 4.61302e-14; sd: 4.67077e-11; counts: 1025196
iclh 0.092748 0 0 0 #avg: 2.76674e-12; avg_err: 5.9529e-14; sd: 6.02743e-11; counts: 1025196
iclh 0.096123 0 0 0 #avg: 4.50316e-12; avg_err: 6.41467e-14; sd: 6.49497e-11; counts: 1025196
iclh 0.099498 0 0 0 #avg: 7.01626e-12; avg_err: 7.48316e-14; sd: 7.57684e-11; counts: 1025196
iclh 0.102873 0 0 0 #avg: 1.03416e-11; avg_err: 9.96386e-14; sd: 1.00886e-10; counts: 1025196
iclh 0.106248 0 0 0 #avg: 1.43762e-11; avg_err: 1.21197e-13; sd: 1.22714e-10; counts: 1025196
