#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.334060 (z=1.993474) stellar mass
#vmpeak range: 1.95 - 2.11667
#HM    Stats: 9.275000e+10 (median) + 5.355901e+10  / - 3.623530e+10
#SM    Stats: 2.018330e+08 (median) + 2.089040e+08  / - 1.167298e+08
#ObsSM Stats: 2.069190e+08 (median) + 2.491730e+08  / - 1.267519e+08
#VMP   Stats: 1.156200e+02 (median) + 1.121999e+01  / - 1.432000e+01
#ICL   Stats: 2.024250e+06 (median) + 1.093965e+07  / - 2.024250e+06
#SSFR  Stats: 2.936909e-12 (median) + 3.258214e-12  / - 1.870198e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1529
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1529
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1529
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1529
sfh 0.066873 0 0 0 #avg: 4.09212e-13; avg_err: 2.37858e-13; sd: 9.29777e-12; counts: 1529
sfh 0.069123 0 0 0 #avg: 1.46497e-12; avg_err: 6.90431e-13; sd: 2.69887e-11; counts: 1529
sfh 0.071373 0 0 0 #avg: 1.92212e-12; avg_err: 6.23657e-13; sd: 2.43785e-11; counts: 1529
sfh 0.073623 0 0 0 #avg: 5.69098e-12; avg_err: 1.64253e-12; sd: 6.42057e-11; counts: 1529
sfh 0.075873 0 0 0 #avg: 1.02408e-11; avg_err: 2.8286e-12; sd: 1.10569e-10; counts: 1529
sfh 0.078123 0 0 0 #avg: 1.61679e-11; avg_err: 3.74142e-12; sd: 1.46251e-10; counts: 1529
sfh 0.080373 0 0 0 #avg: 3.14971e-11; avg_err: 6.40241e-12; sd: 2.50268e-10; counts: 1529
sfh 0.082623 0 0 0 #avg: 4.11432e-11; avg_err: 7.83713e-12; sd: 3.0635e-10; counts: 1529
sfh 0.085998 0 0 0 #avg: 5.12368e-11; avg_err: 6.57155e-12; sd: 2.5688e-10; counts: 1529
sfh 0.089373 0 4.07711e-11 0 #avg: 7.7782e-11; avg_err: 8.36641e-12; sd: 3.2704e-10; counts: 1529
