#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.334060 (z=1.993474)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.334060 (z=1.993474) stellar mass
#vmpeak range: 2.11667 - 2.28333
#HM    Stats: 3.782350e+11 (median) + 2.186770e+11  / - 1.601470e+11
#SM    Stats: 1.631360e+09 (median) + 2.031070e+09  / - 9.484310e+08
#ObsSM Stats: 1.638510e+09 (median) + 2.555890e+09  / - 1.022120e+09
#VMP   Stats: 1.652300e+02 (median) + 1.845000e+01  / - 2.172000e+01
#ICL   Stats: 2.673660e+07 (median) + 7.198270e+07  / - 2.275301e+07
#SSFR  Stats: 2.705813e-12 (median) + 3.359038e-12  / - 1.685938e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 9797
sfh 0.060123 0 0 0 #avg: 5.03564e-15; avg_err: 3.08425e-15; sd: 3.05263e-13; counts: 9797
sfh 0.062373 0 0 0 #avg: 1.2045e-13; avg_err: 4.48682e-14; sd: 4.44081e-12; counts: 9797
sfh 0.064623 0 0 0 #avg: 5.04611e-13; avg_err: 1.47978e-13; sd: 1.46461e-11; counts: 9797
sfh 0.066873 0 0 0 #avg: 1.03601e-12; avg_err: 2.33387e-13; sd: 2.30994e-11; counts: 9797
sfh 0.069123 0 0 0 #avg: 1.6835e-12; avg_err: 2.5268e-13; sd: 2.5009e-11; counts: 9797
sfh 0.071373 0 0 0 #avg: 3.14265e-12; avg_err: 3.96044e-13; sd: 3.91983e-11; counts: 9797
sfh 0.073623 0 0 0 #avg: 5.37558e-12; avg_err: 7.84169e-13; sd: 7.7613e-11; counts: 9797
sfh 0.075873 0 0 0 #avg: 6.49096e-12; avg_err: 5.43114e-13; sd: 5.37546e-11; counts: 9797
sfh 0.078123 0 0 0 #avg: 9.79813e-12; avg_err: 6.92534e-13; sd: 6.85433e-11; counts: 9797
sfh 0.080373 0 1.89072e-12 0 #avg: 1.30239e-11; avg_err: 8.1224e-13; sd: 8.03912e-11; counts: 9797
sfh 0.082623 0 8.59027e-12 0 #avg: 1.76688e-11; avg_err: 1.18177e-12; sd: 1.16966e-10; counts: 9797
sfh 0.085998 0 2.41997e-11 0 #avg: 2.66107e-11; avg_err: 1.20607e-12; sd: 1.1937e-10; counts: 9797
sfh 0.089373 0 4.60407e-11 0 #avg: 3.66283e-11; avg_err: 1.52842e-12; sd: 1.51275e-10; counts: 9797
sfh 0.092748 1.56181e-12 6.69802e-11 1.56181e-12 #avg: 4.62011e-11; avg_err: 1.55107e-12; sd: 1.53517e-10; counts: 9797
sfh 0.096123 7.44839e-12 8.65024e-11 7.44839e-12 #avg: 5.92353e-11; avg_err: 1.71538e-12; sd: 1.69779e-10; counts: 9797
sfh 0.099498 1.62268e-11 1.00619e-10 1.62268e-11 #avg: 7.27686e-11; avg_err: 1.84446e-12; sd: 1.82555e-10; counts: 9797
sfh 0.102873 2.60026e-11 1.21829e-10 2.60026e-11 #avg: 9.00562e-11; avg_err: 2.08976e-12; sd: 2.06833e-10; counts: 9797
sfh 0.106248 3.60419e-11 1.46484e-10 3.59627e-11 #avg: 1.06897e-10; avg_err: 2.40675e-12; sd: 2.38207e-10; counts: 9797
sfh 0.109623 4.67514e-11 1.68194e-10 4.44998e-11 #avg: 1.28231e-10; avg_err: 2.82215e-12; sd: 2.79321e-10; counts: 9797
sfh 0.112998 5.74837e-11 1.83255e-10 5.18123e-11 #avg: 1.46971e-10; avg_err: 3.08827e-12; sd: 3.05661e-10; counts: 9797
sfh 0.116373 6.78765e-11 2.03429e-10 5.87281e-11 #avg: 1.66005e-10; avg_err: 3.41277e-12; sd: 3.37778e-10; counts: 9797
sfh 0.119748 7.75253e-11 2.26285e-10 6.45575e-11 #avg: 1.79766e-10; avg_err: 3.27867e-12; sd: 3.24506e-10; counts: 9797
