#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 10.75 - 11.25
#HM    Stats: 8.636760e+10 (median) + 4.741140e+10  / - 2.301470e+10
#SM    Stats: 1.046170e+08 (median) + 1.725290e+08  / - 6.161600e+07
#ObsSM Stats: 1.030550e+08 (median) + 1.809090e+08  / - 6.326900e+07
#VMP   Stats: 8.460000e+01 (median) + 1.227000e+01  / - 9.309998e+00
#ICL   Stats: 1.075070e+06 (median) + 5.402840e+06  / - 1.053123e+06
#SSFR  Stats: 7.423287e-10 (median) + 8.622800e-10  / - 3.929467e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 897804
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 897804
sfh 0.062373 0 0 0 #avg: 5.27047e-08; avg_err: 4.52602e-08; sd: 4.28852e-05; counts: 897804
sfh 0.064623 0 0 0 #avg: 6.09876e-07; avg_err: 1.98313e-07; sd: 0.000187906; counts: 897804
sfh 0.066873 0 0 0 #avg: 1.75234e-06; avg_err: 5.23985e-07; sd: 0.000496489; counts: 897804
sfh 0.069123 0 0 0 #avg: 7.40793e-06; avg_err: 1.8609e-06; sd: 0.00176325; counts: 897804
sfh 0.071373 0 0 0 #avg: 1.89855e-05; avg_err: 3.87125e-06; sd: 0.0036681; counts: 897804
sfh 0.073623 0 0 0 #avg: 4.08095e-05; avg_err: 6.88085e-06; sd: 0.00651978; counts: 897804
sfh 0.075873 0 0 0 #avg: 7.23092e-05; avg_err: 8.38799e-06; sd: 0.00794783; counts: 897804
sfh 0.078123 0 0 0 #avg: 0.000112308; avg_err: 7.14591e-06; sd: 0.00677093; counts: 897804
sfh 0.080373 0 0 0 #avg: 0.000186507; avg_err: 8.38236e-06; sd: 0.00794249; counts: 897804
sfh 0.082623 0 0 0 #avg: 0.000292408; avg_err: 9.9774e-06; sd: 0.00945384; counts: 897804
sfh 0.085998 0 0 0 #avg: 0.000543993; avg_err: 1.3457e-05; sd: 0.0127509; counts: 897804
sfh 0.089373 0 0 0 #avg: 0.000938742; avg_err: 1.64669e-05; sd: 0.0156028; counts: 897804
sfh 0.092748 0 0 0 #avg: 0.00153419; avg_err: 2.03957e-05; sd: 0.0193254; counts: 897804
sfh 0.096123 0 0 0 #avg: 0.00230858; avg_err: 2.39793e-05; sd: 0.022721; counts: 897804
sfh 0.099498 0 0 0 #avg: 0.00328969; avg_err: 2.67785e-05; sd: 0.0253733; counts: 897804
sfh 0.102873 0 0 0 #avg: 0.00449645; avg_err: 3.08333e-05; sd: 0.0292153; counts: 897804
sfh 0.106248 0 6.49766e-10 0 #avg: 0.00591514; avg_err: 3.50695e-05; sd: 0.0332292; counts: 897804
sfh 0.109623 0 0.0035681 0 #avg: 0.00739798; avg_err: 3.87894e-05; sd: 0.0367539; counts: 897804
sfh 0.112998 0 0.00825983 0 #avg: 0.00885874; avg_err: 4.05604e-05; sd: 0.038432; counts: 897804
sfh 0.116373 0 0.0124641 0 #avg: 0.0101163; avg_err: 4.14976e-05; sd: 0.03932; counts: 897804
sfh 0.119748 0 0.0158815 0 #avg: 0.0113295; avg_err: 4.26933e-05; sd: 0.040453; counts: 897804
sfh 0.123123 0 0.0190497 0 #avg: 0.0126127; avg_err: 4.4576e-05; sd: 0.0422369; counts: 897804
sfh 0.126498 0 0.0220641 0 #avg: 0.014006; avg_err: 4.64385e-05; sd: 0.0440017; counts: 897804
sfh 0.129873 0.000708013 0.024389 0.000708013 #avg: 0.0154564; avg_err: 4.8857e-05; sd: 0.0462932; counts: 897804
sfh 0.133248 0.00174673 0.0264487 0.00174673 #avg: 0.0169398; avg_err: 5.01985e-05; sd: 0.0475644; counts: 897804
sfh 0.136623 0.0028667 0.0281832 0.0028667 #avg: 0.0184759; avg_err: 5.38387e-05; sd: 0.0510135; counts: 897804
sfh 0.141685 0.00439073 0.030545 0.00439073 #avg: 0.0204845; avg_err: 5.51541e-05; sd: 0.0522598; counts: 897804
sfh 0.146748 0.00598036 0.0322635 0.00598036 #avg: 0.0223142; avg_err: 5.57548e-05; sd: 0.0528291; counts: 897804
sfh 0.15181 0.00747287 0.0334359 0.00747287 #avg: 0.0238947; avg_err: 5.69769e-05; sd: 0.0539871; counts: 897804
sfh 0.156873 0.00885877 0.03412 0.00875667 #avg: 0.0251643; avg_err: 5.73558e-05; sd: 0.054346; counts: 897804
sfh 0.161935 0.0100232 0.0341804 0.0095662 #avg: 0.0260809; avg_err: 5.72007e-05; sd: 0.0541991; counts: 897804
sfh 0.166998 0.0109902 0.0342796 0.010121 #avg: 0.0268574; avg_err: 5.76561e-05; sd: 0.0546305; counts: 897804
sfh 0.17206 0.0115392 0.0338302 0.0102475 #avg: 0.0271611; avg_err: 5.70139e-05; sd: 0.0540221; counts: 897804
sfh 0.177123 0.0117628 0.033842 0.0101014 #avg: 0.0274361; avg_err: 5.7009e-05; sd: 0.0540174; counts: 897804
sfh 0.182185 0.0119802 0.0339286 0.0100406 #avg: 0.0276392; avg_err: 5.66354e-05; sd: 0.0536634; counts: 897804
sfh 0.187248 0.0121369 0.0336522 0.00996718 #avg: 0.0276598; avg_err: 5.64996e-05; sd: 0.0535347; counts: 897804
sfh 0.19231 0.0122564 0.033675 0.00989318 #avg: 0.0277355; avg_err: 5.5788e-05; sd: 0.0528606; counts: 897804
sfh 0.197373 0.0123529 0.033396 0.00982128 #avg: 0.0277745; avg_err: 5.56704e-05; sd: 0.0527491; counts: 897804
sfh 0.202435 0.0125164 0.0332301 0.00982546 #avg: 0.0277891; avg_err: 5.61219e-05; sd: 0.0531769; counts: 897804
sfh 0.207498 0.0126349 0.033288 0.00980246 #avg: 0.0278534; avg_err: 5.5681e-05; sd: 0.0527591; counts: 897804
sfh 0.21256 0.0127529 0.0333151 0.00979317 #avg: 0.0279732; avg_err: 5.49565e-05; sd: 0.0520726; counts: 897804
sfh 0.217623 0.01288 0.0333757 0.00980533 #avg: 0.0280623; avg_err: 5.49398e-05; sd: 0.0520568; counts: 897804
sfh 0.222685 0.0129035 0.0334197 0.00981287 #avg: 0.0281035; avg_err: 5.47241e-05; sd: 0.0518524; counts: 897804
sfh 0.227748 0.0130096 0.0334789 0.00988729 #avg: 0.0282187; avg_err: 5.47033e-05; sd: 0.0518327; counts: 897804
