#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 11.25 - 11.75
#HM    Stats: 3.213240e+11 (median) + 1.458820e+11  / - 1.050000e+11
#SM    Stats: 2.809750e+09 (median) + 5.284720e+09  / - 1.847413e+09
#ObsSM Stats: 2.748520e+09 (median) + 5.653980e+09  / - 1.832242e+09
#VMP   Stats: 1.460700e+02 (median) + 2.217999e+01  / - 1.925001e+01
#ICL   Stats: 1.954130e+07 (median) + 7.582170e+07  / - 1.678523e+07
#SSFR  Stats: 2.029964e-12 (median) + 2.918696e-12  / - 1.265002e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 17102
sfh 0.060123 0 0 0 #avg: 1.31621e-05; avg_err: 5.639e-06; sd: 0.000737416; counts: 17102
sfh 0.062373 0 0 0 #avg: 0.000144715; avg_err: 4.40032e-05; sd: 0.00575434; counts: 17102
sfh 0.064623 0 0 0 #avg: 0.000497439; avg_err: 0.0001284; sd: 0.0167909; counts: 17102
sfh 0.066873 0 0 0 #avg: 0.00111606; avg_err: 0.000252249; sd: 0.0329868; counts: 17102
sfh 0.069123 0 0 0 #avg: 0.00246668; avg_err: 0.000358595; sd: 0.0468938; counts: 17102
sfh 0.071373 0 0 0 #avg: 0.00401856; avg_err: 0.000482662; sd: 0.0631181; counts: 17102
sfh 0.073623 0 0 0 #avg: 0.00592419; avg_err: 0.000619743; sd: 0.0810442; counts: 17102
sfh 0.075873 0 0 0 #avg: 0.00790197; avg_err: 0.000734333; sd: 0.0960293; counts: 17102
sfh 0.078123 0 0 0 #avg: 0.0121984; avg_err: 0.0010301; sd: 0.134707; counts: 17102
sfh 0.080373 0 0 0 #avg: 0.016023; avg_err: 0.000905583; sd: 0.118424; counts: 17102
sfh 0.082623 0 0.00016529 0 #avg: 0.0197126; avg_err: 0.000919057; sd: 0.120186; counts: 17102
sfh 0.085998 0 0.0160777 0 #avg: 0.0308238; avg_err: 0.00120235; sd: 0.157232; counts: 17102
sfh 0.089373 0 0.0411635 0 #avg: 0.0435495; avg_err: 0.00148423; sd: 0.194094; counts: 17102
sfh 0.092748 0 0.0718899 0 #avg: 0.0592912; avg_err: 0.00199497; sd: 0.260884; counts: 17102
sfh 0.096123 1.82614e-05 0.104298 1.82614e-05 #avg: 0.0744719; avg_err: 0.00206294; sd: 0.269773; counts: 17102
sfh 0.099498 0.00611477 0.130702 0.00611477 #avg: 0.0897854; avg_err: 0.00218066; sd: 0.285167; counts: 17102
sfh 0.102873 0.0154619 0.150473 0.0154619 #avg: 0.109438; avg_err: 0.0028905; sd: 0.377993; counts: 17102
sfh 0.106248 0.0251844 0.174342 0.0251844 #avg: 0.12971; avg_err: 0.00326517; sd: 0.426988; counts: 17102
sfh 0.109623 0.0359561 0.195889 0.0359561 #avg: 0.150739; avg_err: 0.00440554; sd: 0.576117; counts: 17102
sfh 0.112998 0.0458402 0.217917 0.0458402 #avg: 0.173966; avg_err: 0.00469099; sd: 0.613444; counts: 17102
sfh 0.116373 0.0542387 0.236839 0.0528218 #avg: 0.196163; avg_err: 0.00455565; sd: 0.595746; counts: 17102
sfh 0.119748 0.0628533 0.266031 0.058862 #avg: 0.22899; avg_err: 0.00617151; sd: 0.807053; counts: 17102
sfh 0.123123 0.0718867 0.290575 0.0651612 #avg: 0.256004; avg_err: 0.00694238; sd: 0.907861; counts: 17102
sfh 0.126498 0.0813773 0.307585 0.071647 #avg: 0.281992; avg_err: 0.00787954; sd: 1.03041; counts: 17102
sfh 0.129873 0.0904648 0.330005 0.0781143 #avg: 0.309507; avg_err: 0.0109774; sd: 1.43552; counts: 17102
sfh 0.133248 0.0998841 0.350531 0.0844518 #avg: 0.331599; avg_err: 0.0109339; sd: 1.42983; counts: 17102
sfh 0.136623 0.109524 0.383816 0.0909327 #avg: 0.358163; avg_err: 0.0105542; sd: 1.38018; counts: 17102
sfh 0.141685 0.123538 0.422732 0.100953 #avg: 0.392396; avg_err: 0.0100021; sd: 1.30799; counts: 17102
sfh 0.146748 0.138554 0.465309 0.111612 #avg: 0.436109; avg_err: 0.0110597; sd: 1.44629; counts: 17102
sfh 0.15181 0.14964 0.511438 0.11839 #avg: 0.475071; avg_err: 0.0116259; sd: 1.52033; counts: 17102
sfh 0.156873 0.161684 0.54535 0.127062 #avg: 0.50183; avg_err: 0.0110948; sd: 1.45088; counts: 17102
sfh 0.161935 0.173257 0.591373 0.135343 #avg: 0.536954; avg_err: 0.0119409; sd: 1.56151; counts: 17102
sfh 0.166998 0.184504 0.613093 0.143727 #avg: 0.570289; avg_err: 0.0135631; sd: 1.77366; counts: 17102
sfh 0.17206 0.192869 0.656963 0.150283 #avg: 0.61724; avg_err: 0.0147927; sd: 1.93446; counts: 17102
sfh 0.177123 0.20944 0.687348 0.16454 #avg: 0.654023; avg_err: 0.0150301; sd: 1.9655; counts: 17102
sfh 0.182185 0.219956 0.738493 0.171821 #avg: 0.694942; avg_err: 0.0157068; sd: 2.05399; counts: 17102
sfh 0.187248 0.232382 0.781898 0.181972 #avg: 0.723748; avg_err: 0.0160478; sd: 2.09859; counts: 17102
sfh 0.19231 0.245358 0.828842 0.191553 #avg: 0.751342; avg_err: 0.0153472; sd: 2.00696; counts: 17102
sfh 0.197373 0.255866 0.864704 0.199672 #avg: 0.777568; avg_err: 0.0147948; sd: 1.93472; counts: 17102
sfh 0.202435 0.268146 0.917244 0.208537 #avg: 0.806188; avg_err: 0.0150275; sd: 1.96516; counts: 17102
sfh 0.207498 0.279664 0.958586 0.217369 #avg: 0.831018; avg_err: 0.014954; sd: 1.95554; counts: 17102
sfh 0.21256 0.297866 1.02351 0.232345 #avg: 0.880777; avg_err: 0.0159064; sd: 2.08009; counts: 17102
sfh 0.217623 0.311027 1.08518 0.242854 #avg: 0.914579; avg_err: 0.01623; sd: 2.12241; counts: 17102
