#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.25 - 12.75
#HM    Stats: 2.404410e+12 (median) + 1.164710e+12  / - 4.823499e+11
#SM    Stats: 5.726760e+10 (median) + 4.433040e+10  / - 2.875460e+10
#ObsSM Stats: 5.614840e+10 (median) + 5.113260e+10  / - 3.055760e+10
#VMP   Stats: 2.526800e+02 (median) + 3.578000e+01  / - 2.332999e+01
#ICL   Stats: 3.900270e+08 (median) + 1.275953e+09  / - 2.999644e+08
#SSFR  Stats: 3.870216e-10 (median) + 6.343578e-10  / - 2.574420e-10
sfh 0.055623 0 0 0 #avg: 6.74529e-13; avg_err: 6.74529e-13; sd: 2.84664e-11; counts: 1782
sfh 0.060123 0 0 0 #avg: 1.22982e-05; avg_err: 7.58049e-06; sd: 0.000319911; counts: 1782
sfh 0.062373 0 0 0 #avg: 0.000921894; avg_err: 0.000296497; sd: 0.0125128; counts: 1782
sfh 0.064623 0 0 0 #avg: 0.00401196; avg_err: 0.00108189; sd: 0.0456577; counts: 1782
sfh 0.066873 0 0 0 #avg: 0.0118186; avg_err: 0.00293174; sd: 0.123725; counts: 1782
sfh 0.069123 0 0 0 #avg: 0.0228184; avg_err: 0.00382349; sd: 0.161359; counts: 1782
sfh 0.071373 0 0 0 #avg: 0.0373235; avg_err: 0.00562764; sd: 0.237497; counts: 1782
sfh 0.073623 0 0.00886529 0 #avg: 0.0450322; avg_err: 0.00535327; sd: 0.225918; counts: 1782
sfh 0.075873 0 0.0362268 0 #avg: 0.0672173; avg_err: 0.00926096; sd: 0.39083; counts: 1782
sfh 0.078123 0 0.0721575 0 #avg: 0.0928645; avg_err: 0.00964592; sd: 0.407076; counts: 1782
sfh 0.080373 0 0.113743 0 #avg: 0.129356; avg_err: 0.0114907; sd: 0.484931; counts: 1782
sfh 0.082623 0.000741628 0.192708 0.000741628 #avg: 0.156746; avg_err: 0.0138238; sd: 0.583389; counts: 1782
sfh 0.085998 0.014793 0.288307 0.014793 #avg: 0.211015; avg_err: 0.0150509; sd: 0.635177; counts: 1782
sfh 0.089373 0.0422844 0.376452 0.0422844 #avg: 0.287289; avg_err: 0.0194117; sd: 0.81921; counts: 1782
sfh 0.092748 0.0896231 0.480025 0.0896231 #avg: 0.350399; avg_err: 0.0208217; sd: 0.878714; counts: 1782
sfh 0.096123 0.132776 0.576239 0.129829 #avg: 0.446418; avg_err: 0.0285247; sd: 1.20379; counts: 1782
sfh 0.099498 0.191071 0.685942 0.179271 #avg: 0.541758; avg_err: 0.0306693; sd: 1.2943; counts: 1782
sfh 0.102873 0.248352 0.767638 0.225586 #avg: 0.675346; avg_err: 0.0424288; sd: 1.79058; counts: 1782
sfh 0.106248 0.287436 0.947504 0.246974 #avg: 0.789334; avg_err: 0.0444669; sd: 1.87659; counts: 1782
sfh 0.109623 0.360877 1.04144 0.301149 #avg: 0.938831; avg_err: 0.0691243; sd: 2.91718; counts: 1782
sfh 0.112998 0.440183 1.18548 0.367457 #avg: 1.02876; avg_err: 0.055852; sd: 2.35706; counts: 1782
sfh 0.116373 0.499091 1.36848 0.4054 #avg: 1.14697; avg_err: 0.0519615; sd: 2.19287; counts: 1782
sfh 0.119748 0.532251 1.57179 0.41972 #avg: 1.29891; avg_err: 0.0609854; sd: 2.5737; counts: 1782
sfh 0.123123 0.601125 1.77882 0.471631 #avg: 1.49739; avg_err: 0.0723017; sd: 3.05127; counts: 1782
sfh 0.126498 0.696348 1.90341 0.544114 #avg: 1.63999; avg_err: 0.0712491; sd: 3.00685; counts: 1782
sfh 0.129873 0.789066 2.12049 0.612634 #avg: 1.81526; avg_err: 0.0756719; sd: 3.1935; counts: 1782
sfh 0.133248 0.861782 2.21996 0.661465 #avg: 1.95969; avg_err: 0.0800582; sd: 3.37861; counts: 1782
sfh 0.136623 0.935582 2.55934 0.714438 #avg: 2.17326; avg_err: 0.0940978; sd: 3.9711; counts: 1782
sfh 0.141685 1.03059 2.86581 0.789562 #avg: 2.43206; avg_err: 0.109774; sd: 4.63269; counts: 1782
sfh 0.146748 1.16663 3.16799 0.905463 #avg: 2.87823; avg_err: 0.177825; sd: 7.50453; counts: 1782
sfh 0.15181 1.28884 3.55333 1.00154 #avg: 3.249; avg_err: 0.188328; sd: 7.94782; counts: 1782
sfh 0.156873 1.42483 4.01247 1.11974 #avg: 3.42166; avg_err: 0.18737; sd: 7.90735; counts: 1782
sfh 0.161935 1.47883 4.43833 1.15172 #avg: 3.57541; avg_err: 0.162574; sd: 6.86091; counts: 1782
sfh 0.166998 1.58517 5.12421 1.25243 #avg: 3.97214; avg_err: 0.181489; sd: 7.65919; counts: 1782
