#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 12.75 - 13.25
#HM    Stats: 8.529410e+12 (median) + 4.580889e+12  / - 2.225000e+12
#SM    Stats: 7.630920e+10 (median) + 5.419680e+10  / - 3.643740e+10
#ObsSM Stats: 7.410340e+10 (median) + 6.324260e+10  / - 3.828660e+10
#VMP   Stats: 3.699100e+02 (median) + 5.604999e+01  / - 3.897000e+01
#ICL   Stats: 2.943150e+09 (median) + 9.104750e+09  / - 2.058597e+09
#SSFR  Stats: 2.325970e-12 (median) + 3.824331e-12  / - 1.472288e-12
sfh 0.055623 0 0 0 #avg: 2.28035e-06; avg_err: 1.93109e-06; sd: 0.000187505; counts: 9429
sfh 0.060123 0 0 0 #avg: 0.000741129; avg_err: 8.88094e-05; sd: 0.0086232; counts: 9429
sfh 0.062373 0 0 0 #avg: 0.00527702; avg_err: 0.000415639; sd: 0.0403576; counts: 9429
sfh 0.064623 0 0 0 #avg: 0.0157146; avg_err: 0.000913401; sd: 0.0886893; counts: 9429
sfh 0.066873 0 0.00359609 0 #avg: 0.039686; avg_err: 0.00194079; sd: 0.188446; counts: 9429
sfh 0.069123 0 0.0564332 0 #avg: 0.0808446; avg_err: 0.00320941; sd: 0.311627; counts: 9429
sfh 0.071373 0 0.146941 0 #avg: 0.136658; avg_err: 0.00466283; sd: 0.452751; counts: 9429
sfh 0.073623 1.07892e-07 0.272205 1.07892e-07 #avg: 0.206972; avg_err: 0.00660342; sd: 0.641178; counts: 9429
sfh 0.075873 0.0155785 0.411958 0.0155785 #avg: 0.287972; avg_err: 0.00843821; sd: 0.819332; counts: 9429
sfh 0.078123 0.0439862 0.555102 0.0439862 #avg: 0.381042; avg_err: 0.0106851; sd: 1.0375; counts: 9429
sfh 0.080373 0.0963172 0.665225 0.0963172 #avg: 0.475284; avg_err: 0.0127211; sd: 1.23519; counts: 9429
sfh 0.082623 0.153982 0.728508 0.153565 #avg: 0.547806; avg_err: 0.0136139; sd: 1.32188; counts: 9429
sfh 0.085998 0.268397 1.01304 0.250781 #avg: 0.780514; avg_err: 0.0188031; sd: 1.82574; counts: 9429
sfh 0.089373 0.400699 1.24223 0.350311 #avg: 1.01097; avg_err: 0.0222896; sd: 2.16427; counts: 9429
sfh 0.092748 0.549836 1.49839 0.451332 #avg: 1.26296; avg_err: 0.025567; sd: 2.4825; counts: 9429
sfh 0.096123 0.723888 1.81004 0.559012 #avg: 1.59211; avg_err: 0.0306036; sd: 2.97155; counts: 9429
sfh 0.099498 0.916845 2.21696 0.677834 #avg: 1.99911; avg_err: 0.0410519; sd: 3.98606; counts: 9429
sfh 0.102873 1.13882 2.71329 0.828835 #avg: 2.44855; avg_err: 0.0522781; sd: 5.07609; counts: 9429
sfh 0.106248 1.373 3.13877 0.983653 #avg: 2.90685; avg_err: 0.0608333; sd: 5.90679; counts: 9429
sfh 0.109623 1.64397 3.61998 1.16507 #avg: 3.39085; avg_err: 0.0680498; sd: 6.6075; counts: 9429
sfh 0.112998 1.91112 4.07854 1.34371 #avg: 3.861; avg_err: 0.0806051; sd: 7.82658; counts: 9429
sfh 0.116373 2.19554 4.74511 1.53734 #avg: 4.41476; avg_err: 0.0864884; sd: 8.39784; counts: 9429
sfh 0.119748 2.48297 5.42681 1.72447 #avg: 5.05025; avg_err: 0.0973401; sd: 9.45151; counts: 9429
sfh 0.123123 2.80024 6.16751 1.94716 #avg: 5.7306; avg_err: 0.112713; sd: 10.9442; counts: 9429
sfh 0.126498 3.09775 6.80274 2.16396 #avg: 6.37687; avg_err: 0.122428; sd: 11.8875; counts: 9429
sfh 0.129873 3.44086 7.72124 2.3803 #avg: 7.1578; avg_err: 0.146286; sd: 14.2041; counts: 9429
sfh 0.133248 3.74442 8.41108 2.58344 #avg: 7.69758; avg_err: 0.143348; sd: 13.9188; counts: 9429
sfh 0.136623 4.1943 9.201 2.9193 #avg: 8.46644; avg_err: 0.155107; sd: 15.0605; counts: 9429
sfh 0.141685 4.78502 10.6307 3.34853 #avg: 9.77267; avg_err: 0.186442; sd: 18.1032; counts: 9429
sfh 0.146748 5.38901 12.0506 3.75486 #avg: 11.1805; avg_err: 0.217187; sd: 21.0884; counts: 9429
sfh 0.15181 5.94763 13.8236 4.13222 #avg: 12.5705; avg_err: 0.239944; sd: 23.2981; counts: 9429
sfh 0.156873 6.57851 15.952 4.60059 #avg: 14.1138; avg_err: 0.260303; sd: 25.2749; counts: 9429
sfh 0.161935 7.37824 17.7697 5.22194 #avg: 15.6113; avg_err: 0.279731; sd: 27.1613; counts: 9429
sfh 0.166998 8.10376 20.4053 5.78928 #avg: 17.6977; avg_err: 0.318971; sd: 30.9714; counts: 9429
sfh 0.17206 8.93521 22.9349 6.36895 #avg: 19.723; avg_err: 0.366701; sd: 35.6059; counts: 9429
sfh 0.177123 9.81333 26.2522 6.99475 #avg: 22.208; avg_err: 0.412346; sd: 40.0379; counts: 9429
sfh 0.182185 10.7585 28.5436 7.67355 #avg: 24.4474; avg_err: 0.462583; sd: 44.9158; counts: 9429
sfh 0.187248 11.8139 31.1263 8.52239 #avg: 26.2304; avg_err: 0.454665; sd: 44.147; counts: 9429
sfh 0.19231 12.7771 35.4437 9.26528 #avg: 28.7052; avg_err: 0.502126; sd: 48.7553; counts: 9429
sfh 0.197373 13.9356 37.5465 10.2071 #avg: 31.7607; avg_err: 0.563915; sd: 54.7549; counts: 9429
sfh 0.202435 14.9889 42.3431 11.0098 #avg: 33.7136; avg_err: 0.569284; sd: 55.2763; counts: 9429
sfh 0.207498 16.0432 45.9522 11.8249 #avg: 35.6795; avg_err: 0.581789; sd: 56.4905; counts: 9429
sfh 0.21256 17.4693 50.3748 13.0538 #avg: 38.4088; avg_err: 0.634712; sd: 61.6292; counts: 9429
sfh 0.217623 18.9017 53.7157 14.2538 #avg: 40.5958; avg_err: 0.637428; sd: 61.8929; counts: 9429
sfh 0.222685 20.3903 55.9237 15.6123 #avg: 42.5283; avg_err: 0.650781; sd: 63.1894; counts: 9429
sfh 0.227748 21.8851 59.9625 16.8971 #avg: 44.5599; avg_err: 0.660274; sd: 64.1112; counts: 9429
