#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 9.75 - 10.25
#HM    Stats: 4.560290e+11 (median) + 2.304420e+11  / - 1.647050e+11
#SM    Stats: 9.220340e+09 (median) + 5.709660e+09  / - 3.474559e+09
#ObsSM Stats: 9.274850e+09 (median) + 4.856350e+09  / - 2.745850e+09
#VMP   Stats: 1.570300e+02 (median) + 1.722000e+01  / - 1.267999e+01
#ICL   Stats: 3.475580e+07 (median) + 1.106622e+08  / - 2.945594e+07
#SSFR  Stats: 9.665937e-10 (median) + 8.798683e-10  / - 4.824025e-10
sfh 0.055623 0 0 0 #avg: 1.08529e-10; avg_err: 1.07999e-10; sd: 1.51469e-08; counts: 19671
sfh 0.060123 0 0 0 #avg: 1.09201e-05; avg_err: 5.60555e-06; sd: 0.000786178; counts: 19671
sfh 0.062373 0 0 0 #avg: 9.19673e-05; avg_err: 2.35818e-05; sd: 0.00330734; counts: 19671
sfh 0.064623 0 0 0 #avg: 0.000397173; avg_err: 8.19937e-05; sd: 0.0114996; counts: 19671
sfh 0.066873 0 0 0 #avg: 0.000823713; avg_err: 0.000107658; sd: 0.015099; counts: 19671
sfh 0.069123 0 0 0 #avg: 0.00227721; avg_err: 0.00027204; sd: 0.0381536; counts: 19671
sfh 0.071373 0 0 0 #avg: 0.0043131; avg_err: 0.000448728; sd: 0.0629339; counts: 19671
sfh 0.073623 0 0 0 #avg: 0.00699491; avg_err: 0.000611447; sd: 0.0857553; counts: 19671
sfh 0.075873 0 0 0 #avg: 0.00991774; avg_err: 0.000692957; sd: 0.0971871; counts: 19671
sfh 0.078123 0 0 0 #avg: 0.0146654; avg_err: 0.000962436; sd: 0.134981; counts: 19671
sfh 0.080373 0 0 0 #avg: 0.0186273; avg_err: 0.000836315; sd: 0.117293; counts: 19671
sfh 0.082623 0 0.00572174 0 #avg: 0.0236769; avg_err: 0.000925553; sd: 0.129809; counts: 19671
sfh 0.085998 0 0.0276412 0 #avg: 0.0361416; avg_err: 0.00123068; sd: 0.172602; counts: 19671
sfh 0.089373 0 0.0578381 0 #avg: 0.0498106; avg_err: 0.00137088; sd: 0.192266; counts: 19671
sfh 0.092748 0 0.0953718 0 #avg: 0.0672024; avg_err: 0.00171605; sd: 0.240675; counts: 19671
sfh 0.096123 0.00496886 0.126269 0.00496886 #avg: 0.0853957; avg_err: 0.00194862; sd: 0.273293; counts: 19671
sfh 0.099498 0.0151992 0.157123 0.0151992 #avg: 0.106654; avg_err: 0.00237129; sd: 0.332573; counts: 19671
sfh 0.102873 0.0283603 0.177392 0.0283603 #avg: 0.12896; avg_err: 0.00277259; sd: 0.388854; counts: 19671
sfh 0.106248 0.0422297 0.198138 0.0422297 #avg: 0.152117; avg_err: 0.00303478; sd: 0.425627; counts: 19671
sfh 0.109623 0.0560665 0.224092 0.0556729 #avg: 0.176992; avg_err: 0.00309341; sd: 0.43385; counts: 19671
sfh 0.112998 0.0690135 0.247705 0.0656166 #avg: 0.201328; avg_err: 0.00348058; sd: 0.48815; counts: 19671
