#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 10.25 - 10.75
#HM    Stats: 2.029410e+12 (median) + 2.911770e+12  / - 9.344101e+11
#SM    Stats: 3.356350e+10 (median) + 1.808820e+10  / - 1.233300e+10
#ObsSM Stats: 3.282990e+10 (median) + 1.464810e+10  / - 1.090180e+10
#VMP   Stats: 2.301700e+02 (median) + 7.580000e+01  / - 4.013000e+01
#ICL   Stats: 3.464100e+08 (median) + 1.527370e+09  / - 2.575548e+08
#SSFR  Stats: 2.487960e-12 (median) + 3.200169e-12  / - 1.496661e-12
sfh 0.055623 0 0 0 #avg: 6.9571e-10; avg_err: 6.91707e-10; sd: 9.49001e-08; counts: 18824
sfh 0.060123 0 0 0 #avg: 0.000148739; avg_err: 2.67099e-05; sd: 0.00366452; counts: 18824
sfh 0.062373 0 0 0 #avg: 0.00108038; avg_err: 0.000132963; sd: 0.0182421; counts: 18824
sfh 0.064623 0 0 0 #avg: 0.0033964; avg_err: 0.000294931; sd: 0.0404636; counts: 18824
sfh 0.066873 0 0 0 #avg: 0.00913431; avg_err: 0.00067163; sd: 0.0921455; counts: 18824
sfh 0.069123 0 0 0 #avg: 0.0191232; avg_err: 0.00107556; sd: 0.147563; counts: 18824
sfh 0.071373 0 0 0 #avg: 0.0339675; avg_err: 0.00170001; sd: 0.233236; counts: 18824
sfh 0.073623 0 0.00461941 0 #avg: 0.0516693; avg_err: 0.002332; sd: 0.319943; counts: 18824
sfh 0.075873 0 0.0266801 0 #avg: 0.0748926; avg_err: 0.00301147; sd: 0.413164; counts: 18824
sfh 0.078123 0 0.0643512 0 #avg: 0.10149; avg_err: 0.00438844; sd: 0.602081; counts: 18824
sfh 0.080373 0 0.116782 0 #avg: 0.123343; avg_err: 0.0043284; sd: 0.593843; counts: 18824
sfh 0.082623 0 0.17011 0 #avg: 0.140907; avg_err: 0.00466292; sd: 0.639738; counts: 18824
sfh 0.085998 0.0114613 0.263774 0.0114613 #avg: 0.205682; avg_err: 0.00639891; sd: 0.877911; counts: 18824
sfh 0.089373 0.0356562 0.345625 0.0356562 #avg: 0.27266; avg_err: 0.0082943; sd: 1.13795; counts: 18824
sfh 0.092748 0.0700832 0.441952 0.0700832 #avg: 0.35035; avg_err: 0.00864677; sd: 1.18631; counts: 18824
sfh 0.096123 0.110578 0.556202 0.109018 #avg: 0.439969; avg_err: 0.00968329; sd: 1.32852; counts: 18824
sfh 0.099498 0.154725 0.642127 0.145174 #avg: 0.530519; avg_err: 0.0113842; sd: 1.56187; counts: 18824
sfh 0.102873 0.200206 0.770341 0.177978 #avg: 0.643507; avg_err: 0.013997; sd: 1.92034; counts: 18824
sfh 0.106248 0.249588 0.882282 0.211631 #avg: 0.762242; avg_err: 0.0148801; sd: 2.0415; counts: 18824
sfh 0.109623 0.304558 1.01107 0.249932 #avg: 0.900183; avg_err: 0.0179706; sd: 2.46551; counts: 18824
sfh 0.112998 0.352854 1.14628 0.282174 #avg: 1.02806; avg_err: 0.0198668; sd: 2.72566; counts: 18824
sfh 0.116373 0.403356 1.27715 0.317368 #avg: 1.17623; avg_err: 0.022733; sd: 3.11889; counts: 18824
sfh 0.119748 0.45625 1.475 0.35565 #avg: 1.33079; avg_err: 0.0270096; sd: 3.70564; counts: 18824
sfh 0.123123 0.506303 1.62526 0.388622 #avg: 1.46512; avg_err: 0.0285751; sd: 3.92042; counts: 18824
sfh 0.126498 0.568156 1.80201 0.434701 #avg: 1.59159; avg_err: 0.0289385; sd: 3.97027; counts: 18824
sfh 0.129873 0.62952 1.99038 0.475209 #avg: 1.76297; avg_err: 0.0326909; sd: 4.48509; counts: 18824
sfh 0.133248 0.684343 2.16122 0.513739 #avg: 1.9346; avg_err: 0.0359732; sd: 4.93542; counts: 18824
sfh 0.136623 0.737921 2.37278 0.549248 #avg: 2.10637; avg_err: 0.0390335; sd: 5.35528; counts: 18824
sfh 0.141685 0.826579 2.71357 0.615243 #avg: 2.37564; avg_err: 0.0421489; sd: 5.7827; counts: 18824
sfh 0.146748 0.905961 3.00501 0.665794 #avg: 2.66743; avg_err: 0.0473016; sd: 6.48963; counts: 18824
sfh 0.15181 1.00631 3.35593 0.744245 #avg: 2.9612; avg_err: 0.0535314; sd: 7.34435; counts: 18824
sfh 0.156873 1.09372 3.6757 0.807748 #avg: 3.22971; avg_err: 0.0585416; sd: 8.03173; counts: 18824
sfh 0.161935 1.16764 4.03099 0.860166 #avg: 3.49805; avg_err: 0.0615318; sd: 8.44198; counts: 18824
sfh 0.166998 1.27763 4.34292 0.948099 #avg: 3.85854; avg_err: 0.0702535; sd: 9.63856; counts: 18824
sfh 0.17206 1.38499 4.73307 1.04045 #avg: 4.25193; avg_err: 0.0782503; sd: 10.7357; counts: 18824
sfh 0.177123 1.47748 5.11024 1.10342 #avg: 4.52628; avg_err: 0.0794905; sd: 10.9059; counts: 18824
sfh 0.182185 1.58702 5.53248 1.19126 #avg: 4.85416; avg_err: 0.0837951; sd: 11.4964; counts: 18824
sfh 0.187248 1.69509 6.01217 1.27983 #avg: 5.16214; avg_err: 0.0872808; sd: 11.9747; counts: 18824
sfh 0.19231 1.79969 6.56079 1.35126 #avg: 5.51053; avg_err: 0.0894845; sd: 12.277; counts: 18824
sfh 0.197373 1.91415 7.01392 1.44387 #avg: 5.90612; avg_err: 0.09662; sd: 13.256; counts: 18824
sfh 0.202435 2.02631 7.67391 1.5305 #avg: 6.3465; avg_err: 0.103385; sd: 14.1841; counts: 18824
sfh 0.207498 2.19353 7.99657 1.67136 #avg: 6.7462; avg_err: 0.110216; sd: 15.1212; counts: 18824
sfh 0.21256 2.34556 8.72324 1.78998 #avg: 7.20098; avg_err: 0.116655; sd: 16.0047; counts: 18824
sfh 0.217623 2.45423 9.12817 1.87008 #avg: 7.53233; avg_err: 0.116934; sd: 16.043; counts: 18824
sfh 0.222685 2.59601 9.60079 1.98883 #avg: 7.76156; avg_err: 0.118671; sd: 16.2813; counts: 18824
sfh 0.227748 2.76556 10.0531 2.12513 #avg: 8.27618; avg_err: 0.127549; sd: 17.4993; counts: 18824
sfh 0.23281 2.93812 10.7927 2.2651 #avg: 8.71325; avg_err: 0.132289; sd: 18.1497; counts: 18824
sfh 0.237873 3.08345 11.3151 2.38717 #avg: 9.08384; avg_err: 0.138447; sd: 18.9945; counts: 18824
sfh 0.242935 3.23387 11.7405 2.49313 #avg: 9.55923; avg_err: 0.14312; sd: 19.6356; counts: 18824
sfh 0.247998 3.37601 12.2924 2.59416 #avg: 9.99319; avg_err: 0.147883; sd: 20.2891; counts: 18824
sfh 0.25306 3.53343 13.2947 2.72388 #avg: 10.4737; avg_err: 0.152862; sd: 20.9722; counts: 18824
