#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 10.75 - 11.25
#HM    Stats: 1.867650e+12 (median) + 1.942640e+12  / - 7.473601e+11
#SM    Stats: 7.058640e+10 (median) + 3.286360e+10  / - 2.133320e+10
#ObsSM Stats: 7.820720e+10 (median) + 3.601881e+10  / - 1.643350e+10
#VMP   Stats: 2.265400e+02 (median) + 5.596001e+01  / - 3.187999e+01
#ICL   Stats: 3.001980e+08 (median) + 1.032072e+09  / - 2.190296e+08
#SSFR  Stats: 3.151553e-10 (median) + 3.502417e-10  / - 1.794259e-10
sfh 0.055623 0 0 0 #avg: 4.62431e-08; avg_err: 4.54894e-08; sd: 5.71449e-06; counts: 15782
sfh 0.060123 0 0 0 #avg: 0.000109994; avg_err: 2.29768e-05; sd: 0.0028864; counts: 15782
sfh 0.062373 0 0 0 #avg: 0.000875553; avg_err: 0.000156073; sd: 0.0196063; counts: 15782
sfh 0.064623 0 0 0 #avg: 0.00298437; avg_err: 0.000329256; sd: 0.0413619; counts: 15782
sfh 0.066873 0 0 0 #avg: 0.00790921; avg_err: 0.000661729; sd: 0.083128; counts: 15782
sfh 0.069123 0 0 0 #avg: 0.0171399; avg_err: 0.0012721; sd: 0.159805; counts: 15782
sfh 0.071373 0 0 0 #avg: 0.0290047; avg_err: 0.00177019; sd: 0.222376; counts: 15782
sfh 0.073623 0 0.00094152 0 #avg: 0.0415109; avg_err: 0.00202784; sd: 0.254742; counts: 15782
sfh 0.075873 0 0.0227401 0 #avg: 0.0606192; avg_err: 0.00301648; sd: 0.378937; counts: 15782
sfh 0.078123 0 0.0545377 0 #avg: 0.0815144; avg_err: 0.00371056; sd: 0.46613; counts: 15782
sfh 0.080373 0 0.10091 0 #avg: 0.104448; avg_err: 0.00369327; sd: 0.463957; counts: 15782
sfh 0.082623 0 0.157194 0 #avg: 0.124218; avg_err: 0.00380278; sd: 0.477715; counts: 15782
sfh 0.085998 0.010741 0.24982 0.010741 #avg: 0.182691; avg_err: 0.00539717; sd: 0.678006; counts: 15782
sfh 0.089373 0.033503 0.327008 0.033503 #avg: 0.239238; avg_err: 0.00676128; sd: 0.849369; counts: 15782
sfh 0.092748 0.0670168 0.403956 0.0670168 #avg: 0.304075; avg_err: 0.0076905; sd: 0.966099; counts: 15782
sfh 0.096123 0.107355 0.480509 0.105672 #avg: 0.386571; avg_err: 0.0104496; sd: 1.3127; counts: 15782
sfh 0.099498 0.152001 0.567325 0.142047 #avg: 0.472409; avg_err: 0.0107358; sd: 1.34865; counts: 15782
sfh 0.102873 0.200244 0.669663 0.176884 #avg: 0.571905; avg_err: 0.0129886; sd: 1.63166; counts: 15782
sfh 0.106248 0.246231 0.787899 0.208841 #avg: 0.681085; avg_err: 0.0158586; sd: 1.9922; counts: 15782
sfh 0.109623 0.302711 0.900439 0.246825 #avg: 0.806548; avg_err: 0.018996; sd: 2.38633; counts: 15782
sfh 0.112998 0.35189 1.02188 0.279879 #avg: 0.93256; avg_err: 0.0201174; sd: 2.52719; counts: 15782
sfh 0.116373 0.40708 1.18219 0.320813 #avg: 1.07167; avg_err: 0.0220956; sd: 2.77571; counts: 15782
sfh 0.119748 0.455187 1.31213 0.351805 #avg: 1.18585; avg_err: 0.0240278; sd: 3.01843; counts: 15782
sfh 0.123123 0.507574 1.46345 0.388724 #avg: 1.31883; avg_err: 0.0274677; sd: 3.45056; counts: 15782
sfh 0.126498 0.565578 1.5785 0.429235 #avg: 1.46377; avg_err: 0.0302906; sd: 3.80517; counts: 15782
sfh 0.129873 0.616301 1.73957 0.463924 #avg: 1.58675; avg_err: 0.0313175; sd: 3.93419; counts: 15782
sfh 0.133248 0.682631 1.8849 0.509046 #avg: 1.75988; avg_err: 0.0383408; sd: 4.81646; counts: 15782
sfh 0.136623 0.742313 2.05299 0.550767 #avg: 1.93627; avg_err: 0.0453777; sd: 5.70046; counts: 15782
sfh 0.141685 0.822052 2.28756 0.608646 #avg: 2.16938; avg_err: 0.0547233; sd: 6.87448; counts: 15782
sfh 0.146748 0.906315 2.48077 0.667375 #avg: 2.42318; avg_err: 0.0570804; sd: 7.17058; counts: 15782
sfh 0.15181 0.988503 2.77088 0.724282 #avg: 2.65507; avg_err: 0.0609741; sd: 7.65971; counts: 15782
sfh 0.156873 1.08658 3.11262 0.796523 #avg: 3.00332; avg_err: 0.0747101; sd: 9.38526; counts: 15782
sfh 0.161935 1.17857 3.3744 0.865644 #avg: 3.26389; avg_err: 0.0748855; sd: 9.4073; counts: 15782
sfh 0.166998 1.27856 3.6079 0.941483 #avg: 3.55027; avg_err: 0.0780956; sd: 9.81056; counts: 15782
sfh 0.17206 1.37117 3.99555 1.00648 #avg: 3.85526; avg_err: 0.0838021; sd: 10.5274; counts: 15782
sfh 0.177123 1.46887 4.32613 1.07583 #avg: 4.14091; avg_err: 0.0873514; sd: 10.9733; counts: 15782
sfh 0.182185 1.58114 4.72202 1.17254 #avg: 4.57943; avg_err: 0.103316; sd: 12.9788; counts: 15782
sfh 0.187248 1.69214 5.17066 1.25775 #avg: 5.01563; avg_err: 0.110236; sd: 13.8481; counts: 15782
sfh 0.19231 1.8295 5.66691 1.36074 #avg: 5.3697; avg_err: 0.105989; sd: 13.3146; counts: 15782
sfh 0.197373 1.9494 6.22077 1.45465 #avg: 5.79649; avg_err: 0.116009; sd: 14.5733; counts: 15782
