#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 11.75 - 12.25
#HM    Stats: 1.277940e+14 (median) + 0.000000e+00  / - 1.247896e+14
#SM    Stats: 4.638940e+11 (median) + 0.000000e+00  / - 8.273900e+10
#ObsSM Stats: 6.025970e+11 (median) + 0.000000e+00  / - 1.564102e+10
#VMP   Stats: 1.017830e+03 (median) + 0.000000e+00  / - 7.039200e+02
#ICL   Stats: 1.521450e+11 (median) + 0.000000e+00  / - 1.517252e+11
#SSFR  Stats: 2.444486e-11 (median) + 0.000000e+00  / - 5.446331e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 2
sfh 0.066873 0.0382451 0 0.0382451 #avg: 0.0191226; avg_err: 0.0191226; sd: 0.0191226; counts: 2
sfh 0.069123 0.247404 0 0.247404 #avg: 0.123702; avg_err: 0.123702; sd: 0.123702; counts: 2
sfh 0.071373 0.435495 0 0.435495 #avg: 0.217747; avg_err: 0.217747; sd: 0.217747; counts: 2
sfh 0.073623 0.455257 0 0.455257 #avg: 0.227628; avg_err: 0.227628; sd: 0.227628; counts: 2
sfh 0.075873 0.422029 0 0.422029 #avg: 0.211014; avg_err: 0.211014; sd: 0.211014; counts: 2
sfh 0.078123 0.334464 0 0.334464 #avg: 0.167232; avg_err: 0.167232; sd: 0.167232; counts: 2
sfh 0.080373 0.263916 0 0.263916 #avg: 0.131958; avg_err: 0.131958; sd: 0.131958; counts: 2
sfh 0.082623 0.318738 0 0.318738 #avg: 0.159369; avg_err: 0.159369; sd: 0.159369; counts: 2
sfh 0.085998 0.794523 0 0.794523 #avg: 0.397262; avg_err: 0.397262; sd: 0.397262; counts: 2
sfh 0.089373 1.83486 0 1.83486 #avg: 0.91743; avg_err: 0.91743; sd: 0.91743; counts: 2
sfh 0.092748 2.87864 0 2.87063 #avg: 1.44333; avg_err: 1.43531; sd: 1.43531; counts: 2
sfh 0.096123 3.28388 0 3.26361 #avg: 1.65208; avg_err: 1.6318; sd: 1.6318; counts: 2
sfh 0.099498 5.24793 0 5.21592 #avg: 2.63997; avg_err: 2.60796; sd: 2.60796; counts: 2
sfh 0.102873 4.38473 0 4.36428 #avg: 2.20259; avg_err: 2.18214; sd: 2.18214; counts: 2
sfh 0.106248 4.90529 0 4.87916 #avg: 2.46571; avg_err: 2.43958; sd: 2.43958; counts: 2
sfh 0.109623 5.94341 0 5.91381 #avg: 2.98651; avg_err: 2.9569; sd: 2.9569; counts: 2
sfh 0.112998 8.02731 0 7.9938 #avg: 4.03041; avg_err: 3.9969; sd: 3.9969; counts: 2
