#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 9.25 - 9.75
#HM    Stats: 3.767650e+11 (median) + 1.492640e+11  / - 1.010300e+11
#SM    Stats: 2.961220e+09 (median) + 1.879540e+09  / - 1.116770e+09
#ObsSM Stats: 2.968890e+09 (median) + 1.558030e+09  / - 9.006601e+08
#VMP   Stats: 1.343900e+02 (median) + 1.330000e+01  / - 1.085000e+01
#ICL   Stats: 1.872210e+07 (median) + 4.040600e+07  / - 1.367835e+07
#SSFR  Stats: 1.022104e-09 (median) + 1.292209e-09  / - 6.554984e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 98202
sfh 0.060123 0 0 0 #avg: 3.31743e-06; avg_err: 1.53116e-06; sd: 0.000479822; counts: 98202
sfh 0.062373 0 0 0 #avg: 1.89748e-05; avg_err: 7.66919e-06; sd: 0.0024033; counts: 98202
sfh 0.064623 0 0 0 #avg: 7.84979e-05; avg_err: 2.20733e-05; sd: 0.00691712; counts: 98202
sfh 0.066873 0 0 0 #avg: 0.000168521; avg_err: 3.01447e-05; sd: 0.00944645; counts: 98202
sfh 0.069123 0 0 0 #avg: 0.000430777; avg_err: 6.29416e-05; sd: 0.019724; counts: 98202
sfh 0.071373 0 0 0 #avg: 0.000903654; avg_err: 0.000104224; sd: 0.0326607; counts: 98202
sfh 0.073623 0 0 0 #avg: 0.00155596; avg_err: 0.000134241; sd: 0.0420671; counts: 98202
sfh 0.075873 0 0 0 #avg: 0.00234462; avg_err: 0.00014669; sd: 0.0459684; counts: 98202
sfh 0.078123 0 0 0 #avg: 0.00331971; avg_err: 0.000145546; sd: 0.0456097; counts: 98202
sfh 0.080373 0 0 0 #avg: 0.00484827; avg_err: 0.00016979; sd: 0.0532073; counts: 98202
sfh 0.082623 0 0 0 #avg: 0.00652692; avg_err: 0.00018007; sd: 0.0564285; counts: 98202
sfh 0.085998 0 0 0 #avg: 0.010768; avg_err: 0.000247337; sd: 0.0775082; counts: 98202
sfh 0.089373 0 0.00481319 0 #avg: 0.0158348; avg_err: 0.000278367; sd: 0.0872319; counts: 98202
sfh 0.092748 0 0.0193844 0 #avg: 0.0220451; avg_err: 0.000309151; sd: 0.0968788; counts: 98202
sfh 0.096123 0 0.038045 0 #avg: 0.0297872; avg_err: 0.000352513; sd: 0.110467; counts: 98202
sfh 0.099498 0 0.059223 0 #avg: 0.0385786; avg_err: 0.000411526; sd: 0.12896; counts: 98202
sfh 0.102873 0.00234655 0.0764248 0.00234655 #avg: 0.0473345; avg_err: 0.000437313; sd: 0.137041; counts: 98202
sfh 0.106248 0.00857233 0.089682 0.00857233 #avg: 0.057101; avg_err: 0.000474906; sd: 0.148822; counts: 98202
