#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#obs_sm range: 9.25 - 9.75
#HM    Stats: 2.750000e+11 (median) + 1.275000e+11  / - 9.926500e+10
#SM    Stats: 2.835700e+09 (median) + 1.823000e+09  / - 1.062930e+09
#ObsSM Stats: 2.869980e+09 (median) + 1.544560e+09  / - 8.284300e+08
#VMP   Stats: 1.352800e+02 (median) + 1.200999e+01  / - 1.028000e+01
#ICL   Stats: 1.449880e+07 (median) + 4.877620e+07  / - 1.291743e+07
#SSFR  Stats: 9.609888e-10 (median) + 9.784860e-10  / - 5.135190e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 37007
sfh 0.060123 0 0 0 #avg: 4.98164e-06; avg_err: 3.11924e-06; sd: 0.000600046; counts: 37007
sfh 0.062373 0 0 0 #avg: 5.13473e-05; avg_err: 1.65505e-05; sd: 0.00318382; counts: 37007
sfh 0.064623 0 0 0 #avg: 0.00018528; avg_err: 5.19757e-05; sd: 0.00999853; counts: 37007
sfh 0.066873 0 0 0 #avg: 0.000542779; avg_err: 0.000103751; sd: 0.0199584; counts: 37007
sfh 0.069123 0 0 0 #avg: 0.00107404; avg_err: 0.00018429; sd: 0.0354518; counts: 37007
sfh 0.071373 0 0 0 #avg: 0.00184134; avg_err: 0.00022494; sd: 0.0432715; counts: 37007
sfh 0.073623 0 0 0 #avg: 0.00276762; avg_err: 0.000233252; sd: 0.0448705; counts: 37007
sfh 0.075873 0 0 0 #avg: 0.00412682; avg_err: 0.000263973; sd: 0.0507803; counts: 37007
sfh 0.078123 0 0 0 #avg: 0.0061106; avg_err: 0.000355833; sd: 0.0684513; counts: 37007
sfh 0.080373 0 0 0 #avg: 0.0088769; avg_err: 0.000498861; sd: 0.0959655; counts: 37007
sfh 0.082623 0 0 0 #avg: 0.0111011; avg_err: 0.000420746; sd: 0.0809387; counts: 37007
sfh 0.085998 0 0.00226554 0 #avg: 0.0178828; avg_err: 0.000692737; sd: 0.133261; counts: 37007
sfh 0.089373 0 0.0168422 0 #avg: 0.0243094; avg_err: 0.000598129; sd: 0.115062; counts: 37007
sfh 0.092748 0 0.0383717 0 #avg: 0.0326875; avg_err: 0.000718274; sd: 0.138174; counts: 37007
sfh 0.096123 0 0.0612171 0 #avg: 0.043727; avg_err: 0.00085141; sd: 0.163785; counts: 37007
sfh 0.099498 0.000972879 0.0855607 0.000972879 #avg: 0.0559495; avg_err: 0.00116801; sd: 0.224689; counts: 37007
sfh 0.102873 0.00671829 0.102019 0.00671829 #avg: 0.0657468; avg_err: 0.00102767; sd: 0.197692; counts: 37007
sfh 0.106248 0.014988 0.116369 0.014988 #avg: 0.0788116; avg_err: 0.00114078; sd: 0.219451; counts: 37007
sfh 0.109623 0.0239728 0.133966 0.0239728 #avg: 0.0926986; avg_err: 0.00134288; sd: 0.258328; counts: 37007
sfh 0.112998 0.0315955 0.144054 0.0315955 #avg: 0.105159; avg_err: 0.00146263; sd: 0.281365; counts: 37007
sfh 0.116373 0.0387756 0.15723 0.0383201 #avg: 0.116718; avg_err: 0.00133999; sd: 0.257772; counts: 37007
sfh 0.119748 0.0463416 0.168626 0.0439374 #avg: 0.130993; avg_err: 0.0015077; sd: 0.290035; counts: 37007
