#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 11.25 - 11.75
#HM    Stats: 8.779410e+12 (median) + 1.466179e+13  / - 5.810290e+12
#SM    Stats: 2.014890e+11 (median) + 4.678499e+10  / - 1.703400e+10
#ObsSM Stats: 1.964940e+11 (median) + 7.741900e+10  / - 5.445199e+10
#VMP   Stats: 3.819100e+02 (median) + 1.392600e+02  / - 9.572000e+01
#ICL   Stats: 4.266200e+09 (median) + 1.358830e+10  / - 3.677516e+09
#SSFR  Stats: 2.062951e-12 (median) + 3.233025e-12  / - 1.248306e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 146
sfh 0.060123 0 0 0 #avg: 0.00105948; avg_err: 0.000906682; sd: 0.0109179; counts: 146
sfh 0.062373 0 0 0 #avg: 0.00711081; avg_err: 0.00301756; sd: 0.0363362; counts: 146
sfh 0.064623 0 0 0 #avg: 0.0338974; avg_err: 0.0109174; sd: 0.131463; counts: 146
sfh 0.066873 0 0.0624752 0 #avg: 0.0784902; avg_err: 0.0206379; sd: 0.248513; counts: 146
sfh 0.069123 0 0.178542 0 #avg: 0.16063; avg_err: 0.0435808; sd: 0.524783; counts: 146
sfh 0.071373 0 0.397859 0 #avg: 0.241525; avg_err: 0.0494886; sd: 0.595922; counts: 146
sfh 0.073623 0.0126073 0.61572 0.0126073 #avg: 0.365553; avg_err: 0.0685216; sd: 0.825109; counts: 146
sfh 0.075873 0.0535479 0.801543 0.0535479 #avg: 0.482825; avg_err: 0.0854429; sd: 1.02887; counts: 146
sfh 0.078123 0.13293 0.8704 0.13293 #avg: 0.656409; avg_err: 0.112591; sd: 1.35578; counts: 146
sfh 0.080373 0.195946 1.23993 0.195946 #avg: 1.02933; avg_err: 0.195026; sd: 2.34842; counts: 146
sfh 0.082623 0.297442 1.64282 0.295638 #avg: 1.16421; avg_err: 0.217391; sd: 2.61773; counts: 146
sfh 0.085998 0.503994 1.57023 0.495337 #avg: 1.51524; avg_err: 0.356704; sd: 4.29528; counts: 146
sfh 0.089373 0.67182 1.88315 0.621874 #avg: 1.90278; avg_err: 0.612674; sd: 7.37757; counts: 146
sfh 0.092748 0.855951 1.96288 0.774815 #avg: 1.95522; avg_err: 0.39429; sd: 4.74788; counts: 146
sfh 0.096123 1.15971 2.41738 0.97343 #avg: 2.16298; avg_err: 0.311022; sd: 3.7452; counts: 146
sfh 0.099498 1.31273 3.86485 1.1172 #avg: 2.81253; avg_err: 0.370674; sd: 4.4635; counts: 146
sfh 0.102873 1.59709 5.58997 1.30101 #avg: 3.3987; avg_err: 0.391506; sd: 4.71436; counts: 146
sfh 0.106248 2.17063 5.71318 1.74803 #avg: 4.40166; avg_err: 0.543547; sd: 6.54517; counts: 146
sfh 0.109623 2.53598 6.74173 2.01388 #avg: 5.91883; avg_err: 0.804494; sd: 9.68739; counts: 146
sfh 0.112998 3.26596 8.40674 2.42164 #avg: 6.71408; avg_err: 0.798756; sd: 9.6183; counts: 146
sfh 0.116373 3.71542 10.2303 2.97191 #avg: 6.80915; avg_err: 0.727357; sd: 8.75854; counts: 146
sfh 0.119748 4.55187 7.60853 3.87527 #avg: 7.21136; avg_err: 0.824998; sd: 9.93429; counts: 146
sfh 0.123123 4.39354 7.43426 3.32012 #avg: 8.63776; avg_err: 1.18668; sd: 14.2895; counts: 146
sfh 0.126498 4.86688 11.7586 3.73041 #avg: 11.2892; avg_err: 2.37362; sd: 28.5821; counts: 146
sfh 0.129873 5.12225 12.9503 4.03101 #avg: 12.7475; avg_err: 2.97505; sd: 35.8244; counts: 146
sfh 0.133248 5.04867 14.7109 3.97577 #avg: 12.9285; avg_err: 2.53009; sd: 30.4663; counts: 146
sfh 0.136623 5.71394 16.1624 4.54171 #avg: 13.6593; avg_err: 2.19957; sd: 26.4864; counts: 146
sfh 0.141685 6.75179 22.4398 5.57994 #avg: 17.9938; avg_err: 3.08126; sd: 37.1032; counts: 146
sfh 0.146748 8.5413 25.5423 7.19553 #avg: 20.4028; avg_err: 2.93392; sd: 35.3291; counts: 146
sfh 0.15181 9.63648 31.2365 8.16871 #avg: 23.9017; avg_err: 3.38518; sd: 40.7629; counts: 146
sfh 0.156873 11.4764 37.9896 9.44228 #avg: 26.6167; avg_err: 3.28429; sd: 39.5481; counts: 146
sfh 0.161935 13.4322 50.7479 11.3037 #avg: 31.81; avg_err: 3.70673; sd: 44.635; counts: 146
sfh 0.166998 13.0724 67.1386 10.7478 #avg: 39.9598; avg_err: 5.19177; sd: 62.5172; counts: 146
sfh 0.17206 13.7754 71.4925 10.9278 #avg: 45.9808; avg_err: 6.63757; sd: 79.9269; counts: 146
sfh 0.177123 17.2223 70.8101 13.7279 #avg: 45.9832; avg_err: 5.90891; sd: 71.1527; counts: 146
sfh 0.182185 21.7762 71.8966 17.6474 #avg: 50.3807; avg_err: 6.28864; sd: 75.7252; counts: 146
sfh 0.187248 23.3035 74.0188 18.0891 #avg: 57.61; avg_err: 8.30963; sd: 100.061; counts: 146
sfh 0.19231 24.4535 115.378 18.6674 #avg: 67.6426; avg_err: 9.78513; sd: 117.829; counts: 146
sfh 0.197373 24.3874 137.77 17.675 #avg: 78.7029; avg_err: 11.6901; sd: 140.767; counts: 146
sfh 0.202435 34.4264 152.024 28.0968 #avg: 89.6739; avg_err: 11.1618; sd: 134.406; counts: 146
sfh 0.207498 33.9182 116.642 27.4082 #avg: 97.7855; avg_err: 13.4954; sd: 162.506; counts: 146
sfh 0.21256 41.8867 144.389 35.1843 #avg: 103.52; avg_err: 12.8308; sd: 154.504; counts: 146
sfh 0.217623 59.5342 168.095 53.2044 #avg: 124.312; avg_err: 15.4262; sd: 185.756; counts: 146
sfh 0.222685 52 199.901 46.0813 #avg: 124.489; avg_err: 14.682; sd: 176.794; counts: 146
sfh 0.227748 63.8659 193.087 58.4622 #avg: 127.117; avg_err: 13.7243; sd: 165.263; counts: 146
sfh 0.23281 62.6692 194.659 53.3028 #avg: 126.684; avg_err: 13.5754; sd: 163.47; counts: 146
sfh 0.237873 67.8229 165.239 57.4708 #avg: 117.672; avg_err: 12.2026; sd: 146.939; counts: 146
sfh 0.242935 78.4023 165.856 67.7272 #avg: 130.612; avg_err: 11.7072; sd: 140.974; counts: 146
sfh 0.247998 84.7239 204.032 73.7026 #avg: 142.638; avg_err: 13.9575; sd: 168.07; counts: 146
sfh 0.25306 104.893 158.482 93.9047 #avg: 146.957; avg_err: 13.2742; sd: 159.843; counts: 146
sfh 0.258123 100.01 165.817 82.2921 #avg: 144.449; avg_err: 13.3013; sd: 160.169; counts: 146
sfh 0.263185 98.4934 176.189 82.735 #avg: 148.354; avg_err: 13.3976; sd: 161.328; counts: 146
sfh 0.268248 83.0438 176.971 68.5633 #avg: 144.553; avg_err: 14.3152; sd: 172.378; counts: 146
sfh 0.27331 92.202 172.421 70.0782 #avg: 147.123; avg_err: 13.7592; sd: 165.683; counts: 146
sfh 0.278373 95.2928 156.165 74.185 #avg: 137.139; avg_err: 11.08; sd: 133.421; counts: 146
sfh 0.283435 108.155 144.963 89.223 #avg: 140.949; avg_err: 10.859; sd: 130.759; counts: 146
sfh 0.288498 101.385 149.03 84.9892 #avg: 140.324; avg_err: 11.9925; sd: 144.409; counts: 146
sfh 0.29356 97.0562 170.791 80.9043 #avg: 132.702; avg_err: 10.678; sd: 128.58; counts: 146
sfh 0.298623 106.154 151.689 89.6516 #avg: 140.682; avg_err: 10.9168; sd: 131.456; counts: 146
sfh 0.303685 94.603 188.854 67.4619 #avg: 148.878; avg_err: 11.4864; sd: 138.314; counts: 146
sfh 0.308748 113.631 171.211 99.3962 #avg: 146.715; avg_err: 11.9338; sd: 143.702; counts: 146
sfh 0.31381 108.832 120.277 94.4991 #avg: 138.148; avg_err: 11.838; sd: 142.549; counts: 146
sfh 0.318873 92.6481 167.174 78.7088 #avg: 133.962; avg_err: 11.0538; sd: 133.105; counts: 146
sfh 0.323935 94.0921 138.949 77.1039 #avg: 135.201; avg_err: 11.4279; sd: 137.61; counts: 146
sfh 0.328997 91.2988 170.837 82.794 #avg: 130.015; avg_err: 11.8386; sd: 142.555; counts: 146
sfh 0.33406 74.7535 137.784 72.2638 #avg: 118.19; avg_err: 11.8174; sd: 142.301; counts: 146
sfh 0.339122 79.953 122.999 77.4687 #avg: 109.747; avg_err: 10.8671; sd: 130.857; counts: 146
sfh 0.344185 79.8949 92.8231 78.3625 #avg: 105.572; avg_err: 10.8885; sd: 131.115; counts: 146
