#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 11.75 - 12.25
#HM    Stats: 6.177940e+14 (median) + 0.000000e+00  / - 0.000000e+00
#SM    Stats: 6.002200e+11 (median) + 0.000000e+00  / - 0.000000e+00
#ObsSM Stats: 8.283480e+11 (median) + 0.000000e+00  / - 0.000000e+00
#VMP   Stats: 1.449490e+03 (median) + 0.000000e+00  / - 0.000000e+00
#ICL   Stats: 2.493320e+11 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR  Stats: 9.201326e-13 (median) + 0.000000e+00  / - 0.000000e+00
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1
sfh 0.064623 0.756357 0 0 #avg: 0.756357; avg_err: 0.756357; sd: 0; counts: 1
sfh 0.066873 0.658192 0 0 #avg: 0.658192; avg_err: 0.658192; sd: 0; counts: 1
sfh 0.069123 0.678098 0 0 #avg: 0.678098; avg_err: 0.678098; sd: 0; counts: 1
sfh 0.071373 1.22581 0 0 #avg: 1.22581; avg_err: 1.22581; sd: 0; counts: 1
sfh 0.073623 3.65815 0 0 #avg: 3.65815; avg_err: 3.65815; sd: 0; counts: 1
sfh 0.075873 16.5554 0 0 #avg: 16.5554; avg_err: 16.5554; sd: 0; counts: 1
sfh 0.078123 12.6726 0 0 #avg: 12.6726; avg_err: 12.6726; sd: 0; counts: 1
sfh 0.080373 10.5114 0 0 #avg: 10.5114; avg_err: 10.5114; sd: 0; counts: 1
sfh 0.082623 8.03432 0 0 #avg: 8.03432; avg_err: 8.03432; sd: 0; counts: 1
sfh 0.085998 13.5173 0 0 #avg: 13.5173; avg_err: 13.5173; sd: 0; counts: 1
sfh 0.089373 21.3995 0 0 #avg: 21.3995; avg_err: 21.3995; sd: 0; counts: 1
sfh 0.092748 55.8938 0 0 #avg: 55.8938; avg_err: 55.8938; sd: 0; counts: 1
sfh 0.096123 198.575 0 0 #avg: 198.575; avg_err: 198.575; sd: 0; counts: 1
sfh 0.099498 221.683 0 0 #avg: 221.683; avg_err: 221.683; sd: 0; counts: 1
sfh 0.102873 270.278 0 0 #avg: 270.278; avg_err: 270.278; sd: 0; counts: 1
