#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#sm range: 7.75 - 8.25
#HM    Stats: 5.811770e+10 (median) + 2.688230e+10  / - 2.075010e+10
#SM    Stats: 9.568720e+07 (median) + 4.770880e+07  / - 2.917970e+07
#ObsSM Stats: 9.446420e+07 (median) + 5.797580e+07  / - 3.517780e+07
#VMP   Stats: 8.461000e+01 (median) + 6.470001e+00  / - 5.639999e+00
#ICL   Stats: 4.050760e+05 (median) + 3.524644e+06  / - 4.050760e+05
#SSFR  Stats: 5.687248e-10 (median) + 5.861959e-10  / - 2.980718e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 248563
sfh 0.060123 0 0 0 #avg: 5.95571e-08; avg_err: 5.95571e-08; sd: 2.96928e-05; counts: 248563
sfh 0.062373 0 0 0 #avg: 5.15094e-07; avg_err: 3.6676e-07; sd: 0.000182852; counts: 248563
sfh 0.064623 0 0 0 #avg: 5.53049e-07; avg_err: 3.48148e-07; sd: 0.000173573; counts: 248563
sfh 0.066873 0 0 0 #avg: 2.37462e-06; avg_err: 1.19263e-06; sd: 0.000594599; counts: 248563
sfh 0.069123 0 0 0 #avg: 3.30501e-06; avg_err: 1.02456e-06; sd: 0.000510805; counts: 248563
sfh 0.071373 0 0 0 #avg: 9.85229e-06; avg_err: 2.11505e-06; sd: 0.00105448; counts: 248563
sfh 0.073623 0 0 0 #avg: 2.11217e-05; avg_err: 4.28982e-06; sd: 0.00213873; counts: 248563
sfh 0.075873 0 0 0 #avg: 4.41961e-05; avg_err: 7.28321e-06; sd: 0.00363112; counts: 248563
sfh 0.078123 0 0 0 #avg: 8.69302e-05; avg_err: 8.98959e-06; sd: 0.00448185; counts: 248563
sfh 0.080373 0 0 0 #avg: 0.000151148; avg_err: 1.26408e-05; sd: 0.00630217; counts: 248563
sfh 0.082623 0 0 0 #avg: 0.000235236; avg_err: 1.26903e-05; sd: 0.00632686; counts: 248563
sfh 0.085998 0 0 0 #avg: 0.000498285; avg_err: 1.75125e-05; sd: 0.00873101; counts: 248563
sfh 0.089373 0 0 0 #avg: 0.000897209; avg_err: 2.3374e-05; sd: 0.0116533; counts: 248563
sfh 0.092748 0 0 0 #avg: 0.00151826; avg_err: 2.98461e-05; sd: 0.0148801; counts: 248563
sfh 0.096123 0 0 0 #avg: 0.00243312; avg_err: 3.76872e-05; sd: 0.0187893; counts: 248563
sfh 0.099498 0 0 0 #avg: 0.00360219; avg_err: 4.31477e-05; sd: 0.0215117; counts: 248563
sfh 0.102873 0 0 0 #avg: 0.00505746; avg_err: 5.15567e-05; sd: 0.0257041; counts: 248563
sfh 0.106248 0 0.0039619 0 #avg: 0.00665606; avg_err: 5.73818e-05; sd: 0.0286083; counts: 248563
sfh 0.109623 0 0.00920254 0 #avg: 0.00840599; avg_err: 6.29993e-05; sd: 0.0314089; counts: 248563
sfh 0.112998 0 0.0143709 0 #avg: 0.0101786; avg_err: 6.83913e-05; sd: 0.0340972; counts: 248563
sfh 0.116373 0 0.018529 0 #avg: 0.0117037; avg_err: 7.25995e-05; sd: 0.0361952; counts: 248563
sfh 0.119748 0 0.0221904 0 #avg: 0.0129867; avg_err: 7.17356e-05; sd: 0.0357645; counts: 248563
sfh 0.123123 0.000547816 0.0248442 0.000547816 #avg: 0.0143468; avg_err: 7.44655e-05; sd: 0.0371255; counts: 248563
sfh 0.126498 0.00187391 0.0267192 0.00187391 #avg: 0.0159701; avg_err: 7.9121e-05; sd: 0.0394466; counts: 248563
sfh 0.129873 0.00328313 0.0284796 0.00328313 #avg: 0.0175999; avg_err: 8.1527e-05; sd: 0.0406461; counts: 248563
sfh 0.133248 0.0047065 0.0301068 0.0047065 #avg: 0.0191041; avg_err: 8.44962e-05; sd: 0.0421264; counts: 248563
sfh 0.136623 0.00607514 0.0315093 0.00607514 #avg: 0.0205815; avg_err: 8.47692e-05; sd: 0.0422625; counts: 248563
sfh 0.141685 0.00795834 0.0332925 0.00795834 #avg: 0.0225803; avg_err: 8.70328e-05; sd: 0.0433911; counts: 248563
sfh 0.146748 0.00982968 0.0340759 0.00982743 #avg: 0.0242165; avg_err: 8.83853e-05; sd: 0.0440654; counts: 248563
sfh 0.15181 0.0114644 0.0345028 0.0109436 #avg: 0.025544; avg_err: 8.7949e-05; sd: 0.0438478; counts: 248563
sfh 0.156873 0.0129224 0.0346844 0.0117766 #avg: 0.0266597; avg_err: 8.73461e-05; sd: 0.0435473; counts: 248563
sfh 0.161935 0.0139915 0.0343531 0.0121983 #avg: 0.0273254; avg_err: 8.61305e-05; sd: 0.0429412; counts: 248563
sfh 0.166998 0.0148712 0.0340387 0.0124382 #avg: 0.0278093; avg_err: 8.48173e-05; sd: 0.0422865; counts: 248563
sfh 0.17206 0.0153783 0.0334387 0.01239 #avg: 0.0278166; avg_err: 8.08283e-05; sd: 0.0402978; counts: 248563
sfh 0.177123 0.0156666 0.0328468 0.0122294 #avg: 0.0277667; avg_err: 7.93322e-05; sd: 0.0395519; counts: 248563
sfh 0.182185 0.0160022 0.032644 0.0122241 #avg: 0.0277341; avg_err: 7.61185e-05; sd: 0.0379496; counts: 248563
sfh 0.187248 0.0161059 0.0319667 0.0120843 #avg: 0.027442; avg_err: 7.32455e-05; sd: 0.0365173; counts: 248563
sfh 0.19231 0.0162752 0.0310254 0.0120393 #avg: 0.0271819; avg_err: 7.07267e-05; sd: 0.0352615; counts: 248563
sfh 0.197373 0.0163319 0.030241 0.0118604 #avg: 0.0269557; avg_err: 6.93975e-05; sd: 0.0345988; counts: 248563
sfh 0.202435 0.0164619 0.0293474 0.0117693 #avg: 0.0266661; avg_err: 6.77473e-05; sd: 0.0337761; counts: 248563
sfh 0.207498 0.0165196 0.0287986 0.0116355 #avg: 0.0263679; avg_err: 6.5385e-05; sd: 0.0325984; counts: 248563
sfh 0.21256 0.0165722 0.0282992 0.0115415 #avg: 0.0261555; avg_err: 6.37483e-05; sd: 0.0317823; counts: 248563
sfh 0.217623 0.016647 0.0276425 0.0114768 #avg: 0.0259305; avg_err: 6.21942e-05; sd: 0.0310076; counts: 248563
sfh 0.222685 0.0167294 0.0271465 0.011407 #avg: 0.0257439; avg_err: 6.09753e-05; sd: 0.0303998; counts: 248563
sfh 0.227748 0.0167542 0.0265 0.0113174 #avg: 0.0254844; avg_err: 5.90608e-05; sd: 0.0294454; counts: 248563
sfh 0.23281 0.0168558 0.0262927 0.0112966 #avg: 0.0253538; avg_err: 5.78412e-05; sd: 0.0288373; counts: 248563
sfh 0.237873 0.0168511 0.0257961 0.0111607 #avg: 0.0251818; avg_err: 5.70167e-05; sd: 0.0284262; counts: 248563
sfh 0.242935 0.0168645 0.0254656 0.0110553 #avg: 0.0250082; avg_err: 5.58864e-05; sd: 0.0278627; counts: 248563
sfh 0.247998 0.0170817 0.0251686 0.0110731 #avg: 0.0250517; avg_err: 5.51575e-05; sd: 0.0274993; counts: 248563
sfh 0.25306 0.0170698 0.0245178 0.0109469 #avg: 0.0248033; avg_err: 5.40478e-05; sd: 0.0269461; counts: 248563
sfh 0.258123 0.0171386 0.0244738 0.0109005 #avg: 0.0248682; avg_err: 5.40975e-05; sd: 0.0269708; counts: 248563
sfh 0.263185 0.0172294 0.0239749 0.0108581 #avg: 0.0246747; avg_err: 5.23892e-05; sd: 0.0261192; counts: 248563
sfh 0.268248 0.0171764 0.0238082 0.0106664 #avg: 0.0245838; avg_err: 5.18591e-05; sd: 0.0258549; counts: 248563
sfh 0.27331 0.0173164 0.0236481 0.0106967 #avg: 0.0246636; avg_err: 5.14869e-05; sd: 0.0256693; counts: 248563
sfh 0.278373 0.017389 0.0235745 0.0106661 #avg: 0.0246973; avg_err: 5.12123e-05; sd: 0.0255324; counts: 248563
sfh 0.283435 0.0176394 0.023718 0.0107303 #avg: 0.0250369; avg_err: 5.15923e-05; sd: 0.0257219; counts: 248563
sfh 0.288498 0.0177595 0.0237539 0.0106994 #avg: 0.0250381; avg_err: 5.10178e-05; sd: 0.0254354; counts: 248563
sfh 0.29356 0.01794 0.0237635 0.0107433 #avg: 0.0252212; avg_err: 5.10866e-05; sd: 0.0254698; counts: 248563
sfh 0.298623 0.0181659 0.0236703 0.0107868 #avg: 0.0254132; avg_err: 5.10775e-05; sd: 0.0254652; counts: 248563
sfh 0.303685 0.0183607 0.023608 0.010812 #avg: 0.0255865; avg_err: 5.08667e-05; sd: 0.0253601; counts: 248563
sfh 0.308748 0.0185217 0.0236149 0.0108359 #avg: 0.0257125; avg_err: 5.05313e-05; sd: 0.0251929; counts: 248563
sfh 0.31381 0.018808 0.0237249 0.0109395 #avg: 0.0259318; avg_err: 5.05452e-05; sd: 0.0251998; counts: 248563
sfh 0.318873 0.0190218 0.0238049 0.0109593 #avg: 0.026135; avg_err: 5.03392e-05; sd: 0.0250971; counts: 248563
sfh 0.323935 0.0192525 0.0237593 0.0110353 #avg: 0.0263879; avg_err: 5.06108e-05; sd: 0.0252325; counts: 248563
sfh 0.328997 0.0195266 0.0239432 0.0111277 #avg: 0.0266736; avg_err: 5.09414e-05; sd: 0.0253974; counts: 248563
sfh 0.33406 0.0198785 0.0238778 0.0112912 #avg: 0.0269374; avg_err: 5.0787e-05; sd: 0.0253204; counts: 248563
sfh 0.339122 0.0201589 0.0240343 0.0113423 #avg: 0.0272089; avg_err: 5.05285e-05; sd: 0.0251915; counts: 248563
sfh 0.344185 0.0205125 0.024219 0.0115117 #avg: 0.0275693; avg_err: 5.11765e-05; sd: 0.0255146; counts: 248563
sfh 0.349247 0.0208903 0.024418 0.0116267 #avg: 0.0279704; avg_err: 5.14706e-05; sd: 0.0256612; counts: 248563
sfh 0.35431 0.021351 0.0245845 0.0117827 #avg: 0.0284733; avg_err: 5.18847e-05; sd: 0.0258676; counts: 248563
sfh 0.359372 0.0216892 0.0247276 0.0119072 #avg: 0.0287893; avg_err: 5.14788e-05; sd: 0.0256653; counts: 248563
sfh 0.364435 0.02209 0.0249042 0.0120652 #avg: 0.0291579; avg_err: 5.15491e-05; sd: 0.0257003; counts: 248563
sfh 0.369497 0.0225057 0.0252389 0.0122285 #avg: 0.029662; avg_err: 5.22712e-05; sd: 0.0260603; counts: 248563
sfh 0.37456 0.0228684 0.0253729 0.0123129 #avg: 0.0300233; avg_err: 5.20778e-05; sd: 0.0259639; counts: 248563
sfh 0.379622 0.0233759 0.0254105 0.0125193 #avg: 0.0304193; avg_err: 5.21672e-05; sd: 0.0260085; counts: 248563
sfh 0.384685 0.0238528 0.0256675 0.0127244 #avg: 0.0309045; avg_err: 5.24424e-05; sd: 0.0261457; counts: 248563
sfh 0.389747 0.0243585 0.0258096 0.0129217 #avg: 0.0314148; avg_err: 5.28707e-05; sd: 0.0263592; counts: 248563
sfh 0.39481 0.0248129 0.0259992 0.0130294 #avg: 0.0318977; avg_err: 5.30089e-05; sd: 0.0264281; counts: 248563
sfh 0.399872 0.0253499 0.0265182 0.0132886 #avg: 0.0325481; avg_err: 5.39856e-05; sd: 0.0269151; counts: 248563
sfh 0.404935 0.0258882 0.0267705 0.0135027 #avg: 0.0330531; avg_err: 5.42832e-05; sd: 0.0270634; counts: 248563
sfh 0.409997 0.0264128 0.0270664 0.013724 #avg: 0.0336512; avg_err: 5.4773e-05; sd: 0.0273076; counts: 248563
sfh 0.41506 0.0268815 0.0274662 0.0138721 #avg: 0.0341858; avg_err: 5.50906e-05; sd: 0.027466; counts: 248563
sfh 0.420122 0.0273869 0.0277305 0.0140573 #avg: 0.0346555; avg_err: 5.51853e-05; sd: 0.0275132; counts: 248563
sfh 0.425185 0.0280285 0.027873 0.0143776 #avg: 0.0353083; avg_err: 5.5713e-05; sd: 0.0277762; counts: 248563
sfh 0.430247 0.0285746 0.0283547 0.0145936 #avg: 0.0359104; avg_err: 5.6267e-05; sd: 0.0280525; counts: 248563
sfh 0.43531 0.0290424 0.0284901 0.0147926 #avg: 0.0364051; avg_err: 5.67367e-05; sd: 0.0282866; counts: 248563
sfh 0.440372 0.0295962 0.0288709 0.0150828 #avg: 0.0369944; avg_err: 5.70668e-05; sd: 0.0284512; counts: 248563
sfh 0.445435 0.0302099 0.0294004 0.015376 #avg: 0.0376818; avg_err: 5.8138e-05; sd: 0.0289853; counts: 248563
sfh 0.450497 0.0307059 0.0298599 0.0156135 #avg: 0.0382921; avg_err: 5.90722e-05; sd: 0.029451; counts: 248563
sfh 0.45556 0.0313083 0.0302402 0.0159433 #avg: 0.0389488; avg_err: 5.95776e-05; sd: 0.029703; counts: 248563
sfh 0.460622 0.0319448 0.0308348 0.0162427 #avg: 0.0396642; avg_err: 6.07342e-05; sd: 0.0302796; counts: 248563
sfh 0.465685 0.0325008 0.0313952 0.0166323 #avg: 0.0403117; avg_err: 6.1713e-05; sd: 0.0307677; counts: 248563
