#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 1.95 - 2.11667
#HM    Stats: 1.071030e+11 (median) + 7.363200e+10  / - 4.305890e+10
#SM    Stats: 3.260940e+08 (median) + 5.764160e+08  / - 1.699050e+08
#ObsSM Stats: 3.247820e+08 (median) + 5.939940e+08  / - 1.814790e+08
#VMP   Stats: 1.013800e+02 (median) + 1.575000e+01  / - 9.099998e+00
#ICL   Stats: 2.341690e+06 (median) + 1.127901e+07  / - 2.341661e+06
#SSFR  Stats: 7.047824e-10 (median) + 7.031940e-10  / - 3.571924e-10
sfh 0.055623 0 0 0 #avg: 5.8322e-13; avg_err: 5.8322e-13; sd: 3.04614e-10; counts: 272796
sfh 0.060123 0 0 0 #avg: 7.52319e-07; avg_err: 6.41456e-07; sd: 0.000335031; counts: 272796
sfh 0.062373 0 0 0 #avg: 2.61393e-06; avg_err: 1.00588e-06; sd: 0.000525368; counts: 272796
sfh 0.064623 0 0 0 #avg: 7.81886e-06; avg_err: 1.89322e-06; sd: 0.000988827; counts: 272796
sfh 0.066873 0 0 0 #avg: 4.97451e-05; avg_err: 9.60034e-06; sd: 0.00501424; counts: 272796
sfh 0.069123 0 0 0 #avg: 0.000111934; avg_err: 1.44297e-05; sd: 0.0075366; counts: 272796
sfh 0.071373 0 0 0 #avg: 0.000223966; avg_err: 2.40941e-05; sd: 0.0125843; counts: 272796
sfh 0.073623 0 0 0 #avg: 0.000379615; avg_err: 2.84707e-05; sd: 0.0148702; counts: 272796
sfh 0.075873 0 0 0 #avg: 0.000625306; avg_err: 3.5916e-05; sd: 0.0187589; counts: 272796
sfh 0.078123 0 0 0 #avg: 0.000997668; avg_err: 4.69074e-05; sd: 0.0244996; counts: 272796
sfh 0.080373 0 0 0 #avg: 0.00154965; avg_err: 6.48692e-05; sd: 0.033881; counts: 272796
sfh 0.082623 0 0 0 #avg: 0.00219061; avg_err: 6.18627e-05; sd: 0.0323108; counts: 272796
sfh 0.085998 0 0 0 #avg: 0.00376392; avg_err: 9.49913e-05; sd: 0.0496137; counts: 272796
