#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.11667 - 2.28333
#HM    Stats: 5.413240e+11 (median) + 3.160290e+11  / - 1.602950e+11
#SM    Stats: 6.624450e+09 (median) + 1.203265e+10  / - 3.897800e+09
#ObsSM Stats: 6.560000e+09 (median) + 1.232770e+10  / - 4.037610e+09
#VMP   Stats: 1.503500e+02 (median) + 2.356000e+01  / - 1.444000e+01
#ICL   Stats: 3.485610e+07 (median) + 8.336590e+07  / - 2.531439e+07
#SSFR  Stats: 1.041074e-09 (median) + 1.386506e-09  / - 7.771066e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 166222
sfh 0.060123 0 0 0 #avg: 6.27828e-06; avg_err: 1.9419e-06; sd: 0.000791717; counts: 166222
sfh 0.062373 0 0 0 #avg: 5.01982e-05; avg_err: 9.95615e-06; sd: 0.00405914; counts: 166222
sfh 0.064623 0 0 0 #avg: 0.000182886; avg_err: 2.14752e-05; sd: 0.00875547; counts: 166222
sfh 0.066873 0 0 0 #avg: 0.000555426; avg_err: 4.85423e-05; sd: 0.0197908; counts: 166222
sfh 0.069123 0 0 0 #avg: 0.00119309; avg_err: 8.59195e-05; sd: 0.0350296; counts: 166222
sfh 0.071373 0 0 0 #avg: 0.00217371; avg_err: 0.000123617; sd: 0.050399; counts: 166222
sfh 0.073623 0 0 0 #avg: 0.00335541; avg_err: 0.000144905; sd: 0.0590782; counts: 166222
sfh 0.075873 0 0 0 #avg: 0.00508669; avg_err: 0.000169034; sd: 0.0689156; counts: 166222
sfh 0.078123 0 0 0 #avg: 0.00726996; avg_err: 0.000188814; sd: 0.0769798; counts: 166222
sfh 0.080373 0 0 0 #avg: 0.0104249; avg_err: 0.000228339; sd: 0.0930943; counts: 166222
sfh 0.082623 0 0 0 #avg: 0.0136842; avg_err: 0.000246366; sd: 0.100444; counts: 166222
sfh 0.085998 0 0.00691281 0 #avg: 0.0215054; avg_err: 0.000313414; sd: 0.12778; counts: 166222
sfh 0.089373 0 0.0253528 0 #avg: 0.0308431; avg_err: 0.000398053; sd: 0.162287; counts: 166222
sfh 0.092748 0 0.0519764 0 #avg: 0.0415647; avg_err: 0.000414357; sd: 0.168934; counts: 166222
sfh 0.096123 0 0.0807653 0 #avg: 0.0541393; avg_err: 0.000452224; sd: 0.184373; counts: 166222
sfh 0.099498 0.00460334 0.10619 0.00460334 #avg: 0.0679133; avg_err: 0.000517539; sd: 0.211002; counts: 166222
sfh 0.102873 0.0134329 0.125517 0.0134329 #avg: 0.0828676; avg_err: 0.000580447; sd: 0.236649; counts: 166222
sfh 0.106248 0.0241981 0.142674 0.0241981 #avg: 0.0983472; avg_err: 0.000617755; sd: 0.25186; counts: 166222
sfh 0.109623 0.035462 0.156951 0.035462 #avg: 0.11461; avg_err: 0.000676595; sd: 0.275849; counts: 166222
sfh 0.112998 0.0461116 0.172826 0.0455339 #avg: 0.131374; avg_err: 0.000745548; sd: 0.303961; counts: 166222
sfh 0.116373 0.0553985 0.188171 0.0522892 #avg: 0.147333; avg_err: 0.000808924; sd: 0.3298; counts: 166222
sfh 0.119748 0.064009 0.204927 0.0575898 #avg: 0.163338; avg_err: 0.00087252; sd: 0.355728; counts: 166222
sfh 0.123123 0.0730972 0.22063 0.0633208 #avg: 0.179336; avg_err: 0.000929684; sd: 0.379034; counts: 166222
sfh 0.126498 0.0828252 0.236345 0.0697022 #avg: 0.195056; avg_err: 0.00101876; sd: 0.415352; counts: 166222
sfh 0.129873 0.0926551 0.254144 0.0758406 #avg: 0.212862; avg_err: 0.00113687; sd: 0.463503; counts: 166222
sfh 0.133248 0.102534 0.269306 0.0819472 #avg: 0.229778; avg_err: 0.00115155; sd: 0.46949; counts: 166222
sfh 0.136623 0.111957 0.289689 0.0875877 #avg: 0.247526; avg_err: 0.0012051; sd: 0.491323; counts: 166222
sfh 0.141685 0.125994 0.315011 0.0961788 #avg: 0.270494; avg_err: 0.00121646; sd: 0.495953; counts: 166222
sfh 0.146748 0.139111 0.337904 0.10398 #avg: 0.293314; avg_err: 0.00130627; sd: 0.532569; counts: 166222
sfh 0.15181 0.151053 0.359391 0.110972 #avg: 0.315582; avg_err: 0.00138066; sd: 0.562899; counts: 166222
sfh 0.156873 0.162678 0.382165 0.118278 #avg: 0.337995; avg_err: 0.00146887; sd: 0.59886; counts: 166222
