#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.11667 - 2.28333
#HM    Stats: 4.863240e+11 (median) + 2.952940e+11  / - 1.576480e+11
#SM    Stats: 6.124930e+09 (median) + 1.150457e+10  / - 3.512680e+09
#ObsSM Stats: 6.078020e+09 (median) + 1.181138e+10  / - 3.661840e+09
#VMP   Stats: 1.482800e+02 (median) + 2.286000e+01  / - 1.298000e+01
#ICL   Stats: 3.058100e+07 (median) + 8.039500e+07  / - 2.345648e+07
#SSFR  Stats: 1.155582e-09 (median) + 1.301884e-09  / - 6.192982e-10
sfh 0.055623 0 0 0 #avg: 1.06981e-11; avg_err: 1.06459e-11; sd: 4.75569e-09; counts: 199557
sfh 0.060123 0 0 0 #avg: 5.94328e-06; avg_err: 1.50959e-06; sd: 0.000674359; counts: 199557
sfh 0.062373 0 0 0 #avg: 4.98311e-05; avg_err: 6.64266e-06; sd: 0.00296739; counts: 199557
sfh 0.064623 0 0 0 #avg: 0.000225246; avg_err: 2.14461e-05; sd: 0.00958032; counts: 199557
sfh 0.066873 0 0 0 #avg: 0.000646223; avg_err: 4.52632e-05; sd: 0.0202198; counts: 199557
sfh 0.069123 0 0 0 #avg: 0.00130621; avg_err: 7.3428e-05; sd: 0.0328015; counts: 199557
sfh 0.071373 0 0 0 #avg: 0.00234644; avg_err: 0.00010771; sd: 0.0481158; counts: 199557
sfh 0.073623 0 0 0 #avg: 0.00370561; avg_err: 0.000139012; sd: 0.062099; counts: 199557
sfh 0.075873 0 0 0 #avg: 0.00552639; avg_err: 0.000160198; sd: 0.0715631; counts: 199557
sfh 0.078123 0 0 0 #avg: 0.00803051; avg_err: 0.000194367; sd: 0.086827; counts: 199557
sfh 0.080373 0 0 0 #avg: 0.0112699; avg_err: 0.000219253; sd: 0.097944; counts: 199557
sfh 0.082623 0 0 0 #avg: 0.0145433; avg_err: 0.000235483; sd: 0.105194; counts: 199557
sfh 0.085998 0 0.00810597 0 #avg: 0.0225217; avg_err: 0.000287156; sd: 0.128277; counts: 199557
