#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.28333 - 2.45
#HM    Stats: 1.594120e+12 (median) + 8.911701e+11  / - 4.469099e+11
#SM    Stats: 4.166130e+10 (median) + 3.269760e+10  / - 1.982410e+10
#ObsSM Stats: 3.997450e+10 (median) + 3.823590e+10  / - 2.073120e+10
#VMP   Stats: 2.146300e+02 (median) + 3.239000e+01  / - 1.702000e+01
#ICL   Stats: 2.036620e+08 (median) + 4.996980e+08  / - 1.441551e+08
#SSFR  Stats: 5.274304e-10 (median) + 8.001747e-10  / - 3.543583e-10
sfh 0.055623 0 0 0 #avg: 5.21602e-08; avg_err: 3.68224e-08; sd: 7.22142e-06; counts: 38462
sfh 0.060123 0 0 0 #avg: 7.04762e-05; avg_err: 1.36231e-05; sd: 0.00267169; counts: 38462
sfh 0.062373 0 0 0 #avg: 0.000436275; avg_err: 6.10114e-05; sd: 0.0119652; counts: 38462
sfh 0.064623 0 0 0 #avg: 0.00164678; avg_err: 0.00013503; sd: 0.0264814; counts: 38462
sfh 0.066873 0 0 0 #avg: 0.00407404; avg_err: 0.000272839; sd: 0.0535078; counts: 38462
sfh 0.069123 0 0 0 #avg: 0.00919807; avg_err: 0.000529682; sd: 0.103878; counts: 38462
sfh 0.071373 0 0 0 #avg: 0.0156008; avg_err: 0.000685827; sd: 0.134501; counts: 38462
sfh 0.073623 0 0 0 #avg: 0.0238236; avg_err: 0.00101353; sd: 0.198768; counts: 38462
sfh 0.075873 0 0.00209647 0 #avg: 0.0345098; avg_err: 0.00120673; sd: 0.236658; counts: 38462
sfh 0.078123 0 0.0193154 0 #avg: 0.0490294; avg_err: 0.00163432; sd: 0.320513; counts: 38462
sfh 0.080373 0 0.0469734 0 #avg: 0.0625055; avg_err: 0.00157386; sd: 0.308657; counts: 38462
sfh 0.082623 0 0.0837263 0 #avg: 0.0756713; avg_err: 0.00171067; sd: 0.335488; counts: 38462
sfh 0.085998 0.000404135 0.14869 0.000404135 #avg: 0.109511; avg_err: 0.00205678; sd: 0.403364; counts: 38462
sfh 0.089373 0.0130963 0.210152 0.0130963 #avg: 0.143761; avg_err: 0.00235242; sd: 0.461343; counts: 38462
sfh 0.092748 0.0349417 0.261813 0.0349417 #avg: 0.186117; avg_err: 0.00270264; sd: 0.530028; counts: 38462
sfh 0.096123 0.0635009 0.32016 0.0635009 #avg: 0.235609; avg_err: 0.00322318; sd: 0.632114; counts: 38462
sfh 0.099498 0.0971749 0.373075 0.0949178 #avg: 0.290793; avg_err: 0.0039921; sd: 0.78291; counts: 38462
sfh 0.102873 0.131619 0.437617 0.121956 #avg: 0.35004; avg_err: 0.00436376; sd: 0.855798; counts: 38462
sfh 0.106248 0.167129 0.502685 0.1465 #avg: 0.41218; avg_err: 0.00465007; sd: 0.911947; counts: 38462
sfh 0.109623 0.203185 0.570868 0.170421 #avg: 0.486232; avg_err: 0.00541707; sd: 1.06237; counts: 38462
sfh 0.112998 0.239788 0.64173 0.194131 #avg: 0.554105; avg_err: 0.00579201; sd: 1.1359; counts: 38462
sfh 0.116373 0.276962 0.719391 0.218862 #avg: 0.627769; avg_err: 0.0066397; sd: 1.30214; counts: 38462
sfh 0.119748 0.311695 0.810985 0.242634 #avg: 0.700722; avg_err: 0.00745086; sd: 1.46122; counts: 38462
sfh 0.123123 0.348863 0.883087 0.267336 #avg: 0.779651; avg_err: 0.00801955; sd: 1.57275; counts: 38462
sfh 0.126498 0.383395 0.977135 0.288132 #avg: 0.855509; avg_err: 0.00896061; sd: 1.75731; counts: 38462
sfh 0.129873 0.423588 1.05397 0.314846 #avg: 0.926415; avg_err: 0.00910795; sd: 1.7862; counts: 38462
sfh 0.133248 0.466051 1.13475 0.34318 #avg: 1.00427; avg_err: 0.00959472; sd: 1.88167; counts: 38462
sfh 0.136623 0.509981 1.24916 0.373476 #avg: 1.09383; avg_err: 0.0105057; sd: 2.06033; counts: 38462
sfh 0.141685 0.566061 1.37831 0.410617 #avg: 1.20935; avg_err: 0.0112115; sd: 2.19873; counts: 38462
sfh 0.146748 0.630833 1.51039 0.4558 #avg: 1.34364; avg_err: 0.0134197; sd: 2.6318; counts: 38462
sfh 0.15181 0.691492 1.65299 0.497147 #avg: 1.48529; avg_err: 0.0154774; sd: 3.03536; counts: 38462
sfh 0.156873 0.759342 1.77107 0.54578 #avg: 1.63453; avg_err: 0.0176298; sd: 3.45746; counts: 38462
sfh 0.161935 0.823134 1.96835 0.590726 #avg: 1.77315; avg_err: 0.0183553; sd: 3.59974; counts: 38462
sfh 0.166998 0.883101 2.1583 0.63731 #avg: 1.91215; avg_err: 0.0186956; sd: 3.66649; counts: 38462
sfh 0.17206 0.950246 2.33158 0.687369 #avg: 2.04625; avg_err: 0.019791; sd: 3.88131; counts: 38462
sfh 0.177123 1.01047 2.5127 0.73195 #avg: 2.21612; avg_err: 0.021968; sd: 4.30825; counts: 38462
sfh 0.182185 1.08388 2.66095 0.789514 #avg: 2.39682; avg_err: 0.0271125; sd: 5.31715; counts: 38462
sfh 0.187248 1.15738 2.85807 0.846797 #avg: 2.58097; avg_err: 0.0295266; sd: 5.79061; counts: 38462
sfh 0.19231 1.2354 3.05049 0.906092 #avg: 2.73987; avg_err: 0.0277203; sd: 5.43636; counts: 38462
sfh 0.197373 1.31389 3.34821 0.965913 #avg: 2.95451; avg_err: 0.0303617; sd: 5.95438; counts: 38462
sfh 0.202435 1.40487 3.57093 1.03715 #avg: 3.15206; avg_err: 0.0321042; sd: 6.2961; counts: 38462
sfh 0.207498 1.49822 3.89656 1.11248 #avg: 3.38042; avg_err: 0.0344488; sd: 6.75593; counts: 38462
sfh 0.21256 1.61266 4.1665 1.19887 #avg: 3.59678; avg_err: 0.0355289; sd: 6.96774; counts: 38462
sfh 0.217623 1.7212 4.48616 1.28404 #avg: 3.84671; avg_err: 0.0385967; sd: 7.56938; counts: 38462
sfh 0.222685 1.8365 4.78797 1.37337 #avg: 4.08878; avg_err: 0.0405059; sd: 7.94381; counts: 38462
sfh 0.227748 1.9554 5.07185 1.46444 #avg: 4.3278; avg_err: 0.0417209; sd: 8.18208; counts: 38462
sfh 0.23281 2.07333 5.40813 1.55729 #avg: 4.62079; avg_err: 0.0439511; sd: 8.61947; counts: 38462
sfh 0.237873 2.21756 5.76586 1.67227 #avg: 4.9221; avg_err: 0.0471841; sd: 9.2535; counts: 38462
sfh 0.242935 2.34783 6.14886 1.77546 #avg: 5.25575; avg_err: 0.0509099; sd: 9.98417; counts: 38462
sfh 0.247998 2.49963 6.53413 1.89432 #avg: 5.62008; avg_err: 0.0555722; sd: 10.8985; counts: 38462
sfh 0.25306 2.65628 7.0413 2.02108 #avg: 6.02177; avg_err: 0.0591005; sd: 11.5905; counts: 38462
sfh 0.258123 2.80503 7.49477 2.13102 #avg: 6.42174; avg_err: 0.0633049; sd: 12.415; counts: 38462
sfh 0.263185 2.97504 7.90886 2.26322 #avg: 6.81531; avg_err: 0.0664781; sd: 13.0373; counts: 38462
sfh 0.268248 3.17513 8.54487 2.42658 #avg: 7.32573; avg_err: 0.073049; sd: 14.326; counts: 38462
sfh 0.27331 3.37035 9.27285 2.59603 #avg: 7.87728; avg_err: 0.0773898; sd: 15.1773; counts: 38462
sfh 0.278373 3.57272 10.0064 2.75886 #avg: 8.46302; avg_err: 0.084121; sd: 16.4974; counts: 38462
sfh 0.283435 3.80288 10.7967 2.96668 #avg: 9.15409; avg_err: 0.0905353; sd: 17.7553; counts: 38462
sfh 0.288498 4.04802 11.7753 3.18368 #avg: 9.88894; avg_err: 0.099669; sd: 19.5466; counts: 38462
sfh 0.29356 4.32998 12.7152 3.45077 #avg: 10.574; avg_err: 0.107435; sd: 21.0697; counts: 38462
