#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#vmpeak range: 2.78333 - 2.95
#HM    Stats: 4.585290e+13 (median) + 1.751470e+13  / - 1.538230e+13
#SM    Stats: 9.355280e+10 (median) + 9.721820e+10  / - 4.993880e+10
#ObsSM Stats: 8.190870e+10 (median) + 1.060123e+11  / - 4.524050e+10
#VMP   Stats: 6.584800e+02 (median) + 9.369000e+01  / - 4.014996e+01
#ICL   Stats: 1.317230e+10 (median) + 4.554360e+10  / - 1.187213e+10
#SSFR  Stats: 1.568471e-12 (median) + 2.945830e-12  / - 1.018186e-12
sfh 0.055623 0 0 0 #avg: 2.68841e-09; avg_err: 2.68841e-09; sd: 2.40458e-08; counts: 81
sfh 0.060123 0 0 0 #avg: 0.00246318; avg_err: 0.0015936; sd: 0.0142536; counts: 81
sfh 0.062373 0 0.00233238 0 #avg: 0.0206123; avg_err: 0.00917051; sd: 0.0820235; counts: 81
sfh 0.064623 0 0.0460521 0 #avg: 0.0465494; avg_err: 0.0162848; sd: 0.145656; counts: 81
sfh 0.066873 0 0.206404 0 #avg: 0.0986368; avg_err: 0.0242393; sd: 0.216803; counts: 81
sfh 0.069123 0.0106629 0.555917 0.0106629 #avg: 0.257086; avg_err: 0.0691575; sd: 0.618563; counts: 81
sfh 0.071373 0.0674881 0.768257 0.0674881 #avg: 0.476554; avg_err: 0.110051; sd: 0.984327; counts: 81
sfh 0.073623 0.237907 0.884293 0.237907 #avg: 0.628703; avg_err: 0.121774; sd: 1.08918; counts: 81
sfh 0.075873 0.339157 1.30359 0.339157 #avg: 0.9462; avg_err: 0.167499; sd: 1.49816; counts: 81
sfh 0.078123 0.524318 1.94344 0.508429 #avg: 1.29585; avg_err: 0.241796; sd: 2.16269; counts: 81
sfh 0.080373 0.697187 0.943123 0.663935 #avg: 1.73758; avg_err: 0.346922; sd: 3.10296; counts: 81
sfh 0.082623 0.722295 2.16339 0.635679 #avg: 1.76226; avg_err: 0.360955; sd: 3.22848; counts: 81
sfh 0.085998 0.972856 2.81936 0.821906 #avg: 2.5628; avg_err: 0.661362; sd: 5.9154; counts: 81
sfh 0.089373 1.11653 3.68132 0.899512 #avg: 3.43875; avg_err: 1.12012; sd: 10.0186; counts: 81
sfh 0.092748 1.45986 5.17064 1.14169 #avg: 3.84628; avg_err: 0.769524; sd: 6.88283; counts: 81
sfh 0.096123 2.25796 5.33089 1.7967 #avg: 4.59275; avg_err: 0.729523; sd: 6.52505; counts: 81
sfh 0.099498 2.643 7.24806 1.91115 #avg: 5.52599; avg_err: 0.892907; sd: 7.98641; counts: 81
sfh 0.102873 3.15253 9.98247 2.24966 #avg: 6.90359; avg_err: 0.978097; sd: 8.74837; counts: 81
sfh 0.106248 4.32758 9.23762 3.09768 #avg: 9.94049; avg_err: 2.00896; sd: 17.9687; counts: 81
sfh 0.109623 5.49698 9.48502 4.13495 #avg: 15.3587; avg_err: 6.34947; sd: 56.7914; counts: 81
sfh 0.112998 6.59832 16.5406 5.04203 #avg: 11.9968; avg_err: 1.72288; sd: 15.4099; counts: 81
sfh 0.116373 7.59088 16.1936 6.02907 #avg: 13.358; avg_err: 1.87956; sd: 16.8113; counts: 81
sfh 0.119748 8.6264 18.0202 7.09109 #avg: 15.1402; avg_err: 1.91829; sd: 17.1577; counts: 81
sfh 0.123123 10.234 18.1424 8.07417 #avg: 18.1051; avg_err: 2.81908; sd: 25.2146; counts: 81
sfh 0.126498 10.4697 22.236 7.95376 #avg: 17.8241; avg_err: 2.30391; sd: 20.6068; counts: 81
sfh 0.129873 10.7969 23.5435 7.86769 #avg: 19.5237; avg_err: 2.40572; sd: 21.5174; counts: 81
sfh 0.133248 13.0964 31.9312 9.95564 #avg: 24.248; avg_err: 3.54061; sd: 31.6681; counts: 81
sfh 0.136623 12.8051 46.5266 9.40343 #avg: 27.9766; avg_err: 4.44079; sd: 39.7197; counts: 81
sfh 0.141685 18.195 35.8261 14.4496 #avg: 34.7453; avg_err: 6.88136; sd: 61.5488; counts: 81
sfh 0.146748 20.8274 42.7239 16.5475 #avg: 43.7203; avg_err: 8.17554; sd: 73.1242; counts: 81
sfh 0.15181 23.5689 56.2821 19.078 #avg: 46.3127; avg_err: 7.00831; sd: 62.6842; counts: 81
sfh 0.156873 26.6892 65.0276 20.3937 #avg: 44.8994; avg_err: 5.79527; sd: 51.8345; counts: 81
sfh 0.161935 26.4349 73.7901 20.688 #avg: 51.7454; avg_err: 6.58064; sd: 58.859; counts: 81
sfh 0.166998 34.7718 96.1992 27.6363 #avg: 62.0998; avg_err: 7.43885; sd: 66.5351; counts: 81
sfh 0.17206 49.6485 79.8755 41.1338 #avg: 70.8019; avg_err: 8.12187; sd: 72.6442; counts: 81
sfh 0.177123 48.1984 82.7906 40.0338 #avg: 69.3889; avg_err: 8.51196; sd: 76.1333; counts: 81
sfh 0.182185 41.6527 96.5963 31.9322 #avg: 72.2687; avg_err: 7.9959; sd: 71.5175; counts: 81
sfh 0.187248 43.808 113.16 34.0791 #avg: 90.8495; avg_err: 13.9536; sd: 124.805; counts: 81
sfh 0.19231 50.4458 136.247 41.2999 #avg: 101.634; avg_err: 17.5884; sd: 157.315; counts: 81
sfh 0.197373 51.7261 172.844 41.0388 #avg: 114.562; avg_err: 19.7143; sd: 176.33; counts: 81
sfh 0.202435 58.2374 174.36 47.2366 #avg: 108.835; avg_err: 13.1953; sd: 118.022; counts: 81
sfh 0.207498 66.3683 116.325 54.3034 #avg: 108.125; avg_err: 15.1524; sd: 135.527; counts: 81
sfh 0.21256 66.0107 173.208 57.1595 #avg: 117.855; avg_err: 17.5167; sd: 156.675; counts: 81
sfh 0.217623 69.3059 170.014 62.4491 #avg: 122.544; avg_err: 18.2076; sd: 162.854; counts: 81
sfh 0.222685 67.2417 154.603 61.1119 #avg: 108.622; avg_err: 14.0793; sd: 125.929; counts: 81
sfh 0.227748 71.6537 124.954 64.2805 #avg: 101.664; avg_err: 12.6997; sd: 113.589; counts: 81
sfh 0.23281 77.0875 114.071 69.1552 #avg: 101.084; avg_err: 11.3816; sd: 101.8; counts: 81
sfh 0.237873 62.227 149.556 57.8538 #avg: 106.786; avg_err: 14.265; sd: 127.59; counts: 81
sfh 0.242935 49.2586 168.661 45.3727 #avg: 94.9744; avg_err: 12.9619; sd: 115.935; counts: 81
sfh 0.247998 44.1869 143.883 41.1104 #avg: 85.7521; avg_err: 11.4975; sd: 102.837; counts: 81
sfh 0.25306 38.4236 113.916 36.3425 #avg: 78.0065; avg_err: 10.1585; sd: 90.86; counts: 81
sfh 0.258123 38.4754 114.469 37.3374 #avg: 68.9104; avg_err: 9.39032; sd: 83.9896; counts: 81
sfh 0.263185 26.7765 133.466 25.5397 #avg: 65.9406; avg_err: 8.8964; sd: 79.5718; counts: 81
sfh 0.268248 27.2806 115.105 26.0608 #avg: 65.5957; avg_err: 9.77607; sd: 87.4398; counts: 81
sfh 0.27331 41.4182 86.4228 39.758 #avg: 72.3286; avg_err: 11.1343; sd: 99.5879; counts: 81
