#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.501122 (z=0.995522) stellar mass
#mpeak range: 11.75 - 12.25
#HM    Stats: 1.019850e+12 (median) + 4.698600e+11  / - 3.341150e+11
#SM    Stats: 1.581780e+10 (median) + 2.030510e+10  / - 9.445640e+09
#ObsSM Stats: 1.565380e+10 (median) + 2.210330e+10  / - 9.652150e+09
#VMP   Stats: 1.847900e+02 (median) + 2.443001e+01  / - 2.193999e+01
#ICL   Stats: 1.049930e+08 (median) + 2.405440e+08  / - 7.384950e+07
#SSFR  Stats: 2.453976e-12 (median) + 3.157284e-12  / - 1.475257e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 21101
sfh 0.060123 0 0 0 #avg: 2.80045e-15; avg_err: 1.09072e-15; sd: 1.58437e-13; counts: 21101
sfh 0.062373 0 0 0 #avg: 1.42378e-14; avg_err: 4.57894e-15; sd: 6.6513e-13; counts: 21101
sfh 0.064623 0 0 0 #avg: 3.63755e-14; avg_err: 7.02306e-15; sd: 1.02016e-12; counts: 21101
sfh 0.066873 0 0 0 #avg: 9.10132e-14; avg_err: 1.5214e-14; sd: 2.20997e-12; counts: 21101
sfh 0.069123 0 0 0 #avg: 2.2053e-13; avg_err: 3.13718e-14; sd: 4.55702e-12; counts: 21101
sfh 0.071373 0 0 0 #avg: 3.72364e-13; avg_err: 3.59143e-14; sd: 5.21686e-12; counts: 21101
sfh 0.073623 0 0 0 #avg: 5.61073e-13; avg_err: 3.73049e-14; sd: 5.41885e-12; counts: 21101
sfh 0.075873 0 0 0 #avg: 8.83885e-13; avg_err: 5.0754e-14; sd: 7.37244e-12; counts: 21101
sfh 0.078123 0 0 0 #avg: 1.25769e-12; avg_err: 6.50693e-14; sd: 9.45186e-12; counts: 21101
sfh 0.080373 0 3.1655e-13 0 #avg: 1.79566e-12; avg_err: 9.2191e-14; sd: 1.33915e-11; counts: 21101
sfh 0.082623 0 1.09525e-12 0 #avg: 2.15949e-12; avg_err: 8.53001e-14; sd: 1.23906e-11; counts: 21101
sfh 0.085998 0 2.97951e-12 0 #avg: 3.29044e-12; avg_err: 1.33062e-13; sd: 1.93284e-11; counts: 21101
sfh 0.089373 0 5.37534e-12 0 #avg: 4.82416e-12; avg_err: 2.61179e-13; sd: 3.79384e-11; counts: 21101
sfh 0.092748 3.60948e-13 8.04819e-12 3.60948e-13 #avg: 6.41956e-12; avg_err: 2.01001e-13; sd: 2.91971e-11; counts: 21101
sfh 0.096123 1.12917e-12 1.0809e-11 1.12917e-12 #avg: 8.12544e-12; avg_err: 1.90615e-13; sd: 2.76884e-11; counts: 21101
sfh 0.099498 2.19742e-12 1.34949e-11 2.19742e-12 #avg: 1.00758e-11; avg_err: 2.01715e-13; sd: 2.93007e-11; counts: 21101
sfh 0.102873 3.42414e-12 1.60564e-11 3.42412e-12 #avg: 1.23877e-11; avg_err: 2.23895e-13; sd: 3.25227e-11; counts: 21101
sfh 0.106248 4.67945e-12 1.83507e-11 4.45001e-12 #avg: 1.45265e-11; avg_err: 2.48897e-13; sd: 3.61544e-11; counts: 21101
sfh 0.109623 5.97185e-12 2.09545e-11 5.32309e-12 #avg: 1.68572e-11; avg_err: 2.75277e-13; sd: 3.99863e-11; counts: 21101
sfh 0.112998 7.49622e-12 2.3326e-11 6.3444e-12 #avg: 1.92719e-11; avg_err: 2.90216e-13; sd: 4.21564e-11; counts: 21101
sfh 0.116373 8.77145e-12 2.52983e-11 7.17224e-12 #avg: 2.16711e-11; avg_err: 3.15012e-13; sd: 4.57581e-11; counts: 21101
sfh 0.119748 1.00703e-11 2.88093e-11 7.96519e-12 #avg: 2.40832e-11; avg_err: 3.23854e-13; sd: 4.70424e-11; counts: 21101
sfh 0.123123 1.13594e-11 3.16494e-11 8.76347e-12 #avg: 2.7006e-11; avg_err: 3.76465e-13; sd: 5.46847e-11; counts: 21101
sfh 0.126498 1.27035e-11 3.39108e-11 9.55951e-12 #avg: 2.95083e-11; avg_err: 4.08922e-13; sd: 5.93994e-11; counts: 21101
sfh 0.129873 1.40733e-11 3.69943e-11 1.03864e-11 #avg: 3.24403e-11; avg_err: 4.67411e-13; sd: 6.78953e-11; counts: 21101
sfh 0.133248 1.55968e-11 4.0214e-11 1.13478e-11 #avg: 3.47306e-11; avg_err: 4.57044e-13; sd: 6.63894e-11; counts: 21101
sfh 0.136623 1.71398e-11 4.27415e-11 1.23879e-11 #avg: 3.70362e-11; avg_err: 4.78918e-13; sd: 6.95669e-11; counts: 21101
sfh 0.141685 1.92121e-11 4.68417e-11 1.37895e-11 #avg: 4.05453e-11; avg_err: 4.84933e-13; sd: 7.04406e-11; counts: 21101
sfh 0.146748 2.11655e-11 5.04401e-11 1.48836e-11 #avg: 4.43113e-11; avg_err: 5.22182e-13; sd: 7.58513e-11; counts: 21101
sfh 0.15181 2.33224e-11 5.46908e-11 1.63255e-11 #avg: 4.83839e-11; avg_err: 5.98707e-13; sd: 8.69672e-11; counts: 21101
sfh 0.156873 2.53002e-11 5.75581e-11 1.77065e-11 #avg: 5.18676e-11; avg_err: 6.21949e-13; sd: 9.03433e-11; counts: 21101
sfh 0.161935 2.71456e-11 6.21266e-11 1.8867e-11 #avg: 5.57297e-11; avg_err: 6.82473e-13; sd: 9.9135e-11; counts: 21101
sfh 0.166998 2.94223e-11 6.63198e-11 2.05334e-11 #avg: 5.94535e-11; avg_err: 7.21855e-13; sd: 1.04856e-10; counts: 21101
sfh 0.17206 3.09594e-11 7.06228e-11 2.14739e-11 #avg: 6.2191e-11; avg_err: 7.07801e-13; sd: 1.02814e-10; counts: 21101
sfh 0.177123 3.30559e-11 7.55647e-11 2.29496e-11 #avg: 6.61599e-11; avg_err: 7.38846e-13; sd: 1.07324e-10; counts: 21101
sfh 0.182185 3.52204e-11 8.11536e-11 2.45373e-11 #avg: 7.04736e-11; avg_err: 7.92417e-13; sd: 1.15105e-10; counts: 21101
sfh 0.187248 3.71294e-11 8.55411e-11 2.59331e-11 #avg: 7.42296e-11; avg_err: 8.24426e-13; sd: 1.19755e-10; counts: 21101
