#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.501122 (z=0.995522) stellar mass
#mpeak range: 11.75 - 12.25
#HM    Stats: 9.161770e+11 (median) + 4.701429e+11  / - 2.660300e+11
#SM    Stats: 1.937520e+10 (median) + 2.333080e+10  / - 1.123431e+10
#ObsSM Stats: 1.906040e+10 (median) + 2.567400e+10  / - 1.132275e+10
#VMP   Stats: 1.987300e+02 (median) + 3.035001e+01  / - 2.512999e+01
#ICL   Stats: 1.105040e+08 (median) + 3.623700e+08  / - 8.636130e+07
#SSFR  Stats: 1.868463e-12 (median) + 2.834251e-12  / - 1.157301e-12
sfh 0.055623 0 0 0 #avg: 1.31493e-20; avg_err: 1.31455e-20; sd: 1.51607e-18; counts: 13302
sfh 0.060123 0 0 0 #avg: 1.2837e-15; avg_err: 6.00171e-16; sd: 6.92177e-14; counts: 13302
sfh 0.062373 0 0 0 #avg: 1.84049e-14; avg_err: 4.50527e-15; sd: 5.19593e-13; counts: 13302
sfh 0.064623 0 0 0 #avg: 7.2205e-14; avg_err: 2.00119e-14; sd: 2.30797e-12; counts: 13302
sfh 0.066873 0 0 0 #avg: 2.02215e-13; avg_err: 2.67011e-14; sd: 3.07943e-12; counts: 13302
sfh 0.069123 0 0 0 #avg: 3.68251e-13; avg_err: 3.77474e-14; sd: 4.35341e-12; counts: 13302
sfh 0.071373 0 0 0 #avg: 6.04156e-13; avg_err: 4.54473e-14; sd: 5.24143e-12; counts: 13302
sfh 0.073623 0 0 0 #avg: 1.02838e-12; avg_err: 7.69948e-14; sd: 8.8798e-12; counts: 13302
sfh 0.075873 0 7.13227e-17 0 #avg: 1.6565e-12; avg_err: 1.17732e-13; sd: 1.35781e-11; counts: 13302
sfh 0.078123 0 5.84869e-13 0 #avg: 2.35018e-12; avg_err: 1.87724e-13; sd: 2.16502e-11; counts: 13302
sfh 0.080373 0 1.68904e-12 0 #avg: 3.00147e-12; avg_err: 1.70851e-13; sd: 1.97042e-11; counts: 13302
sfh 0.082623 0 3.06938e-12 0 #avg: 3.51338e-12; avg_err: 1.90732e-13; sd: 2.19971e-11; counts: 13302
