#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.501122 (z=0.995522) stellar mass
#mpeak range: 12.25 - 12.75
#HM    Stats: 2.632350e+12 (median) + 1.429410e+12  / - 6.470599e+11
#SM    Stats: 5.046420e+10 (median) + 4.055360e+10  / - 2.617050e+10
#ObsSM Stats: 4.898700e+10 (median) + 4.661400e+10  / - 2.663510e+10
#VMP   Stats: 2.698700e+02 (median) + 4.366000e+01  / - 3.153999e+01
#ICL   Stats: 4.903670e+08 (median) + 1.705483e+09  / - 3.703050e+08
#SSFR  Stats: 2.642952e-12 (median) + 2.229648e-10  / - 1.851908e-12
sfh 0.055623 0 0 0 #avg: 1.38901e-22; avg_err: 8.10682e-23; sd: 7.11463e-21; counts: 7703
sfh 0.060123 0 0 0 #avg: 3.57843e-15; avg_err: 9.05903e-16; sd: 7.9503e-14; counts: 7703
sfh 0.062373 0 0 0 #avg: 2.7234e-14; avg_err: 4.33933e-15; sd: 3.80824e-13; counts: 7703
sfh 0.064623 0 0 0 #avg: 8.5939e-14; avg_err: 1.01503e-14; sd: 8.90802e-13; counts: 7703
sfh 0.066873 0 0 0 #avg: 2.76769e-13; avg_err: 2.72197e-14; sd: 2.38883e-12; counts: 7703
sfh 0.069123 0 0 0 #avg: 6.10168e-13; avg_err: 4.9711e-14; sd: 4.36269e-12; counts: 7703
sfh 0.071373 0 3.06321e-14 0 #avg: 1.06885e-12; avg_err: 9.62068e-14; sd: 8.44321e-12; counts: 7703
sfh 0.073623 0 5.33864e-13 0 #avg: 1.48967e-12; avg_err: 9.55115e-14; sd: 8.38219e-12; counts: 7703
sfh 0.075873 0 1.36668e-12 0 #avg: 2.11572e-12; avg_err: 1.2901e-13; sd: 1.1322e-11; counts: 7703
sfh 0.078123 0 2.66596e-12 0 #avg: 2.87051e-12; avg_err: 1.52328e-13; sd: 1.33685e-11; counts: 7703
sfh 0.080373 1.36425e-14 4.22426e-12 1.36425e-14 #avg: 3.63078e-12; avg_err: 1.69498e-13; sd: 1.48753e-11; counts: 7703
