#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.501122 (z=0.995522) stellar mass
#mpeak range: 13.25 - 13.75
#HM    Stats: 2.433820e+13 (median) + 1.167650e+13  / - 4.838199e+12
#SM    Stats: 1.151270e+11 (median) + 7.298399e+10  / - 5.533140e+10
#ObsSM Stats: 8.987830e+10 (median) + 9.183270e+10  / - 4.378200e+10
#VMP   Stats: 5.155600e+02 (median) + 7.957001e+01  / - 3.964999e+01
#ICL   Stats: 1.146080e+10 (median) + 1.964650e+10  / - 8.245881e+09
#SSFR  Stats: 1.776798e-11 (median) + 1.950797e-10  / - 6.129735e-12
sfh 0.055623 0 0 0 #avg: 6.45562e-19; avg_err: 5.92556e-19; sd: 9.44379e-18; counts: 255
sfh 0.060123 0 0 0 #avg: 1.40614e-14; avg_err: 6.10106e-15; sd: 9.7235e-14; counts: 255
sfh 0.062373 0 0 0 #avg: 9.48892e-14; avg_err: 2.89102e-14; sd: 4.60752e-13; counts: 255
sfh 0.064623 0 1.76184e-14 0 #avg: 3.14073e-13; avg_err: 7.31714e-14; sd: 1.16616e-12; counts: 255
sfh 0.066873 0 8.65011e-13 0 #avg: 8.7108e-13; avg_err: 2.01349e-13; sd: 3.20898e-12; counts: 255
sfh 0.069123 0 2.33656e-12 0 #avg: 2.13569e-12; avg_err: 5.34792e-13; sd: 8.52319e-12; counts: 255
sfh 0.071373 5.85516e-14 4.44969e-12 5.85516e-14 #avg: 2.76455e-12; avg_err: 4.61788e-13; sd: 7.35969e-12; counts: 255
sfh 0.073623 3.96784e-13 5.96342e-12 3.96784e-13 #avg: 4.09587e-12; avg_err: 6.01054e-13; sd: 9.57923e-12; counts: 255
sfh 0.075873 8.5994e-13 7.75661e-12 8.5994e-13 #avg: 5.88863e-12; avg_err: 8.72935e-13; sd: 1.39123e-11; counts: 255
sfh 0.078123 1.68551e-12 1.17674e-11 1.67895e-12 #avg: 8.197e-12; avg_err: 1.16549e-12; sd: 1.85749e-11; counts: 255
sfh 0.080373 3.15853e-12 1.24315e-11 2.94676e-12 #avg: 1.04179e-11; avg_err: 1.38263e-12; sd: 2.20356e-11; counts: 255
sfh 0.082623 4.70253e-12 1.3714e-11 4.32175e-12 #avg: 1.24732e-11; avg_err: 1.62378e-12; sd: 2.58787e-11; counts: 255
sfh 0.085998 7.44275e-12 2.07693e-11 6.3509e-12 #avg: 2.03793e-11; avg_err: 3.39462e-12; sd: 5.41014e-11; counts: 255
sfh 0.089373 9.7299e-12 2.6453e-11 7.65889e-12 #avg: 2.91738e-11; avg_err: 6.32401e-12; sd: 1.00788e-10; counts: 255
sfh 0.092748 1.25346e-11 3.21039e-11 9.31056e-12 #avg: 3.23508e-11; avg_err: 3.96234e-12; sd: 6.31493e-11; counts: 255
sfh 0.096123 1.61269e-11 4.11382e-11 1.22365e-11 #avg: 3.77944e-11; avg_err: 4.27587e-12; sd: 6.81461e-11; counts: 255
sfh 0.099498 2.1184e-11 4.87774e-11 1.63282e-11 #avg: 4.63899e-11; avg_err: 5.27885e-12; sd: 8.4131e-11; counts: 255
sfh 0.102873 2.68092e-11 5.58566e-11 1.95866e-11 #avg: 5.45411e-11; avg_err: 5.95117e-12; sd: 9.48461e-11; counts: 255
