#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.501122 (z=0.995522) stellar mass
#mpeak range: 14.25 - 14.75
#HM    Stats: 2.297060e+14 (median) + 2.279400e+13  / - 2.514700e+13
#SM    Stats: 2.888720e+11 (median) + 8.714800e+10  / - 1.319650e+11
#ObsSM Stats: 2.626100e+11 (median) + 1.908680e+11  / - 1.009910e+11
#VMP   Stats: 1.071270e+03 (median) + 7.858997e+01  / - 7.436005e+01
#ICL   Stats: 1.878680e+11 (median) + 1.026730e+11  / - 1.144241e+11
#SSFR  Stats: 2.382143e-12 (median) + 2.068592e-12  / - 1.997132e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 11
sfh 0.060123 1.57264e-15 3.13259e-13 1.57264e-15 #avg: 3.48685e-13; avg_err: 2.59621e-13; sd: 8.20993e-13; counts: 11
sfh 0.062373 2.43014e-13 8.41433e-13 2.43014e-13 #avg: 8.84217e-13; avg_err: 6.17532e-13; sd: 1.95281e-12; counts: 11
sfh 0.064623 3.93635e-13 1.44648e-12 3.93635e-13 #avg: 1.33084e-12; avg_err: 7.03421e-13; sd: 2.22441e-12; counts: 11
sfh 0.066873 2.11895e-12 5.34754e-12 1.95541e-12 #avg: 2.87326e-12; avg_err: 8.49591e-13; sd: 2.68664e-12; counts: 11
sfh 0.069123 3.14153e-12 5.52827e-12 1.27821e-12 #avg: 6.11747e-12; avg_err: 2.45673e-12; sd: 7.76886e-12; counts: 11
sfh 0.071373 8.19957e-12 4.97211e-12 3.56458e-12 #avg: 9.60996e-12; avg_err: 2.3912e-12; sd: 7.56163e-12; counts: 11
sfh 0.073623 8.21444e-12 1.50223e-11 3.55393e-12 #avg: 1.36569e-11; avg_err: 4.33291e-12; sd: 1.37018e-11; counts: 11
sfh 0.075873 1.49743e-11 9.31225e-12 8.26046e-12 #avg: 2.51087e-11; avg_err: 1.06314e-11; sd: 3.36196e-11; counts: 11
sfh 0.078123 1.58769e-11 2.35242e-11 8.45068e-12 #avg: 3.45313e-11; avg_err: 1.59377e-11; sd: 5.03995e-11; counts: 11
sfh 0.080373 2.19803e-11 5.64986e-11 1.34173e-11 #avg: 3.78595e-11; avg_err: 1.20672e-11; sd: 3.81597e-11; counts: 11
sfh 0.082623 3.63406e-11 2.42208e-11 2.61743e-11 #avg: 4.77518e-11; avg_err: 1.85073e-11; sd: 5.85251e-11; counts: 11
sfh 0.085998 3.73287e-11 2.6085e-11 2.30167e-11 #avg: 6.37251e-11; avg_err: 2.79201e-11; sd: 8.82912e-11; counts: 11
sfh 0.089373 4.0213e-11 6.29826e-11 2.62203e-11 #avg: 8.3185e-11; avg_err: 4.06401e-11; sd: 1.28515e-10; counts: 11
sfh 0.092748 4.03553e-11 5.99743e-11 1.76558e-11 #avg: 8.21993e-11; avg_err: 3.17682e-11; sd: 1.0046e-10; counts: 11
sfh 0.096123 5.54855e-11 1.00367e-10 2.19349e-11 #avg: 1.03846e-10; avg_err: 3.2375e-11; sd: 1.02379e-10; counts: 11
sfh 0.099498 7.66162e-11 9.91557e-11 3.5065e-11 #avg: 1.25883e-10; avg_err: 4.81438e-11; sd: 1.52244e-10; counts: 11
