#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.501122 (z=0.995522) stellar mass
#obs_sm range: 9.75 - 10.25
#HM    Stats: 7.861760e+11 (median) + 7.638240e+11  / - 3.023520e+11
#SM    Stats: 1.079500e+10 (median) + 6.522200e+09  / - 4.094170e+09
#ObsSM Stats: 1.054290e+10 (median) + 4.630100e+09  / - 3.563630e+09
#VMP   Stats: 1.782100e+02 (median) + 3.911000e+01  / - 1.979001e+01
#ICL   Stats: 8.098670e+07 (median) + 2.784603e+08  / - 6.209810e+07
#SSFR  Stats: 2.194160e-12 (median) + 3.008660e-12  / - 1.344592e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 21673
sfh 0.060123 0 0 0 #avg: 4.7065e-15; avg_err: 2.05717e-15; sd: 3.02844e-13; counts: 21673
sfh 0.062373 0 0 0 #avg: 2.20597e-14; avg_err: 5.67449e-15; sd: 8.35365e-13; counts: 21673
sfh 0.064623 0 0 0 #avg: 7.48624e-14; avg_err: 1.51412e-14; sd: 2.22901e-12; counts: 21673
sfh 0.066873 0 0 0 #avg: 1.7656e-13; avg_err: 2.48923e-14; sd: 3.66449e-12; counts: 21673
sfh 0.069123 0 0 0 #avg: 3.92084e-13; avg_err: 4.01859e-14; sd: 5.91594e-12; counts: 21673
sfh 0.071373 0 0 0 #avg: 6.37184e-13; avg_err: 4.76662e-14; sd: 7.01713e-12; counts: 21673
sfh 0.073623 0 0 0 #avg: 9.98793e-13; avg_err: 6.04638e-14; sd: 8.90112e-12; counts: 21673
sfh 0.075873 0 0 0 #avg: 1.48344e-12; avg_err: 8.14664e-14; sd: 1.1993e-11; counts: 21673
sfh 0.078123 0 0 0 #avg: 2.20719e-12; avg_err: 1.04712e-13; sd: 1.54151e-11; counts: 21673
sfh 0.080373 0 8.65595e-13 0 #avg: 3.03183e-12; avg_err: 1.25408e-13; sd: 1.84619e-11; counts: 21673
sfh 0.082623 0 2.44442e-12 0 #avg: 3.72408e-12; avg_err: 1.51314e-13; sd: 2.22755e-11; counts: 21673
sfh 0.085998 0 5.84079e-12 0 #avg: 5.70598e-12; avg_err: 2.17156e-13; sd: 3.19684e-11; counts: 21673
sfh 0.089373 0 1.02228e-11 0 #avg: 7.85594e-12; avg_err: 3.02044e-13; sd: 4.44651e-11; counts: 21673
sfh 0.092748 6.91483e-13 1.40591e-11 6.91483e-13 #avg: 1.02025e-11; avg_err: 3.21023e-13; sd: 4.72591e-11; counts: 21673
sfh 0.096123 1.93826e-12 1.79158e-11 1.93826e-12 #avg: 1.27544e-11; avg_err: 2.69739e-13; sd: 3.97093e-11; counts: 21673
sfh 0.099498 3.61148e-12 2.13369e-11 3.61148e-12 #avg: 1.55919e-11; avg_err: 3.08038e-13; sd: 4.53475e-11; counts: 21673
sfh 0.102873 5.43691e-12 2.50765e-11 5.43691e-12 #avg: 1.91317e-11; avg_err: 3.58739e-13; sd: 5.28115e-11; counts: 21673
sfh 0.106248 7.45059e-12 2.85461e-11 7.18421e-12 #avg: 2.23919e-11; avg_err: 3.73429e-13; sd: 5.49741e-11; counts: 21673
sfh 0.109623 9.41186e-12 3.25408e-11 8.60608e-12 #avg: 2.59687e-11; avg_err: 3.90889e-13; sd: 5.75443e-11; counts: 21673
sfh 0.112998 1.14075e-11 3.75647e-11 9.97302e-12 #avg: 2.97738e-11; avg_err: 4.31576e-13; sd: 6.35341e-11; counts: 21673
sfh 0.116373 1.31699e-11 4.02381e-11 1.10683e-11 #avg: 3.36915e-11; avg_err: 4.84196e-13; sd: 7.12805e-11; counts: 21673
sfh 0.119748 1.50465e-11 4.5073e-11 1.23487e-11 #avg: 3.82532e-11; avg_err: 5.82532e-13; sd: 8.5757e-11; counts: 21673
sfh 0.123123 1.67289e-11 5.01778e-11 1.34109e-11 #avg: 4.28367e-11; avg_err: 6.53903e-13; sd: 9.62637e-11; counts: 21673
sfh 0.126498 1.86646e-11 5.37283e-11 1.46194e-11 #avg: 4.72464e-11; avg_err: 7.34358e-13; sd: 1.08108e-10; counts: 21673
sfh 0.129873 2.07364e-11 5.84111e-11 1.59852e-11 #avg: 5.12169e-11; avg_err: 7.46343e-13; sd: 1.09872e-10; counts: 21673
sfh 0.133248 2.24775e-11 6.37478e-11 1.69684e-11 #avg: 5.54473e-11; avg_err: 7.93977e-13; sd: 1.16885e-10; counts: 21673
sfh 0.136623 2.46289e-11 6.79567e-11 1.82746e-11 #avg: 5.93536e-11; avg_err: 8.30457e-13; sd: 1.22255e-10; counts: 21673
sfh 0.141685 2.79525e-11 7.44075e-11 2.07468e-11 #avg: 6.49692e-11; avg_err: 9.38173e-13; sd: 1.38112e-10; counts: 21673
sfh 0.146748 3.08838e-11 8.23207e-11 2.26459e-11 #avg: 7.14099e-11; avg_err: 9.44134e-13; sd: 1.3899e-10; counts: 21673
sfh 0.15181 3.36038e-11 8.84562e-11 2.45793e-11 #avg: 7.76442e-11; avg_err: 1.04599e-12; sd: 1.53984e-10; counts: 21673
sfh 0.156873 3.67049e-11 9.46115e-11 2.67631e-11 #avg: 8.45338e-11; avg_err: 1.18785e-12; sd: 1.74869e-10; counts: 21673
sfh 0.161935 3.96305e-11 1.0255e-10 2.85893e-11 #avg: 8.95464e-11; avg_err: 1.15642e-12; sd: 1.70242e-10; counts: 21673
sfh 0.166998 4.25691e-11 1.09775e-10 3.06945e-11 #avg: 9.46013e-11; avg_err: 1.15207e-12; sd: 1.696e-10; counts: 21673
sfh 0.17206 4.50661e-11 1.19058e-10 3.24666e-11 #avg: 1.00605e-10; avg_err: 1.25391e-12; sd: 1.84593e-10; counts: 21673
sfh 0.177123 4.74322e-11 1.28719e-10 3.41069e-11 #avg: 1.08246e-10; avg_err: 1.35129e-12; sd: 1.98929e-10; counts: 21673
sfh 0.182185 5.10139e-11 1.36511e-10 3.68831e-11 #avg: 1.15899e-10; avg_err: 1.43289e-12; sd: 2.10941e-10; counts: 21673
sfh 0.187248 5.43683e-11 1.44347e-10 3.93959e-11 #avg: 1.22503e-10; avg_err: 1.48496e-12; sd: 2.18608e-10; counts: 21673
sfh 0.19231 5.74891e-11 1.51861e-10 4.16667e-11 #avg: 1.31352e-10; avg_err: 1.63674e-12; sd: 2.40952e-10; counts: 21673
sfh 0.197373 6.11092e-11 1.61816e-10 4.44732e-11 #avg: 1.37808e-10; avg_err: 1.68367e-12; sd: 2.4786e-10; counts: 21673
sfh 0.202435 6.43531e-11 1.71179e-10 4.70369e-11 #avg: 1.45067e-10; avg_err: 1.72958e-12; sd: 2.54619e-10; counts: 21673
sfh 0.207498 6.89427e-11 1.8285e-10 5.07373e-11 #avg: 1.52498e-10; avg_err: 1.83589e-12; sd: 2.7027e-10; counts: 21673
sfh 0.21256 7.30268e-11 1.88443e-10 5.41529e-11 #avg: 1.59236e-10; avg_err: 1.8788e-12; sd: 2.76585e-10; counts: 21673
sfh 0.217623 7.72586e-11 1.99122e-10 5.71373e-11 #avg: 1.67059e-10; avg_err: 1.9699e-12; sd: 2.89997e-10; counts: 21673
sfh 0.222685 8.08318e-11 2.06244e-10 5.92433e-11 #avg: 1.73458e-10; avg_err: 1.98231e-12; sd: 2.91824e-10; counts: 21673
sfh 0.227748 8.5253e-11 2.13365e-10 6.24853e-11 #avg: 1.79323e-10; avg_err: 2.02262e-12; sd: 2.97758e-10; counts: 21673
sfh 0.23281 8.93657e-11 2.21331e-10 6.56619e-11 #avg: 1.8705e-10; avg_err: 2.10809e-12; sd: 3.10341e-10; counts: 21673
sfh 0.237873 9.38312e-11 2.29847e-10 6.89212e-11 #avg: 1.92839e-10; avg_err: 2.12528e-12; sd: 3.12871e-10; counts: 21673
sfh 0.242935 9.8448e-11 2.38728e-10 7.2484e-11 #avg: 2.00186e-10; avg_err: 2.1938e-12; sd: 3.22959e-10; counts: 21673
sfh 0.247998 1.0303e-10 2.43416e-10 7.55951e-11 #avg: 2.07741e-10; avg_err: 2.25035e-12; sd: 3.31284e-10; counts: 21673
sfh 0.25306 1.08039e-10 2.51304e-10 7.95666e-11 #avg: 2.14015e-10; avg_err: 2.29391e-12; sd: 3.37696e-10; counts: 21673
sfh 0.258123 1.14754e-10 2.55994e-10 8.44854e-11 #avg: 2.21436e-10; avg_err: 2.31405e-12; sd: 3.40661e-10; counts: 21673
sfh 0.263185 1.20586e-10 2.66515e-10 8.8901e-11 #avg: 2.29432e-10; avg_err: 2.35121e-12; sd: 3.46132e-10; counts: 21673
sfh 0.268248 1.26989e-10 2.71828e-10 9.31997e-11 #avg: 2.35102e-10; avg_err: 2.34773e-12; sd: 3.45618e-10; counts: 21673
sfh 0.27331 1.31735e-10 2.82607e-10 9.66514e-11 #avg: 2.40859e-10; avg_err: 2.33523e-12; sd: 3.43779e-10; counts: 21673
sfh 0.278373 1.36763e-10 2.87629e-10 1.01175e-10 #avg: 2.48415e-10; avg_err: 2.37979e-12; sd: 3.50338e-10; counts: 21673
sfh 0.283435 1.42728e-10 2.99039e-10 1.05803e-10 #avg: 2.5909e-10; avg_err: 2.54769e-12; sd: 3.75057e-10; counts: 21673
sfh 0.288498 1.48015e-10 3.15871e-10 1.10008e-10 #avg: 2.70968e-10; avg_err: 2.67873e-12; sd: 3.94347e-10; counts: 21673
sfh 0.29356 1.54157e-10 3.23753e-10 1.14742e-10 #avg: 2.78827e-10; avg_err: 2.66409e-12; sd: 3.92191e-10; counts: 21673
sfh 0.298623 1.60416e-10 3.27259e-10 1.21009e-10 #avg: 2.85668e-10; avg_err: 2.70888e-12; sd: 3.98785e-10; counts: 21673
sfh 0.303685 1.69767e-10 3.39676e-10 1.28491e-10 #avg: 2.95818e-10; avg_err: 2.78844e-12; sd: 4.10497e-10; counts: 21673
sfh 0.308748 1.77694e-10 3.60396e-10 1.36355e-10 #avg: 3.09533e-10; avg_err: 2.84226e-12; sd: 4.18422e-10; counts: 21673
sfh 0.31381 1.84136e-10 3.68098e-10 1.43199e-10 #avg: 3.1676e-10; avg_err: 2.84071e-12; sd: 4.18193e-10; counts: 21673
sfh 0.318873 1.91821e-10 3.8246e-10 1.50625e-10 #avg: 3.27672e-10; avg_err: 2.92944e-12; sd: 4.31255e-10; counts: 21673
sfh 0.323935 1.97468e-10 4.01642e-10 1.57563e-10 #avg: 3.37392e-10; avg_err: 3.00763e-12; sd: 4.42766e-10; counts: 21673
sfh 0.328997 2.06823e-10 4.02918e-10 1.67454e-10 #avg: 3.47809e-10; avg_err: 3.05506e-12; sd: 4.49748e-10; counts: 21673
sfh 0.33406 2.17783e-10 4.26138e-10 1.80118e-10 #avg: 3.59868e-10; avg_err: 3.09788e-12; sd: 4.56052e-10; counts: 21673
sfh 0.339122 2.29138e-10 4.45417e-10 1.92065e-10 #avg: 3.74559e-10; avg_err: 3.21834e-12; sd: 4.73785e-10; counts: 21673
sfh 0.344185 2.36873e-10 4.47473e-10 2.0253e-10 #avg: 3.83373e-10; avg_err: 3.227e-12; sd: 4.75059e-10; counts: 21673
