#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.501122 (z=0.995522) stellar mass
#obs_sm range: 11.75 - 12.25
#HM    Stats: 7.970590e+13 (median) + 9.411810e+13  / - 5.169120e+13
#SM    Stats: 4.124810e+11 (median) + 5.141299e+10  / - 1.368230e+11
#ObsSM Stats: 6.369450e+11 (median) + 1.892780e+11  / - 4.998896e+10
#VMP   Stats: 7.804100e+02 (median) + 2.374200e+02  / - 1.980000e+02
#ICL   Stats: 7.739560e+10 (median) + 7.474940e+10  / - 6.493750e+10
#SSFR  Stats: 1.512356e-12 (median) + 4.872778e-12  / - 9.791822e-13
sfh 0.055623 0 0 0 #avg: 6.65222e-18; avg_err: 6.65222e-18; sd: 2.57639e-17; counts: 16
sfh 0.060123 0 7.53947e-14 0 #avg: 4.15531e-14; avg_err: 2.36897e-14; sd: 9.17497e-14; counts: 16
sfh 0.062373 0 4.64007e-13 0 #avg: 1.7252e-13; avg_err: 7.69404e-14; sd: 2.97989e-13; counts: 16
sfh 0.064623 2.21775e-15 4.8148e-13 2.21775e-15 #avg: 3.44993e-13; avg_err: 1.86012e-13; sd: 7.20422e-13; counts: 16
sfh 0.066873 8.24436e-14 9.03231e-13 8.24436e-14 #avg: 5.42796e-13; avg_err: 2.65852e-13; sd: 1.02964e-12; counts: 16
sfh 0.069123 5.3332e-13 2.07285e-12 5.3332e-13 #avg: 9.71355e-13; avg_err: 3.44265e-13; sd: 1.33333e-12; counts: 16
sfh 0.071373 9.21438e-13 4.08435e-12 9.21438e-13 #avg: 1.97969e-12; avg_err: 6.39571e-13; sd: 2.47705e-12; counts: 16
sfh 0.073623 2.0689e-12 7.52529e-12 2.0689e-12 #avg: 4.63684e-12; avg_err: 1.62694e-12; sd: 6.30113e-12; counts: 16
sfh 0.075873 4.30708e-12 1.57335e-11 4.20741e-12 #avg: 7.3969e-12; avg_err: 2.35466e-12; sd: 9.11956e-12; counts: 16
sfh 0.078123 2.87541e-12 1.82379e-11 2.35686e-12 #avg: 9.83934e-12; avg_err: 3.87147e-12; sd: 1.49941e-11; counts: 16
sfh 0.080373 6.35863e-12 1.15104e-11 5.78972e-12 #avg: 1.46026e-11; avg_err: 6.78687e-12; sd: 2.62854e-11; counts: 16
