#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.501122 (z=0.995522) stellar mass
#obs_sm range: 7.75 - 8.25
#HM    Stats: 7.633820e+10 (median) + 3.419080e+10  / - 2.392640e+10
#SM    Stats: 9.148590e+07 (median) + 5.737410e+07  / - 3.404140e+07
#ObsSM Stats: 9.248850e+07 (median) + 4.885650e+07  / - 2.749210e+07
#VMP   Stats: 8.228000e+01 (median) + 8.059998e+00  / - 7.339996e+00
#ICL   Stats: 6.763260e+05 (median) + 4.011554e+06  / - 6.761454e+05
#SSFR  Stats: 6.538516e-10 (median) + 7.696231e-10  / - 3.556498e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 503639
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 503639
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 503639
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 503639
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 503639
sfh 0.069123 0 0 0 #avg: 4.71539e-15; avg_err: 3.12954e-15; sd: 2.22095e-12; counts: 503639
sfh 0.071373 0 0 0 #avg: 5.72981e-15; avg_err: 2.4728e-15; sd: 1.75488e-12; counts: 503639
sfh 0.073623 0 0 0 #avg: 1.44477e-14; avg_err: 3.32993e-15; sd: 2.36317e-12; counts: 503639
sfh 0.075873 0 0 0 #avg: 3.86915e-14; avg_err: 6.65514e-15; sd: 4.72299e-12; counts: 503639
sfh 0.078123 0 0 0 #avg: 1.12668e-13; avg_err: 1.99751e-14; sd: 1.41758e-11; counts: 503639
sfh 0.080373 0 0 0 #avg: 2.65288e-13; avg_err: 3.05575e-14; sd: 2.16859e-11; counts: 503639
sfh 0.082623 0 0 0 #avg: 4.85149e-13; avg_err: 3.38333e-14; sd: 2.40106e-11; counts: 503639
sfh 0.085998 0 0 0 #avg: 1.19255e-12; avg_err: 5.49105e-14; sd: 3.89686e-11; counts: 503639
