#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.501122 (z=0.995522) stellar mass
#obs_sm range: 7.75 - 8.25
#HM    Stats: 1.068820e+11 (median) + 5.355901e+10  / - 3.486730e+10
#SM    Stats: 1.161610e+08 (median) + 6.541300e+07  / - 4.356010e+07
#ObsSM Stats: 1.119110e+08 (median) + 4.375700e+07  / - 3.921250e+07
#VMP   Stats: 9.269000e+01 (median) + 8.820000e+00  / - 8.430000e+00
#ICL   Stats: 1.983230e+06 (median) + 7.713350e+06  / - 1.883549e+06
#SSFR  Stats: 2.587563e-12 (median) + 3.050294e-12  / - 1.571832e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1969
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1969
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1969
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1969
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1969
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1969
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1969
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1969
sfh 0.075873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 1969
sfh 0.078123 0 0 0 #avg: 5.4801e-14; avg_err: 5.4801e-14; sd: 2.43109e-12; counts: 1969
sfh 0.080373 0 0 0 #avg: 1.05843e-13; avg_err: 5.99746e-14; sd: 2.6606e-12; counts: 1969
sfh 0.082623 0 0 0 #avg: 1.0625e-12; avg_err: 8.23448e-13; sd: 3.65299e-11; counts: 1969
sfh 0.085998 0 0 0 #avg: 2.04846e-12; avg_err: 7.53343e-13; sd: 3.34199e-11; counts: 1969
sfh 0.089373 0 0 0 #avg: 5.6033e-12; avg_err: 1.50816e-12; sd: 6.69054e-11; counts: 1969
sfh 0.092748 0 0 0 #avg: 8.36632e-12; avg_err: 1.82564e-12; sd: 8.09894e-11; counts: 1969
sfh 0.096123 0 0 0 #avg: 1.6179e-11; avg_err: 3.52644e-12; sd: 1.5644e-10; counts: 1969
sfh 0.099498 0 0 0 #avg: 2.19701e-11; avg_err: 3.32861e-12; sd: 1.47664e-10; counts: 1969
sfh 0.102873 0 0 0 #avg: 3.12787e-11; avg_err: 3.43904e-12; sd: 1.52563e-10; counts: 1969
sfh 0.106248 0 1.4042e-11 0 #avg: 4.0881e-11; avg_err: 3.69738e-12; sd: 1.64024e-10; counts: 1969
sfh 0.109623 0 4.09832e-11 0 #avg: 5.36871e-11; avg_err: 4.80743e-12; sd: 2.13268e-10; counts: 1969
sfh 0.112998 0 8.76999e-11 0 #avg: 6.81745e-11; avg_err: 5.12559e-12; sd: 2.27382e-10; counts: 1969
sfh 0.116373 0 1.19694e-10 0 #avg: 8.6591e-11; avg_err: 6.96306e-12; sd: 3.08896e-10; counts: 1969
sfh 0.119748 0 1.51972e-10 0 #avg: 9.34505e-11; avg_err: 6.23333e-12; sd: 2.76524e-10; counts: 1969
sfh 0.123123 2.17028e-13 1.73495e-10 2.17028e-13 #avg: 9.97101e-11; avg_err: 6.05434e-12; sd: 2.68584e-10; counts: 1969
sfh 0.126498 1.16576e-11 1.78379e-10 1.16576e-11 #avg: 1.05321e-10; avg_err: 5.43252e-12; sd: 2.40998e-10; counts: 1969
sfh 0.129873 2.29502e-11 2.03955e-10 2.29502e-11 #avg: 1.24172e-10; avg_err: 7.0414e-12; sd: 3.12372e-10; counts: 1969
sfh 0.133248 3.34394e-11 2.04002e-10 3.34394e-11 #avg: 1.33297e-10; avg_err: 8.04098e-12; sd: 3.56715e-10; counts: 1969
sfh 0.136623 4.51779e-11 2.15726e-10 4.51779e-11 #avg: 1.45546e-10; avg_err: 6.99877e-12; sd: 3.1048e-10; counts: 1969
sfh 0.141685 6.32415e-11 2.43986e-10 6.32415e-11 #avg: 1.70733e-10; avg_err: 6.92054e-12; sd: 3.0701e-10; counts: 1969
sfh 0.146748 8.40101e-11 2.72443e-10 8.2667e-11 #avg: 1.8777e-10; avg_err: 6.64298e-12; sd: 2.94697e-10; counts: 1969
sfh 0.15181 9.18866e-11 2.89897e-10 8.4671e-11 #avg: 2.06801e-10; avg_err: 7.98149e-12; sd: 3.54076e-10; counts: 1969
sfh 0.156873 1.14001e-10 2.87596e-10 1.00575e-10 #avg: 2.2985e-10; avg_err: 9.25617e-12; sd: 4.10624e-10; counts: 1969
sfh 0.161935 1.29041e-10 2.87265e-10 1.06907e-10 #avg: 2.40461e-10; avg_err: 9.01098e-12; sd: 3.99746e-10; counts: 1969
sfh 0.166998 1.39576e-10 2.75513e-10 1.11154e-10 #avg: 2.46434e-10; avg_err: 9.87002e-12; sd: 4.37855e-10; counts: 1969
