#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.501122 (z=0.995522) stellar mass
#obs_sm range: 9.25 - 9.75
#HM    Stats: 2.750000e+11 (median) + 1.275000e+11  / - 9.926500e+10
#SM    Stats: 2.835700e+09 (median) + 1.823000e+09  / - 1.062930e+09
#ObsSM Stats: 2.869980e+09 (median) + 1.544560e+09  / - 8.284300e+08
#VMP   Stats: 1.352800e+02 (median) + 1.200999e+01  / - 1.028000e+01
#ICL   Stats: 1.449880e+07 (median) + 4.877620e+07  / - 1.291743e+07
#SSFR  Stats: 9.609888e-10 (median) + 9.784860e-10  / - 5.135190e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 37007
sfh 0.060123 0 0 0 #avg: 1.42785e-15; avg_err: 8.7862e-16; sd: 1.6902e-13; counts: 37007
sfh 0.062373 0 0 0 #avg: 1.88055e-14; avg_err: 6.78527e-15; sd: 1.30528e-12; counts: 37007
sfh 0.064623 0 0 0 #avg: 6.68948e-14; avg_err: 2.1355e-14; sd: 4.10804e-12; counts: 37007
sfh 0.066873 0 0 0 #avg: 1.8031e-13; avg_err: 3.90512e-14; sd: 7.51226e-12; counts: 37007
sfh 0.069123 0 0 0 #avg: 3.51785e-13; avg_err: 5.80116e-14; sd: 1.11597e-11; counts: 37007
sfh 0.071373 0 0 0 #avg: 5.9205e-13; avg_err: 7.08811e-14; sd: 1.36354e-11; counts: 37007
sfh 0.073623 0 0 0 #avg: 8.83352e-13; avg_err: 7.6737e-14; sd: 1.47618e-11; counts: 37007
sfh 0.075873 0 0 0 #avg: 1.33401e-12; avg_err: 9.23802e-14; sd: 1.77711e-11; counts: 37007
sfh 0.078123 0 0 0 #avg: 2.0379e-12; avg_err: 1.50989e-13; sd: 2.90457e-11; counts: 37007
sfh 0.080373 0 0 0 #avg: 3.03186e-12; avg_err: 2.39129e-13; sd: 4.60011e-11; counts: 37007
sfh 0.082623 0 0 0 #avg: 3.80701e-12; avg_err: 1.70556e-13; sd: 3.28097e-11; counts: 37007
sfh 0.085998 0 6.50134e-13 0 #avg: 6.45412e-12; avg_err: 4.3287e-13; sd: 8.3271e-11; counts: 37007
sfh 0.089373 0 5.47569e-12 0 #avg: 8.44282e-12; avg_err: 2.68716e-13; sd: 5.16928e-11; counts: 37007
sfh 0.092748 0 1.23082e-11 0 #avg: 1.10708e-11; avg_err: 2.49946e-13; sd: 4.8082e-11; counts: 37007
sfh 0.096123 0 2.01048e-11 0 #avg: 1.48111e-11; avg_err: 2.97055e-13; sd: 5.71444e-11; counts: 37007
sfh 0.099498 2.99116e-13 2.82391e-11 2.99116e-13 #avg: 1.91355e-11; avg_err: 4.28641e-13; sd: 8.24574e-11; counts: 37007
