#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.501122 (z=0.995522) stellar mass
#obs_sm range: 9.25 - 9.75
#HM    Stats: 3.436760e+11 (median) + 1.388240e+11  / - 1.057350e+11
#SM    Stats: 2.894410e+09 (median) + 1.834260e+09  / - 1.086610e+09
#ObsSM Stats: 2.919460e+09 (median) + 1.553280e+09  / - 8.652201e+08
#VMP   Stats: 1.339600e+02 (median) + 1.215999e+01  / - 1.041000e+01
#ICL   Stats: 1.681710e+07 (median) + 3.979420e+07  / - 1.301159e+07
#SSFR  Stats: 1.070392e-09 (median) + 1.203565e-09  / - 5.764085e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 126429
sfh 0.060123 0 0 0 #avg: 1.1056e-15; avg_err: 4.61216e-16; sd: 1.63993e-13; counts: 126429
sfh 0.062373 0 0 0 #avg: 8.56527e-15; avg_err: 2.25484e-15; sd: 8.01746e-13; counts: 126429
sfh 0.064623 0 0 0 #avg: 3.06006e-14; avg_err: 6.83131e-15; sd: 2.42899e-12; counts: 126429
sfh 0.066873 0 0 0 #avg: 8.4676e-14; avg_err: 1.32079e-14; sd: 4.69629e-12; counts: 126429
sfh 0.069123 0 0 0 #avg: 1.88841e-13; avg_err: 2.25706e-14; sd: 8.02537e-12; counts: 126429
sfh 0.071373 0 0 0 #avg: 3.51237e-13; avg_err: 2.92719e-14; sd: 1.04081e-11; counts: 126429
sfh 0.073623 0 0 0 #avg: 5.65043e-13; avg_err: 3.6206e-14; sd: 1.28737e-11; counts: 126429
sfh 0.075873 0 0 0 #avg: 8.56459e-13; avg_err: 4.10619e-14; sd: 1.46003e-11; counts: 126429
sfh 0.078123 0 0 0 #avg: 1.26898e-12; avg_err: 5.45863e-14; sd: 1.94091e-11; counts: 126429
sfh 0.080373 0 0 0 #avg: 1.88373e-12; avg_err: 8.02253e-14; sd: 2.85255e-11; counts: 126429
sfh 0.082623 0 0 0 #avg: 2.51528e-12; avg_err: 6.91204e-14; sd: 2.45769e-11; counts: 126429
sfh 0.085998 0 0 0 #avg: 4.24484e-12; avg_err: 1.43118e-13; sd: 5.08879e-11; counts: 126429
sfh 0.089373 0 2.04207e-12 0 #avg: 5.94818e-12; avg_err: 1.07223e-13; sd: 3.81248e-11; counts: 126429
sfh 0.092748 0 7.07557e-12 0 #avg: 8.02651e-12; avg_err: 1.03551e-13; sd: 3.68194e-11; counts: 126429
sfh 0.096123 0 1.33662e-11 0 #avg: 1.08071e-11; avg_err: 1.20066e-13; sd: 4.26916e-11; counts: 126429
sfh 0.099498 0 2.0605e-11 0 #avg: 1.40287e-11; avg_err: 1.57323e-13; sd: 5.59388e-11; counts: 126429
sfh 0.102873 9.25808e-13 2.67209e-11 9.25808e-13 #avg: 1.70559e-11; avg_err: 1.44412e-13; sd: 5.13482e-11; counts: 126429
sfh 0.106248 3.06235e-12 3.15784e-11 3.06235e-12 #avg: 2.0637e-11; avg_err: 1.52487e-13; sd: 5.42193e-11; counts: 126429
sfh 0.109623 5.53578e-12 3.56189e-11 5.53578e-12 #avg: 2.44361e-11; avg_err: 1.7681e-13; sd: 6.28678e-11; counts: 126429
sfh 0.112998 8.00417e-12 3.91113e-11 8.00417e-12 #avg: 2.78378e-11; avg_err: 1.89157e-13; sd: 6.7258e-11; counts: 126429
sfh 0.116373 1.0254e-11 4.19322e-11 1.02511e-11 #avg: 3.10473e-11; avg_err: 1.96181e-13; sd: 6.97555e-11; counts: 126429
sfh 0.119748 1.23893e-11 4.53016e-11 1.18824e-11 #avg: 3.43923e-11; avg_err: 2.11861e-13; sd: 7.53308e-11; counts: 126429
sfh 0.123123 1.44894e-11 4.83737e-11 1.32673e-11 #avg: 3.75607e-11; avg_err: 2.2069e-13; sd: 7.84702e-11; counts: 126429
sfh 0.126498 1.67715e-11 5.11795e-11 1.48108e-11 #avg: 4.08562e-11; avg_err: 2.33373e-13; sd: 8.29799e-11; counts: 126429
sfh 0.129873 1.90332e-11 5.46483e-11 1.62243e-11 #avg: 4.44284e-11; avg_err: 2.47106e-13; sd: 8.78629e-11; counts: 126429
sfh 0.133248 2.12221e-11 5.7472e-11 1.75519e-11 #avg: 4.78949e-11; avg_err: 2.62127e-13; sd: 9.32038e-11; counts: 126429
sfh 0.136623 2.34325e-11 6.12129e-11 1.88195e-11 #avg: 5.14392e-11; avg_err: 2.79687e-13; sd: 9.94476e-11; counts: 126429
sfh 0.141685 2.64579e-11 6.52133e-11 2.06446e-11 #avg: 5.61698e-11; avg_err: 2.90047e-13; sd: 1.03131e-10; counts: 126429
sfh 0.146748 2.94841e-11 7.04609e-11 2.23649e-11 #avg: 6.04822e-11; avg_err: 2.93112e-13; sd: 1.04221e-10; counts: 126429
sfh 0.15181 3.2293e-11 7.42897e-11 2.39321e-11 #avg: 6.46872e-11; avg_err: 3.02199e-13; sd: 1.07452e-10; counts: 126429
sfh 0.156873 3.47061e-11 7.89246e-11 2.52459e-11 #avg: 6.86801e-11; avg_err: 3.16468e-13; sd: 1.12526e-10; counts: 126429
sfh 0.161935 3.71516e-11 8.26631e-11 2.67463e-11 #avg: 7.26275e-11; avg_err: 3.34274e-13; sd: 1.18857e-10; counts: 126429
sfh 0.166998 3.94404e-11 8.69273e-11 2.81299e-11 #avg: 7.58918e-11; avg_err: 3.36422e-13; sd: 1.1962e-10; counts: 126429
sfh 0.17206 4.10231e-11 8.89036e-11 2.90643e-11 #avg: 7.8313e-11; avg_err: 3.38944e-13; sd: 1.20517e-10; counts: 126429
sfh 0.177123 4.27934e-11 9.24711e-11 3.01151e-11 #avg: 8.11258e-11; avg_err: 3.4683e-13; sd: 1.23321e-10; counts: 126429
sfh 0.182185 4.49174e-11 9.50091e-11 3.16134e-11 #avg: 8.34913e-11; avg_err: 3.46823e-13; sd: 1.23319e-10; counts: 126429
sfh 0.187248 4.64696e-11 9.87182e-11 3.26432e-11 #avg: 8.57999e-11; avg_err: 3.5237e-13; sd: 1.25291e-10; counts: 126429
sfh 0.19231 4.8278e-11 1.01942e-10 3.38734e-11 #avg: 8.83481e-11; avg_err: 3.58908e-13; sd: 1.27616e-10; counts: 126429
sfh 0.197373 5.01979e-11 1.05051e-10 3.52316e-11 #avg: 9.09835e-11; avg_err: 3.62059e-13; sd: 1.28736e-10; counts: 126429
sfh 0.202435 5.17908e-11 1.07897e-10 3.62478e-11 #avg: 9.34754e-11; avg_err: 3.64488e-13; sd: 1.296e-10; counts: 126429
sfh 0.207498 5.37275e-11 1.10062e-10 3.74904e-11 #avg: 9.59048e-11; avg_err: 3.70952e-13; sd: 1.31898e-10; counts: 126429
sfh 0.21256 5.57575e-11 1.12407e-10 3.89111e-11 #avg: 9.84259e-11; avg_err: 3.79276e-13; sd: 1.34858e-10; counts: 126429
sfh 0.217623 5.78351e-11 1.14538e-10 4.02383e-11 #avg: 1.00897e-10; avg_err: 3.8381e-13; sd: 1.3647e-10; counts: 126429
sfh 0.222685 5.99448e-11 1.18244e-10 4.16791e-11 #avg: 1.0368e-10; avg_err: 3.88334e-13; sd: 1.38079e-10; counts: 126429
sfh 0.227748 6.24932e-11 1.21602e-10 4.33809e-11 #avg: 1.0654e-10; avg_err: 3.88728e-13; sd: 1.38219e-10; counts: 126429
sfh 0.23281 6.50614e-11 1.24606e-10 4.51519e-11 #avg: 1.09676e-10; avg_err: 3.9543e-13; sd: 1.40602e-10; counts: 126429
sfh 0.237873 6.77329e-11 1.26456e-10 4.69765e-11 #avg: 1.12949e-10; avg_err: 4.04735e-13; sd: 1.43911e-10; counts: 126429
sfh 0.242935 7.02371e-11 1.30023e-10 4.85292e-11 #avg: 1.16569e-10; avg_err: 4.11646e-13; sd: 1.46368e-10; counts: 126429
sfh 0.247998 7.3396e-11 1.32338e-10 5.06819e-11 #avg: 1.20266e-10; avg_err: 4.21724e-13; sd: 1.49951e-10; counts: 126429
sfh 0.25306 7.61954e-11 1.35979e-10 5.2496e-11 #avg: 1.23886e-10; avg_err: 4.30961e-13; sd: 1.53235e-10; counts: 126429
sfh 0.258123 7.96395e-11 1.38992e-10 5.46458e-11 #avg: 1.27357e-10; avg_err: 4.34428e-13; sd: 1.54468e-10; counts: 126429
sfh 0.263185 8.31765e-11 1.41353e-10 5.6998e-11 #avg: 1.31403e-10; avg_err: 4.41541e-13; sd: 1.56998e-10; counts: 126429
sfh 0.268248 8.67665e-11 1.4623e-10 5.91596e-11 #avg: 1.36214e-10; avg_err: 4.50564e-13; sd: 1.60206e-10; counts: 126429
sfh 0.27331 9.06656e-11 1.49746e-10 6.17415e-11 #avg: 1.40714e-10; avg_err: 4.60991e-13; sd: 1.63913e-10; counts: 126429
sfh 0.278373 9.51024e-11 1.53962e-10 6.47423e-11 #avg: 1.45796e-10; avg_err: 4.73978e-13; sd: 1.68531e-10; counts: 126429
