#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.501122 (z=0.995522) stellar mass
#sm range: 9.75 - 10.25
#HM    Stats: 6.180880e+11 (median) + 4.514720e+11  / - 2.233820e+11
#SM    Stats: 1.017270e+10 (median) + 4.770600e+09  / - 3.325720e+09
#ObsSM Stats: 9.957670e+09 (median) + 5.963530e+09  / - 3.775050e+09
#VMP   Stats: 1.772100e+02 (median) + 3.071999e+01  / - 1.673001e+01
#ICL   Stats: 6.377990e+07 (median) + 2.382301e+08  / - 5.287190e+07
#SSFR  Stats: 1.975990e-12 (median) + 3.444798e-12  / - 1.241357e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 9958
sfh 0.060123 0 0 0 #avg: 1.52839e-15; avg_err: 9.36418e-16; sd: 9.34402e-14; counts: 9958
sfh 0.062373 0 0 0 #avg: 1.66502e-14; avg_err: 5.64237e-15; sd: 5.63023e-13; counts: 9958
sfh 0.064623 0 0 0 #avg: 8.00395e-14; avg_err: 2.67656e-14; sd: 2.6708e-12; counts: 9958
sfh 0.066873 0 0 0 #avg: 1.80258e-13; avg_err: 2.73449e-14; sd: 2.7286e-12; counts: 9958
sfh 0.069123 0 0 0 #avg: 4.63996e-13; avg_err: 5.5565e-14; sd: 5.54454e-12; counts: 9958
sfh 0.071373 0 0 0 #avg: 7.64221e-13; avg_err: 7.11173e-14; sd: 7.09642e-12; counts: 9958
sfh 0.073623 0 0 0 #avg: 1.23101e-12; avg_err: 1.02046e-13; sd: 1.01827e-11; counts: 9958
sfh 0.075873 0 0 0 #avg: 1.86749e-12; avg_err: 1.45959e-13; sd: 1.45645e-11; counts: 9958
sfh 0.078123 0 1.4908e-13 0 #avg: 2.72388e-12; avg_err: 1.92865e-13; sd: 1.9245e-11; counts: 9958
sfh 0.080373 0 1.48455e-12 0 #avg: 3.74833e-12; avg_err: 2.14126e-13; sd: 2.13665e-11; counts: 9958
sfh 0.082623 0 3.32789e-12 0 #avg: 4.44173e-12; avg_err: 2.57851e-13; sd: 2.57296e-11; counts: 9958
sfh 0.085998 0 7.42371e-12 0 #avg: 6.8643e-12; avg_err: 4.01431e-13; sd: 4.00567e-11; counts: 9958
sfh 0.089373 1.56268e-14 1.22998e-11 1.56268e-14 #avg: 9.26433e-12; avg_err: 4.09665e-13; sd: 4.08783e-11; counts: 9958
sfh 0.092748 1.02717e-12 1.61818e-11 1.02717e-12 #avg: 1.23659e-11; avg_err: 6.51037e-13; sd: 6.49636e-11; counts: 9958
sfh 0.096123 2.50344e-12 2.09981e-11 2.50344e-12 #avg: 1.508e-11; avg_err: 4.52543e-13; sd: 4.51569e-11; counts: 9958
sfh 0.099498 4.46534e-12 2.44061e-11 4.46534e-12 #avg: 1.83011e-11; avg_err: 5.21769e-13; sd: 5.20646e-11; counts: 9958
sfh 0.102873 6.53687e-12 2.92168e-11 6.5367e-12 #avg: 2.26097e-11; avg_err: 6.45069e-13; sd: 6.43681e-11; counts: 9958
sfh 0.106248 8.68522e-12 3.37576e-11 8.33131e-12 #avg: 2.69177e-11; avg_err: 7.31497e-13; sd: 7.29922e-11; counts: 9958
sfh 0.109623 1.08656e-11 3.88057e-11 9.99848e-12 #avg: 3.04541e-11; avg_err: 6.91047e-13; sd: 6.8956e-11; counts: 9958
sfh 0.112998 1.28569e-11 4.3998e-11 1.1348e-11 #avg: 3.44304e-11; avg_err: 6.9964e-13; sd: 6.98134e-11; counts: 9958
sfh 0.116373 1.48976e-11 4.8078e-11 1.2693e-11 #avg: 3.89152e-11; avg_err: 7.98664e-13; sd: 7.96945e-11; counts: 9958
sfh 0.119748 1.70423e-11 5.3519e-11 1.42653e-11 #avg: 4.45556e-11; avg_err: 9.79647e-13; sd: 9.77538e-11; counts: 9958
sfh 0.123123 1.9249e-11 5.92115e-11 1.58548e-11 #avg: 5.04876e-11; avg_err: 1.15731e-12; sd: 1.15482e-10; counts: 9958
sfh 0.126498 2.12163e-11 6.42921e-11 1.70264e-11 #avg: 5.58349e-11; avg_err: 1.24723e-12; sd: 1.24454e-10; counts: 9958
sfh 0.129873 2.34454e-11 7.25794e-11 1.85695e-11 #avg: 6.02385e-11; avg_err: 1.28844e-12; sd: 1.28566e-10; counts: 9958
sfh 0.133248 2.53743e-11 7.8344e-11 1.96941e-11 #avg: 6.63622e-11; avg_err: 1.53363e-12; sd: 1.53033e-10; counts: 9958
sfh 0.136623 2.82578e-11 8.23274e-11 2.1754e-11 #avg: 7.08198e-11; avg_err: 1.51822e-12; sd: 1.51495e-10; counts: 9958
sfh 0.141685 3.19174e-11 8.89341e-11 2.43927e-11 #avg: 7.72786e-11; avg_err: 1.65774e-12; sd: 1.65417e-10; counts: 9958
sfh 0.146748 3.57311e-11 9.83116e-11 2.70257e-11 #avg: 8.45444e-11; avg_err: 1.63424e-12; sd: 1.63072e-10; counts: 9958
sfh 0.15181 3.86972e-11 1.10601e-10 2.92302e-11 #avg: 9.11665e-11; avg_err: 1.76701e-12; sd: 1.76321e-10; counts: 9958
sfh 0.156873 4.30382e-11 1.18823e-10 3.28092e-11 #avg: 1.0106e-10; avg_err: 2.135e-12; sd: 2.1304e-10; counts: 9958
sfh 0.161935 4.62718e-11 1.30258e-10 3.47166e-11 #avg: 1.07794e-10; avg_err: 2.03296e-12; sd: 2.02859e-10; counts: 9958
sfh 0.166998 4.89091e-11 1.37861e-10 3.63415e-11 #avg: 1.13644e-10; avg_err: 2.03204e-12; sd: 2.02766e-10; counts: 9958
sfh 0.17206 5.35345e-11 1.47918e-10 3.98234e-11 #avg: 1.20978e-10; avg_err: 2.25337e-12; sd: 2.24852e-10; counts: 9958
sfh 0.177123 5.70712e-11 1.59726e-10 4.23968e-11 #avg: 1.31311e-10; avg_err: 2.45691e-12; sd: 2.45162e-10; counts: 9958
sfh 0.182185 6.16091e-11 1.71316e-10 4.59156e-11 #avg: 1.3949e-10; avg_err: 2.44462e-12; sd: 2.43935e-10; counts: 9958
sfh 0.187248 6.52787e-11 1.8132e-10 4.90987e-11 #avg: 1.50441e-10; avg_err: 2.73905e-12; sd: 2.73316e-10; counts: 9958
sfh 0.19231 7.01102e-11 1.91937e-10 5.27389e-11 #avg: 1.63089e-10; avg_err: 2.98977e-12; sd: 2.98333e-10; counts: 9958
sfh 0.197373 7.4149e-11 2.05945e-10 5.56027e-11 #avg: 1.68612e-10; avg_err: 3.01858e-12; sd: 3.01209e-10; counts: 9958
sfh 0.202435 7.89847e-11 2.12671e-10 5.92596e-11 #avg: 1.75201e-10; avg_err: 3.01308e-12; sd: 3.00659e-10; counts: 9958
