#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.501122 (z=0.995522) stellar mass
#sm range: 10.75 - 11.25
#HM    Stats: 5.051470e+12 (median) + 8.670630e+12  / - 2.725000e+12
#SM    Stats: 8.375910e+10 (median) + 4.132989e+10  / - 2.061400e+10
#ObsSM Stats: 8.595110e+10 (median) + 4.993289e+10  / - 2.941710e+10
#VMP   Stats: 3.096000e+02 (median) + 1.176000e+02  / - 6.781001e+01
#ICL   Stats: 1.506330e+09 (median) + 8.215210e+09  / - 1.163155e+09
#SSFR  Stats: 2.470988e-12 (median) + 3.170742e-12  / - 1.491245e-12
sfh 0.055623 0 0 0 #avg: 1.63091e-17; avg_err: 1.3646e-17; sd: 1.60042e-15; counts: 13756
sfh 0.060123 0 0 0 #avg: 8.11407e-15; avg_err: 8.54997e-16; sd: 1.00275e-13; counts: 13756
sfh 0.062373 0 0 0 #avg: 4.99691e-14; avg_err: 3.41236e-15; sd: 4.00207e-13; counts: 13756
sfh 0.064623 0 0 0 #avg: 1.47687e-13; avg_err: 7.53016e-15; sd: 8.8315e-13; counts: 13756
sfh 0.066873 0 0 0 #avg: 3.63633e-13; avg_err: 1.63992e-14; sd: 1.92333e-12; counts: 13756
sfh 0.069123 0 2.64852e-13 0 #avg: 7.26716e-13; avg_err: 2.74696e-14; sd: 3.22169e-12; counts: 13756
sfh 0.071373 0 9.17682e-13 0 #avg: 1.23942e-12; avg_err: 4.07956e-14; sd: 4.78458e-12; counts: 13756
sfh 0.073623 0 1.95249e-12 0 #avg: 1.89107e-12; avg_err: 5.73432e-14; sd: 6.72531e-12; counts: 13756
sfh 0.075873 3.4743e-17 3.25351e-12 3.4743e-17 #avg: 2.5941e-12; avg_err: 7.31383e-14; sd: 8.57778e-12; counts: 13756
sfh 0.078123 1.37663e-13 4.59011e-12 1.37663e-13 #avg: 3.46433e-12; avg_err: 9.68854e-14; sd: 1.13629e-11; counts: 13756
sfh 0.080373 4.33982e-13 5.9206e-12 4.33982e-13 #avg: 4.25216e-12; avg_err: 1.08918e-13; sd: 1.27741e-11; counts: 13756
sfh 0.082623 8.54125e-13 6.71951e-12 8.54125e-13 #avg: 4.90599e-12; avg_err: 1.16167e-13; sd: 1.36243e-11; counts: 13756
sfh 0.085998 1.69357e-12 9.3334e-12 1.69328e-12 #avg: 7.12102e-12; avg_err: 1.64402e-13; sd: 1.92813e-11; counts: 13756
sfh 0.089373 2.7447e-12 1.16998e-11 2.61045e-12 #avg: 9.15429e-12; avg_err: 1.96692e-13; sd: 2.30684e-11; counts: 13756
sfh 0.092748 3.96254e-12 1.43861e-11 3.56248e-12 #avg: 1.17631e-11; avg_err: 2.43407e-13; sd: 2.85472e-11; counts: 13756
sfh 0.096123 5.34266e-12 1.74402e-11 4.5798e-12 #avg: 1.47657e-11; avg_err: 2.90407e-13; sd: 3.40594e-11; counts: 13756
sfh 0.099498 6.89333e-12 2.05155e-11 5.64047e-12 #avg: 1.84022e-11; avg_err: 3.68892e-13; sd: 4.32642e-11; counts: 13756
sfh 0.102873 8.49409e-12 2.47976e-11 6.718e-12 #avg: 2.25856e-11; avg_err: 4.88387e-13; sd: 5.72789e-11; counts: 13756
sfh 0.106248 1.01633e-11 2.97885e-11 7.8284e-12 #avg: 2.64857e-11; avg_err: 5.41872e-13; sd: 6.35517e-11; counts: 13756
sfh 0.109623 1.20773e-11 3.48981e-11 9.11592e-12 #avg: 3.1233e-11; avg_err: 6.20881e-13; sd: 7.28179e-11; counts: 13756
sfh 0.112998 1.40748e-11 3.99895e-11 1.05269e-11 #avg: 3.65126e-11; avg_err: 7.85633e-13; sd: 9.21404e-11; counts: 13756
