#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.501122 (z=0.995522) stellar mass
#sm range: 10.75 - 11.25
#HM    Stats: 4.450000e+12 (median) + 7.779401e+12  / - 2.423530e+12
#SM    Stats: 8.243690e+10 (median) + 4.013410e+10  / - 1.973160e+10
#ObsSM Stats: 8.462710e+10 (median) + 4.928890e+10  / - 2.899350e+10
#VMP   Stats: 3.029800e+02 (median) + 1.141100e+02  / - 6.321001e+01
#ICL   Stats: 1.277470e+09 (median) + 7.324910e+09  / - 1.000071e+09
#SSFR  Stats: 2.302145e-12 (median) + 3.139410e-12  / - 1.420212e-12
sfh 0.055623 0 0 0 #avg: 1.23716e-17; avg_err: 1.03475e-17; sd: 1.39365e-15; counts: 18141
sfh 0.060123 0 0 0 #avg: 7.93608e-15; avg_err: 7.37365e-16; sd: 9.93119e-14; counts: 18141
sfh 0.062373 0 0 0 #avg: 4.91682e-14; avg_err: 3.04227e-15; sd: 4.09748e-13; counts: 18141
sfh 0.064623 0 0 0 #avg: 1.42207e-13; avg_err: 6.4741e-15; sd: 8.71962e-13; counts: 18141
sfh 0.066873 0 0 0 #avg: 3.57535e-13; avg_err: 1.44532e-14; sd: 1.94663e-12; counts: 18141
sfh 0.069123 0 2.36149e-13 0 #avg: 7.20984e-13; avg_err: 2.42924e-14; sd: 3.27182e-12; counts: 18141
sfh 0.071373 0 8.62841e-13 0 #avg: 1.22512e-12; avg_err: 3.62294e-14; sd: 4.87954e-12; counts: 18141
sfh 0.073623 0 1.85576e-12 0 #avg: 1.85825e-12; avg_err: 5.11446e-14; sd: 6.8884e-12; counts: 18141
sfh 0.075873 4.62752e-22 3.1496e-12 4.62752e-22 #avg: 2.5459e-12; avg_err: 6.37077e-14; sd: 8.58046e-12; counts: 18141
sfh 0.078123 1.18549e-13 4.49472e-12 1.18549e-13 #avg: 3.40374e-12; avg_err: 8.4806e-14; sd: 1.14221e-11; counts: 18141
sfh 0.080373 3.97352e-13 5.82867e-12 3.97352e-13 #avg: 4.19984e-12; avg_err: 9.76373e-14; sd: 1.31503e-11; counts: 18141
sfh 0.082623 8.02905e-13 6.5842e-12 8.02905e-13 #avg: 4.8448e-12; avg_err: 1.04335e-13; sd: 1.40523e-11; counts: 18141
sfh 0.085998 1.60985e-12 9.11359e-12 1.60985e-12 #avg: 6.97671e-12; avg_err: 1.4105e-13; sd: 1.89973e-11; counts: 18141
sfh 0.089373 2.62045e-12 1.14418e-11 2.5171e-12 #avg: 8.91876e-12; avg_err: 1.65222e-13; sd: 2.22528e-11; counts: 18141
sfh 0.092748 3.76065e-12 1.40562e-11 3.41581e-12 #avg: 1.14188e-11; avg_err: 2.04588e-13; sd: 2.75549e-11; counts: 18141
sfh 0.096123 5.10561e-12 1.70062e-11 4.43208e-12 #avg: 1.43639e-11; avg_err: 2.47754e-13; sd: 3.33687e-11; counts: 18141
sfh 0.099498 6.57803e-12 2.03029e-11 5.46837e-12 #avg: 1.78667e-11; avg_err: 3.174e-13; sd: 4.2749e-11; counts: 18141
sfh 0.102873 8.05556e-12 2.47268e-11 6.45069e-12 #avg: 2.17489e-11; avg_err: 3.99838e-13; sd: 5.38521e-11; counts: 18141
sfh 0.106248 9.70345e-12 2.91574e-11 7.56305e-12 #avg: 2.57541e-11; avg_err: 4.70551e-13; sd: 6.3376e-11; counts: 18141
sfh 0.109623 1.14479e-11 3.39379e-11 8.72212e-12 #avg: 3.06753e-11; avg_err: 6.99356e-13; sd: 9.41927e-11; counts: 18141
sfh 0.112998 1.34272e-11 3.93248e-11 1.01668e-11 #avg: 3.52464e-11; avg_err: 6.54351e-13; sd: 8.81311e-11; counts: 18141
sfh 0.116373 1.54915e-11 4.46516e-11 1.1705e-11 #avg: 3.99428e-11; avg_err: 6.89292e-13; sd: 9.28372e-11; counts: 18141
sfh 0.119748 1.7456e-11 5.01623e-11 1.31334e-11 #avg: 4.55993e-11; avg_err: 7.99552e-13; sd: 1.07687e-10; counts: 18141
sfh 0.123123 1.94791e-11 5.6978e-11 1.45006e-11 #avg: 5.14634e-11; avg_err: 9.23682e-13; sd: 1.24406e-10; counts: 18141
sfh 0.126498 2.17912e-11 6.41481e-11 1.6248e-11 #avg: 5.71264e-11; avg_err: 9.77707e-13; sd: 1.31682e-10; counts: 18141
sfh 0.129873 2.38421e-11 7.20981e-11 1.7661e-11 #avg: 6.31878e-11; avg_err: 1.07572e-12; sd: 1.44883e-10; counts: 18141
sfh 0.133248 2.6239e-11 7.92981e-11 1.94787e-11 #avg: 6.92226e-11; avg_err: 1.1366e-12; sd: 1.53083e-10; counts: 18141
sfh 0.136623 2.88825e-11 8.72181e-11 2.13445e-11 #avg: 7.61227e-11; avg_err: 1.22635e-12; sd: 1.6517e-10; counts: 18141
sfh 0.141685 3.28536e-11 9.78024e-11 2.44834e-11 #avg: 8.77175e-11; avg_err: 1.45897e-12; sd: 1.96501e-10; counts: 18141
sfh 0.146748 3.69967e-11 1.14428e-10 2.75727e-11 #avg: 1.00259e-10; avg_err: 1.65281e-12; sd: 2.22608e-10; counts: 18141
sfh 0.15181 4.11703e-11 1.29915e-10 3.07284e-11 #avg: 1.1285e-10; avg_err: 1.82123e-12; sd: 2.45292e-10; counts: 18141
sfh 0.156873 4.64473e-11 1.44899e-10 3.5088e-11 #avg: 1.25609e-10; avg_err: 1.97009e-12; sd: 2.65342e-10; counts: 18141
sfh 0.161935 5.05011e-11 1.63518e-10 3.80873e-11 #avg: 1.39097e-10; avg_err: 2.14285e-12; sd: 2.88609e-10; counts: 18141
sfh 0.166998 5.57712e-11 1.86956e-10 4.21436e-11 #avg: 1.53684e-10; avg_err: 2.28105e-12; sd: 3.07222e-10; counts: 18141
sfh 0.17206 6.10987e-11 2.094e-10 4.61641e-11 #avg: 1.69329e-10; avg_err: 2.47881e-12; sd: 3.33858e-10; counts: 18141
sfh 0.177123 6.67155e-11 2.36307e-10 5.05945e-11 #avg: 1.85704e-10; avg_err: 2.6498e-12; sd: 3.56888e-10; counts: 18141
sfh 0.182185 7.33856e-11 2.64578e-10 5.61156e-11 #avg: 2.02286e-10; avg_err: 2.82228e-12; sd: 3.80119e-10; counts: 18141
sfh 0.187248 7.92226e-11 2.90687e-10 6.08347e-11 #avg: 2.18236e-10; avg_err: 2.99502e-12; sd: 4.03383e-10; counts: 18141
