#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.501122 (z=0.995522) stellar mass
#sm range: 10.75 - 11.25
#HM    Stats: 2.025000e+12 (median) + 2.041180e+12  / - 7.891200e+11
#SM    Stats: 7.601850e+10 (median) + 3.218350e+10  / - 1.503140e+10
#ObsSM Stats: 7.767060e+10 (median) + 4.316941e+10  / - 2.539610e+10
#VMP   Stats: 2.325000e+02 (median) + 5.704999e+01  / - 3.152000e+01
#ICL   Stats: 3.442130e+08 (median) + 1.167577e+09  / - 2.460562e+08
#SSFR  Stats: 3.344851e-10 (median) + 4.315074e-10  / - 2.013185e-10
sfh 0.055623 0 0 0 #avg: 7.73303e-19; avg_err: 7.66412e-19; sd: 9.45455e-17; counts: 15219
sfh 0.060123 0 0 0 #avg: 1.7054e-15; avg_err: 3.43107e-16; sd: 4.23262e-14; counts: 15219
sfh 0.062373 0 0 0 #avg: 1.12856e-14; avg_err: 1.95747e-15; sd: 2.41476e-13; counts: 15219
sfh 0.064623 0 0 0 #avg: 4.20365e-14; avg_err: 4.43335e-15; sd: 5.46903e-13; counts: 15219
sfh 0.066873 0 0 0 #avg: 1.06994e-13; avg_err: 8.45575e-15; sd: 1.04311e-12; counts: 15219
sfh 0.069123 0 0 0 #avg: 2.3839e-13; avg_err: 1.89707e-14; sd: 2.34024e-12; counts: 15219
sfh 0.071373 0 0 0 #avg: 3.91632e-13; avg_err: 2.32583e-14; sd: 2.86917e-12; counts: 15219
sfh 0.073623 0 7.08965e-14 0 #avg: 5.54827e-13; avg_err: 2.56992e-14; sd: 3.17028e-12; counts: 15219
sfh 0.075873 0 3.78264e-13 0 #avg: 8.45295e-13; avg_err: 4.01211e-14; sd: 4.94939e-12; counts: 15219
sfh 0.078123 0 8.3285e-13 0 #avg: 1.12593e-12; avg_err: 5.03249e-14; sd: 6.20814e-12; counts: 15219
sfh 0.080373 0 1.45977e-12 0 #avg: 1.40515e-12; avg_err: 4.64718e-14; sd: 5.73282e-12; counts: 15219
sfh 0.082623 4.04432e-16 2.20347e-12 4.04432e-16 #avg: 1.65213e-12; avg_err: 4.88823e-14; sd: 6.03018e-12; counts: 15219
sfh 0.085998 1.88775e-13 3.3428e-12 1.88775e-13 #avg: 2.38538e-12; avg_err: 6.0619e-14; sd: 7.47804e-12; counts: 15219
sfh 0.089373 5.31189e-13 4.33848e-12 5.31189e-13 #avg: 3.13674e-12; avg_err: 7.56945e-14; sd: 9.33776e-12; counts: 15219
sfh 0.092748 1.01309e-12 5.40848e-12 1.01309e-12 #avg: 4.006e-12; avg_err: 9.06249e-14; sd: 1.11796e-11; counts: 15219
sfh 0.096123 1.58268e-12 6.50234e-12 1.53636e-12 #avg: 5.18294e-12; avg_err: 1.21487e-13; sd: 1.49867e-11; counts: 15219
sfh 0.099498 2.21545e-12 7.55947e-12 2.02649e-12 #avg: 6.31767e-12; avg_err: 1.40464e-13; sd: 1.73278e-11; counts: 15219
sfh 0.102873 2.84961e-12 9.01612e-12 2.46456e-12 #avg: 7.69278e-12; avg_err: 1.62306e-13; sd: 2.00222e-11; counts: 15219
sfh 0.106248 3.48276e-12 1.04523e-11 2.87893e-12 #avg: 9.05906e-12; avg_err: 1.8612e-13; sd: 2.296e-11; counts: 15219
sfh 0.109623 4.23997e-12 1.1992e-11 3.3982e-12 #avg: 1.08049e-11; avg_err: 2.49598e-13; sd: 3.07907e-11; counts: 15219
sfh 0.112998 4.99096e-12 1.36532e-11 3.90366e-12 #avg: 1.24456e-11; avg_err: 2.473e-13; sd: 3.05073e-11; counts: 15219
sfh 0.116373 5.7006e-12 1.55571e-11 4.38794e-12 #avg: 1.42319e-11; avg_err: 2.79999e-13; sd: 3.4541e-11; counts: 15219
sfh 0.119748 6.40501e-12 1.72703e-11 4.87417e-12 #avg: 1.58596e-11; avg_err: 3.23516e-13; sd: 3.99094e-11; counts: 15219
sfh 0.123123 7.18034e-12 1.91801e-11 5.4204e-12 #avg: 1.77948e-11; avg_err: 4.6877e-13; sd: 5.78281e-11; counts: 15219
sfh 0.126498 8.03633e-12 2.07622e-11 6.00291e-12 #avg: 1.95754e-11; avg_err: 5.13047e-13; sd: 6.32901e-11; counts: 15219
sfh 0.129873 8.82453e-12 2.2811e-11 6.51951e-12 #avg: 2.09455e-11; avg_err: 4.16692e-13; sd: 5.14036e-11; counts: 15219
sfh 0.133248 9.70775e-12 2.44624e-11 7.12648e-12 #avg: 2.30255e-11; avg_err: 4.57962e-13; sd: 5.64948e-11; counts: 15219
sfh 0.136623 1.05465e-11 2.721e-11 7.641e-12 #avg: 2.5296e-11; avg_err: 5.66091e-13; sd: 6.98338e-11; counts: 15219
sfh 0.141685 1.16889e-11 3.05003e-11 8.4563e-12 #avg: 2.82947e-11; avg_err: 6.25347e-13; sd: 7.71436e-11; counts: 15219
sfh 0.146748 1.29859e-11 3.34232e-11 9.3358e-12 #avg: 3.14466e-11; avg_err: 6.20996e-13; sd: 7.66069e-11; counts: 15219
sfh 0.15181 1.41548e-11 3.70742e-11 1.00797e-11 #avg: 3.44468e-11; avg_err: 6.61686e-13; sd: 8.16264e-11; counts: 15219
sfh 0.156873 1.54681e-11 4.09045e-11 1.10915e-11 #avg: 3.89482e-11; avg_err: 7.95718e-13; sd: 9.81608e-11; counts: 15219
sfh 0.161935 1.67119e-11 4.58258e-11 1.19951e-11 #avg: 4.25595e-11; avg_err: 8.53978e-13; sd: 1.05348e-10; counts: 15219
