#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.501122 (z=0.995522) stellar mass
#sm range: 8.25 - 8.75
#HM    Stats: 1.355880e+11 (median) + 5.132399e+10  / - 3.645560e+10
#SM    Stats: 2.922070e+08 (median) + 1.542900e+08  / - 8.649600e+07
#ObsSM Stats: 2.910880e+08 (median) + 1.817550e+08  / - 1.077800e+08
#VMP   Stats: 9.777000e+01 (median) + 8.250000e+00  / - 7.219994e+00
#ICL   Stats: 2.940880e+06 (median) + 8.579520e+06  / - 2.630839e+06
#SSFR  Stats: 7.694831e-10 (median) + 8.740934e-10  / - 4.105787e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 289836
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 289836
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 289836
sfh 0.064623 0 0 0 #avg: 6.31818e-16; avg_err: 4.92748e-16; sd: 2.65277e-13; counts: 289836
sfh 0.066873 0 0 0 #avg: 2.88451e-15; avg_err: 2.25779e-15; sd: 1.21551e-12; counts: 289836
sfh 0.069123 0 0 0 #avg: 1.60584e-14; avg_err: 8.99719e-15; sd: 4.84376e-12; counts: 289836
sfh 0.071373 0 0 0 #avg: 4.51166e-14; avg_err: 1.58104e-14; sd: 8.51176e-12; counts: 289836
sfh 0.073623 0 0 0 #avg: 1.23619e-13; avg_err: 3.28734e-14; sd: 1.76978e-11; counts: 289836
sfh 0.075873 0 0 0 #avg: 2.56744e-13; avg_err: 3.44872e-14; sd: 1.85666e-11; counts: 289836
sfh 0.078123 0 0 0 #avg: 4.5071e-13; avg_err: 3.39849e-14; sd: 1.82962e-11; counts: 289836
sfh 0.080373 0 0 0 #avg: 8.60592e-13; avg_err: 4.60878e-14; sd: 2.4812e-11; counts: 289836
sfh 0.082623 0 0 0 #avg: 1.49067e-12; avg_err: 6.10421e-14; sd: 3.28628e-11; counts: 289836
sfh 0.085998 0 0 0 #avg: 2.94449e-12; avg_err: 8.55003e-14; sd: 4.60302e-11; counts: 289836
sfh 0.089373 0 0 0 #avg: 5.36289e-12; avg_err: 1.16669e-13; sd: 6.28102e-11; counts: 289836
sfh 0.092748 0 0 0 #avg: 9.08485e-12; avg_err: 1.42338e-13; sd: 7.66293e-11; counts: 289836
sfh 0.096123 0 0 0 #avg: 1.39698e-11; avg_err: 1.718e-13; sd: 9.24905e-11; counts: 289836
sfh 0.099498 0 0 0 #avg: 2.01604e-11; avg_err: 2.01577e-13; sd: 1.08522e-10; counts: 289836
sfh 0.102873 0 1.68868e-11 0 #avg: 2.77265e-11; avg_err: 2.32827e-13; sd: 1.25346e-10; counts: 289836
sfh 0.106248 0 4.05213e-11 0 #avg: 3.62806e-11; avg_err: 2.70757e-13; sd: 1.45766e-10; counts: 289836
sfh 0.109623 0 6.51007e-11 0 #avg: 4.50855e-11; avg_err: 2.82188e-13; sd: 1.5192e-10; counts: 289836
sfh 0.112998 0 8.7743e-11 0 #avg: 5.3897e-11; avg_err: 3.0739e-13; sd: 1.65488e-10; counts: 289836
sfh 0.116373 1.02056e-12 1.0382e-10 1.02056e-12 #avg: 6.09395e-11; avg_err: 3.09395e-13; sd: 1.66567e-10; counts: 289836
sfh 0.119748 7.5884e-12 1.11712e-10 7.5884e-12 #avg: 6.79698e-11; avg_err: 3.17578e-13; sd: 1.70972e-10; counts: 289836
sfh 0.123123 1.46355e-11 1.18703e-10 1.46355e-11 #avg: 7.5343e-11; avg_err: 3.34261e-13; sd: 1.79954e-10; counts: 289836
sfh 0.126498 2.12942e-11 1.2689e-10 2.12942e-11 #avg: 8.29804e-11; avg_err: 3.45227e-13; sd: 1.85858e-10; counts: 289836
sfh 0.129873 2.81586e-11 1.34733e-10 2.81586e-11 #avg: 9.11223e-11; avg_err: 3.6509e-13; sd: 1.96551e-10; counts: 289836
sfh 0.133248 3.52883e-11 1.41662e-10 3.52883e-11 #avg: 9.91067e-11; avg_err: 3.69584e-13; sd: 1.98971e-10; counts: 289836
sfh 0.136623 4.2347e-11 1.48488e-10 4.21408e-11 #avg: 1.07506e-10; avg_err: 3.87114e-13; sd: 2.08408e-10; counts: 289836
sfh 0.141685 5.19135e-11 1.55866e-10 4.88669e-11 #avg: 1.18432e-10; avg_err: 4.01191e-13; sd: 2.15986e-10; counts: 289836
sfh 0.146748 6.09728e-11 1.62195e-10 5.42487e-11 #avg: 1.27782e-10; avg_err: 4.07305e-13; sd: 2.19278e-10; counts: 289836
sfh 0.15181 6.88997e-11 1.66303e-10 5.81704e-11 #avg: 1.35836e-10; avg_err: 4.1216e-13; sd: 2.21892e-10; counts: 289836
sfh 0.156873 7.56311e-11 1.68897e-10 6.0931e-11 #avg: 1.41981e-10; avg_err: 4.10171e-13; sd: 2.20821e-10; counts: 289836
sfh 0.161935 8.06543e-11 1.70108e-10 6.21654e-11 #avg: 1.46682e-10; avg_err: 4.08e-13; sd: 2.19652e-10; counts: 289836
sfh 0.166998 8.59067e-11 1.70344e-10 6.39896e-11 #avg: 1.5067e-10; avg_err: 4.06878e-13; sd: 2.19048e-10; counts: 289836
sfh 0.17206 8.83797e-11 1.69794e-10 6.3816e-11 #avg: 1.52447e-10; avg_err: 3.9867e-13; sd: 2.14629e-10; counts: 289836
sfh 0.177123 9.06144e-11 1.70144e-10 6.41118e-11 #avg: 1.54237e-10; avg_err: 3.91998e-13; sd: 2.11037e-10; counts: 289836
sfh 0.182185 9.28009e-11 1.71551e-10 6.4765e-11 #avg: 1.56173e-10; avg_err: 3.90027e-13; sd: 2.09976e-10; counts: 289836
sfh 0.187248 9.4163e-11 1.7043e-10 6.49991e-11 #avg: 1.56236e-10; avg_err: 3.795e-13; sd: 2.04309e-10; counts: 289836
sfh 0.19231 9.56722e-11 1.70301e-10 6.52165e-11 #avg: 1.57011e-10; avg_err: 3.73355e-13; sd: 2.01001e-10; counts: 289836
sfh 0.197373 9.69699e-11 1.69279e-10 6.53504e-11 #avg: 1.57992e-10; avg_err: 3.71738e-13; sd: 2.0013e-10; counts: 289836
sfh 0.202435 9.84803e-11 1.68332e-10 6.56874e-11 #avg: 1.5825e-10; avg_err: 3.6621e-13; sd: 1.97154e-10; counts: 289836
sfh 0.207498 9.96745e-11 1.68604e-10 6.57864e-11 #avg: 1.58804e-10; avg_err: 3.60641e-13; sd: 1.94156e-10; counts: 289836
sfh 0.21256 1.01476e-10 1.6793e-10 6.66553e-11 #avg: 1.6019e-10; avg_err: 3.60738e-13; sd: 1.94208e-10; counts: 289836
sfh 0.217623 1.02975e-10 1.67395e-10 6.71012e-11 #avg: 1.60799e-10; avg_err: 3.54177e-13; sd: 1.90676e-10; counts: 289836
sfh 0.222685 1.04553e-10 1.67409e-10 6.79227e-11 #avg: 1.619e-10; avg_err: 3.53478e-13; sd: 1.90299e-10; counts: 289836
sfh 0.227748 1.05877e-10 1.67199e-10 6.83194e-11 #avg: 1.62907e-10; avg_err: 3.52198e-13; sd: 1.89611e-10; counts: 289836
sfh 0.23281 1.07465e-10 1.68642e-10 6.91331e-11 #avg: 1.64816e-10; avg_err: 3.54228e-13; sd: 1.90704e-10; counts: 289836
sfh 0.237873 1.08905e-10 1.69865e-10 6.94913e-11 #avg: 1.66206e-10; avg_err: 3.53073e-13; sd: 1.90081e-10; counts: 289836
sfh 0.242935 1.10226e-10 1.69331e-10 7.00424e-11 #avg: 1.67113e-10; avg_err: 3.52878e-13; sd: 1.89977e-10; counts: 289836
sfh 0.247998 1.12727e-10 1.71808e-10 7.11445e-11 #avg: 1.69927e-10; avg_err: 3.54541e-13; sd: 1.90872e-10; counts: 289836
sfh 0.25306 1.14388e-10 1.72363e-10 7.18776e-11 #avg: 1.71083e-10; avg_err: 3.51576e-13; sd: 1.89276e-10; counts: 289836
sfh 0.258123 1.17065e-10 1.73995e-10 7.32542e-11 #avg: 1.74292e-10; avg_err: 3.54514e-13; sd: 1.90857e-10; counts: 289836
sfh 0.263185 1.19463e-10 1.73713e-10 7.43129e-11 #avg: 1.76043e-10; avg_err: 3.54528e-13; sd: 1.90865e-10; counts: 289836
sfh 0.268248 1.21513e-10 1.7561e-10 7.52957e-11 #avg: 1.7841e-10; avg_err: 3.572e-13; sd: 1.92303e-10; counts: 289836
sfh 0.27331 1.24528e-10 1.76978e-10 7.6842e-11 #avg: 1.81601e-10; avg_err: 3.58878e-13; sd: 1.93206e-10; counts: 289836
sfh 0.278373 1.26985e-10 1.81059e-10 7.78763e-11 #avg: 1.85155e-10; avg_err: 3.62849e-13; sd: 1.95345e-10; counts: 289836
sfh 0.283435 1.31477e-10 1.8505e-10 8.03484e-11 #avg: 1.90593e-10; avg_err: 3.68772e-13; sd: 1.98534e-10; counts: 289836
sfh 0.288498 1.352e-10 1.88708e-10 8.21261e-11 #avg: 1.95204e-10; avg_err: 3.76247e-13; sd: 2.02558e-10; counts: 289836
sfh 0.29356 1.39088e-10 1.92168e-10 8.43528e-11 #avg: 1.99688e-10; avg_err: 3.81429e-13; sd: 2.05348e-10; counts: 289836
sfh 0.298623 1.43247e-10 1.95288e-10 8.63213e-11 #avg: 2.04164e-10; avg_err: 3.85758e-13; sd: 2.07678e-10; counts: 289836
sfh 0.303685 1.47621e-10 1.97678e-10 8.86097e-11 #avg: 2.09113e-10; avg_err: 3.90667e-13; sd: 2.10321e-10; counts: 289836
sfh 0.308748 1.51937e-10 2.02197e-10 9.08115e-11 #avg: 2.14196e-10; avg_err: 3.95947e-13; sd: 2.13163e-10; counts: 289836
