#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.501122 (z=0.995522) stellar mass
#vmpeak range: 2.78333 - 2.95
#HM    Stats: 4.585290e+13 (median) + 1.751470e+13  / - 1.538230e+13
#SM    Stats: 9.355280e+10 (median) + 9.721820e+10  / - 4.993880e+10
#ObsSM Stats: 8.190870e+10 (median) + 1.060123e+11  / - 4.524050e+10
#VMP   Stats: 6.584800e+02 (median) + 9.369000e+01  / - 4.014996e+01
#ICL   Stats: 1.317230e+10 (median) + 4.554360e+10  / - 1.187213e+10
#SSFR  Stats: 1.568471e-12 (median) + 2.945830e-12  / - 1.018186e-12
sfh 0.055623 0 0 0 #avg: 2.05673e-20; avg_err: 2.05673e-20; sd: 1.83959e-19; counts: 81
sfh 0.060123 0 0 0 #avg: 3.80445e-14; avg_err: 2.68728e-14; sd: 2.40358e-13; counts: 81
sfh 0.062373 0 1.50425e-14 0 #avg: 2.8306e-13; avg_err: 1.48912e-13; sd: 1.33191e-12; counts: 81
sfh 0.064623 0 5.0254e-13 0 #avg: 4.48199e-13; avg_err: 1.47953e-13; sd: 1.32333e-12; counts: 81
sfh 0.066873 0 2.53782e-12 0 #avg: 1.1276e-12; avg_err: 3.37521e-13; sd: 3.01888e-12; counts: 81
sfh 0.069123 1.43543e-13 5.49626e-12 1.43543e-13 #avg: 2.66286e-12; avg_err: 6.21227e-13; sd: 5.55642e-12; counts: 81
sfh 0.071373 5.8359e-13 1.18197e-11 5.8359e-13 #avg: 5.11514e-12; avg_err: 1.12928e-12; sd: 1.01006e-11; counts: 81
sfh 0.073623 1.66332e-12 1.20637e-11 1.66332e-12 #avg: 7.11725e-12; avg_err: 1.57225e-12; sd: 1.40626e-11; counts: 81
sfh 0.075873 2.35057e-12 1.489e-11 2.35057e-12 #avg: 1.06402e-11; avg_err: 2.17607e-12; sd: 1.94633e-11; counts: 81
sfh 0.078123 3.89948e-12 1.77172e-11 3.74108e-12 #avg: 1.37097e-11; avg_err: 2.7263e-12; sd: 2.43848e-11; counts: 81
sfh 0.080373 5.86691e-12 1.9549e-11 5.44809e-12 #avg: 1.81861e-11; avg_err: 3.92139e-12; sd: 3.5074e-11; counts: 81
sfh 0.082623 6.85676e-12 2.52843e-11 6.11488e-12 #avg: 1.8568e-11; avg_err: 3.62675e-12; sd: 3.24386e-11; counts: 81
sfh 0.085998 1.10491e-11 2.54651e-11 9.52478e-12 #avg: 2.48172e-11; avg_err: 5.05247e-12; sd: 4.51907e-11; counts: 81
sfh 0.089373 1.18569e-11 3.81452e-11 9.05662e-12 #avg: 3.07059e-11; avg_err: 6.5801e-12; sd: 5.88542e-11; counts: 81
sfh 0.092748 1.60655e-11 5.07586e-11 1.13387e-11 #avg: 3.84671e-11; avg_err: 7.14762e-12; sd: 6.39303e-11; counts: 81
sfh 0.096123 2.05752e-11 6.24871e-11 1.46468e-11 #avg: 4.61152e-11; avg_err: 8.13785e-12; sd: 7.27871e-11; counts: 81
sfh 0.099498 2.55899e-11 8.11964e-11 1.76421e-11 #avg: 6.04332e-11; avg_err: 1.28456e-11; sd: 1.14894e-10; counts: 81
sfh 0.102873 2.99724e-11 1.1969e-10 2.11991e-11 #avg: 7.47208e-11; avg_err: 1.2688e-11; sd: 1.13485e-10; counts: 81
sfh 0.106248 4.11022e-11 1.40752e-10 2.9489e-11 #avg: 1.21149e-10; avg_err: 3.13826e-11; sd: 2.80694e-10; counts: 81
sfh 0.109623 4.66879e-11 1.4796e-10 2.94565e-11 #avg: 2.05739e-10; avg_err: 1.02503e-10; sd: 9.16811e-10; counts: 81
sfh 0.112998 5.84638e-11 1.75353e-10 4.11838e-11 #avg: 1.43588e-10; avg_err: 2.57835e-11; sd: 2.30615e-10; counts: 81
sfh 0.116373 7.15758e-11 1.58876e-10 5.28692e-11 #avg: 1.53032e-10; avg_err: 2.54384e-11; sd: 2.27528e-10; counts: 81
sfh 0.119748 7.49853e-11 2.07662e-10 5.75783e-11 #avg: 1.81579e-10; avg_err: 2.7246e-11; sd: 2.43696e-10; counts: 81
sfh 0.123123 9.25925e-11 2.72898e-10 6.81314e-11 #avg: 2.22805e-10; avg_err: 4.1517e-11; sd: 3.7134e-10; counts: 81
sfh 0.126498 1.09747e-10 2.45685e-10 8.19694e-11 #avg: 2.09227e-10; avg_err: 3.31342e-11; sd: 2.96361e-10; counts: 81
sfh 0.129873 1.42216e-10 2.70206e-10 1.10983e-10 #avg: 2.23479e-10; avg_err: 3.13145e-11; sd: 2.80086e-10; counts: 81
sfh 0.133248 1.19303e-10 3.41171e-10 8.29078e-11 #avg: 2.61673e-10; avg_err: 3.78739e-11; sd: 3.38755e-10; counts: 81
sfh 0.136623 1.3828e-10 4.49413e-10 1.02099e-10 #avg: 2.92562e-10; avg_err: 4.3624e-11; sd: 3.90185e-10; counts: 81
sfh 0.141685 1.68286e-10 3.76421e-10 1.25815e-10 #avg: 3.65218e-10; avg_err: 6.88518e-11; sd: 6.1583e-10; counts: 81
sfh 0.146748 1.75968e-10 5.71031e-10 1.22315e-10 #avg: 4.74988e-10; avg_err: 9.23628e-11; sd: 8.26118e-10; counts: 81
sfh 0.15181 2.25164e-10 6.11093e-10 1.64318e-10 #avg: 5.16642e-10; avg_err: 8.76997e-11; sd: 7.8441e-10; counts: 81
sfh 0.156873 2.12688e-10 7.95361e-10 1.25601e-10 #avg: 4.93421e-10; avg_err: 7.09629e-11; sd: 6.34711e-10; counts: 81
sfh 0.161935 2.42087e-10 8.61605e-10 1.35547e-10 #avg: 5.73307e-10; avg_err: 9.06289e-11; sd: 8.1061e-10; counts: 81
sfh 0.166998 3.42532e-10 8.00679e-10 2.46511e-10 #avg: 6.7443e-10; avg_err: 9.69429e-11; sd: 8.67083e-10; counts: 81
sfh 0.17206 4.89092e-10 7.81295e-10 3.61631e-10 #avg: 7.26582e-10; avg_err: 9.57485e-11; sd: 8.56401e-10; counts: 81
sfh 0.177123 4.61456e-10 8.45221e-10 3.21655e-10 #avg: 7.0325e-10; avg_err: 8.62765e-11; sd: 7.71681e-10; counts: 81
sfh 0.182185 4.16345e-10 8.77437e-10 2.83753e-10 #avg: 7.28561e-10; avg_err: 9.37698e-11; sd: 8.38703e-10; counts: 81
sfh 0.187248 5.32816e-10 8.7895e-10 3.83433e-10 #avg: 8.09153e-10; avg_err: 1.13833e-10; sd: 1.01816e-09; counts: 81
sfh 0.19231 5.1478e-10 1.03427e-09 3.70562e-10 #avg: 8.33412e-10; avg_err: 1.00086e-10; sd: 8.95197e-10; counts: 81
sfh 0.197373 5.51497e-10 1.11313e-09 3.39941e-10 #avg: 9.75675e-10; avg_err: 1.14674e-10; sd: 1.02567e-09; counts: 81
sfh 0.202435 6.43292e-10 9.25904e-10 4.51769e-10 #avg: 9.57882e-10; avg_err: 1.1214e-10; sd: 1.00301e-09; counts: 81
sfh 0.207498 6.3777e-10 1.44808e-09 4.72313e-10 #avg: 9.60347e-10; avg_err: 1.02708e-10; sd: 9.1865e-10; counts: 81
sfh 0.21256 5.84527e-10 1.20831e-09 3.93193e-10 #avg: 9.7621e-10; avg_err: 1.198e-10; sd: 1.07152e-09; counts: 81
sfh 0.217623 5.31281e-10 1.55722e-09 3.89016e-10 #avg: 1.01389e-09; avg_err: 1.29194e-10; sd: 1.15554e-09; counts: 81
sfh 0.222685 5.545e-10 1.46611e-09 4.41851e-10 #avg: 9.25454e-10; avg_err: 1.0694e-10; sd: 9.56505e-10; counts: 81
sfh 0.227748 5.24945e-10 1.32345e-09 4.0702e-10 #avg: 9.54511e-10; avg_err: 1.18587e-10; sd: 1.06067e-09; counts: 81
sfh 0.23281 7.82572e-10 9.97998e-10 6.87708e-10 #avg: 9.61956e-10; avg_err: 1.15376e-10; sd: 1.03196e-09; counts: 81
sfh 0.237873 6.2642e-10 1.21259e-09 5.47188e-10 #avg: 9.36631e-10; avg_err: 1.18485e-10; sd: 1.05976e-09; counts: 81
sfh 0.242935 4.74897e-10 9.539e-10 4.03562e-10 #avg: 7.40128e-10; avg_err: 8.47584e-11; sd: 7.58102e-10; counts: 81
sfh 0.247998 3.97661e-10 1.15632e-09 3.37173e-10 #avg: 7.24032e-10; avg_err: 8.97675e-11; sd: 8.02905e-10; counts: 81
