#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.501122 (z=0.995522)
#SF Units: 1/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#SF rates divided by final a=0.501122 (z=0.995522) stellar mass
#vmpeak range: 2.95 - 3.11667
#HM    Stats: 1.504410e+14 (median) + 7.926501e+13  / - 2.275000e+13
#SM    Stats: 2.816370e+11 (median) + 9.438301e+10  / - 1.271810e+11
#ObsSM Stats: 2.432900e+11 (median) + 2.139600e+11  / - 1.253450e+11
#VMP   Stats: 9.414000e+02 (median) + 1.298700e+02  / - 3.435004e+01
#ICL   Stats: 1.095610e+11 (median) + 1.468940e+11  / - 5.976610e+10
#SSFR  Stats: 2.229515e-12 (median) + 2.950682e-12  / - 1.349527e-12
sfh 0.055623 0 0 0 #avg: 3.4654e-24; avg_err: 3.4654e-24; sd: 2.24584e-23; counts: 43
sfh 0.060123 0 1.21791e-13 0 #avg: 1.03209e-13; avg_err: 6.84334e-14; sd: 4.43499e-13; counts: 43
sfh 0.062373 1.69971e-18 5.96314e-13 1.69971e-18 #avg: 3.46866e-13; avg_err: 1.66642e-13; sd: 1.07996e-12; counts: 43
sfh 0.064623 1.41831e-13 1.504e-12 1.41831e-13 #avg: 7.94041e-13; avg_err: 2.3684e-13; sd: 1.5349e-12; counts: 43
sfh 0.066873 4.10096e-13 3.75157e-12 4.10096e-13 #avg: 1.87895e-12; avg_err: 4.15419e-13; sd: 2.69223e-12; counts: 43
sfh 0.069123 1.36321e-12 7.30659e-12 1.28867e-12 #avg: 3.64542e-12; avg_err: 8.60221e-13; sd: 5.57487e-12; counts: 43
sfh 0.071373 3.14596e-12 9.8544e-12 2.84469e-12 #avg: 6.37235e-12; avg_err: 1.38075e-12; sd: 8.94829e-12; counts: 43
sfh 0.073623 4.66052e-12 1.01562e-11 3.71877e-12 #avg: 7.66033e-12; avg_err: 1.52316e-12; sd: 9.87119e-12; counts: 43
sfh 0.075873 6.1688e-12 1.72491e-11 4.84622e-12 #avg: 1.39989e-11; avg_err: 3.4601e-12; sd: 2.2424e-11; counts: 43
sfh 0.078123 8.04003e-12 2.34652e-11 5.78218e-12 #avg: 1.7939e-11; avg_err: 4.81037e-12; sd: 3.11748e-11; counts: 43
sfh 0.080373 9.57197e-12 3.20468e-11 6.13026e-12 #avg: 2.03838e-11; avg_err: 3.98122e-12; sd: 2.58013e-11; counts: 43
sfh 0.082623 1.15539e-11 3.37139e-11 7.13905e-12 #avg: 2.34666e-11; avg_err: 5.42352e-12; sd: 3.51484e-11; counts: 43
sfh 0.085998 1.59694e-11 3.39722e-11 9.54466e-12 #avg: 3.18722e-11; avg_err: 7.88131e-12; sd: 5.10767e-11; counts: 43
sfh 0.089373 2.26321e-11 4.59972e-11 1.33737e-11 #avg: 4.4816e-11; avg_err: 1.15377e-11; sd: 7.47731e-11; counts: 43
sfh 0.092748 2.4594e-11 7.57355e-11 1.00749e-11 #avg: 5.28317e-11; avg_err: 1.04626e-11; sd: 6.78055e-11; counts: 43
sfh 0.096123 3.41748e-11 9.78833e-11 1.54218e-11 #avg: 6.20932e-11; avg_err: 1.05444e-11; sd: 6.83356e-11; counts: 43
sfh 0.099498 4.15512e-11 8.74592e-11 1.84289e-11 #avg: 8.43665e-11; avg_err: 1.81347e-11; sd: 1.17526e-10; counts: 43
sfh 0.102873 5.59636e-11 1.02104e-10 2.67638e-11 #avg: 1.1095e-10; avg_err: 2.63148e-11; sd: 1.7054e-10; counts: 43
sfh 0.106248 7.10797e-11 1.10091e-10 3.56897e-11 #avg: 1.42023e-10; avg_err: 3.67314e-11; sd: 2.38046e-10; counts: 43
