#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 9.75 - 10.25
#HM    Stats: 9.799999e+09 (median) + 4.557400e+09  / - 2.963239e+09
#SM    Stats: 1.252080e+06 (median) + 3.456950e+06  / - 1.022554e+06
#ObsSM Stats: 1.231390e+06 (median) + 3.518030e+06  / - 1.007380e+06
#VMP   Stats: 4.184000e+01 (median) + 7.240002e+00  / - 7.689999e+00
#ICL   Stats: 0.000000e+00 (median) + 0.000000e+00  / - 0.000000e+00
#SSFR  Stats: 4.624782e-10 (median) + 6.133422e-10  / - 2.615674e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 6244196
sfh 0.060123 0 0 0 #avg: 1.37852e-12; avg_err: 1.37852e-12; sd: 3.4447e-09; counts: 6244196
sfh 0.062373 0 0 0 #avg: 7.95947e-12; avg_err: 7.95947e-12; sd: 1.98894e-08; counts: 6244196
sfh 0.064623 0 0 0 #avg: 1.26885e-08; avg_err: 1.18732e-08; sd: 2.96692e-05; counts: 6244196
sfh 0.066873 0 0 0 #avg: 7.25848e-08; avg_err: 4.82026e-08; sd: 0.000120451; counts: 6244196
sfh 0.069123 0 0 0 #avg: 1.28613e-07; avg_err: 9.5747e-08; sd: 0.000239256; counts: 6244196
sfh 0.071373 0 0 0 #avg: 1.53891e-07; avg_err: 1.01602e-07; sd: 0.000253887; counts: 6244196
sfh 0.073623 0 0 0 #avg: 1.71113e-07; avg_err: 8.95532e-08; sd: 0.000223779; counts: 6244196
sfh 0.075873 0 0 0 #avg: 3.82169e-07; avg_err: 2.04427e-07; sd: 0.00051083; counts: 6244196
sfh 0.078123 0 0 0 #avg: 4.06619e-07; avg_err: 1.21165e-07; sd: 0.000302771; counts: 6244196
sfh 0.080373 0 0 0 #avg: 5.27568e-07; avg_err: 1.08399e-07; sd: 0.000270873; counts: 6244196
sfh 0.082623 0 0 0 #avg: 9.07394e-07; avg_err: 1.65586e-07; sd: 0.000413772; counts: 6244196
sfh 0.085998 0 0 0 #avg: 1.45245e-06; avg_err: 2.25035e-07; sd: 0.000562325; counts: 6244196
sfh 0.089373 0 0 0 #avg: 2.23594e-06; avg_err: 2.51857e-07; sd: 0.000629351; counts: 6244196
sfh 0.092748 0 0 0 #avg: 3.19859e-06; avg_err: 3.20691e-07; sd: 0.000801355; counts: 6244196
sfh 0.096123 0 0 0 #avg: 4.37958e-06; avg_err: 3.64258e-07; sd: 0.000910221; counts: 6244196
sfh 0.099498 0 0 0 #avg: 6.03972e-06; avg_err: 4.45724e-07; sd: 0.00111379; counts: 6244196
sfh 0.102873 0 0 0 #avg: 7.61624e-06; avg_err: 4.8009e-07; sd: 0.00119967; counts: 6244196
sfh 0.106248 0 0 0 #avg: 1.00085e-05; avg_err: 5.09866e-07; sd: 0.00127407; counts: 6244196
sfh 0.109623 0 0 0 #avg: 1.33619e-05; avg_err: 5.77322e-07; sd: 0.00144264; counts: 6244196
sfh 0.112998 0 0 0 #avg: 1.67057e-05; avg_err: 5.86838e-07; sd: 0.00146641; counts: 6244196
