#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 10.25 - 10.75
#HM    Stats: 3.508820e+10 (median) + 1.413240e+10  / - 1.229410e+10
#SM    Stats: 2.490110e+07 (median) + 3.681280e+07  / - 1.610310e+07
#ObsSM Stats: 2.466120e+07 (median) + 3.984480e+07  / - 1.615748e+07
#VMP   Stats: 6.583000e+01 (median) + 8.689995e+00  / - 8.660004e+00
#ICL   Stats: 1.166300e+04 (median) + 8.805770e+05  / - 1.166300e+04
#SSFR  Stats: 2.164279e-12 (median) + 2.839425e-12  / - 1.263127e-12
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5552
sfh 0.060123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5552
sfh 0.062373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5552
sfh 0.064623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5552
sfh 0.066873 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5552
sfh 0.069123 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5552
sfh 0.071373 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5552
sfh 0.073623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 5552
sfh 0.075873 0 0 0 #avg: 2.50783e-05; avg_err: 2.35714e-05; sd: 0.00175619; counts: 5552
sfh 0.078123 0 0 0 #avg: 3.15477e-05; avg_err: 2.96939e-05; sd: 0.00221234; counts: 5552
sfh 0.080373 0 0 0 #avg: 4.1513e-05; avg_err: 2.75421e-05; sd: 0.00205202; counts: 5552
sfh 0.082623 0 0 0 #avg: 2.07146e-05; avg_err: 1.0844e-05; sd: 0.000807936; counts: 5552
sfh 0.085998 0 0 0 #avg: 6.9675e-05; avg_err: 3.25543e-05; sd: 0.00242546; counts: 5552
sfh 0.089373 0 0 0 #avg: 8.52331e-05; avg_err: 2.72306e-05; sd: 0.00202881; counts: 5552
sfh 0.092748 0 0 0 #avg: 0.00014417; avg_err: 3.38518e-05; sd: 0.00252213; counts: 5552
sfh 0.096123 0 0 0 #avg: 0.00026555; avg_err: 5.54818e-05; sd: 0.00413368; counts: 5552
sfh 0.099498 0 0 0 #avg: 0.000517521; avg_err: 9.13038e-05; sd: 0.00680259; counts: 5552
sfh 0.102873 0 0 0 #avg: 0.000702426; avg_err: 0.000107459; sd: 0.00800624; counts: 5552
sfh 0.106248 0 0 0 #avg: 0.00105091; avg_err: 0.000133906; sd: 0.0099767; counts: 5552
sfh 0.109623 0 0 0 #avg: 0.00140297; avg_err: 0.000134565; sd: 0.0100257; counts: 5552
sfh 0.112998 0 0 0 #avg: 0.00187108; avg_err: 0.000170673; sd: 0.012716; counts: 5552
sfh 0.116373 0 0 0 #avg: 0.00221564; avg_err: 0.000194963; sd: 0.0145258; counts: 5552
sfh 0.119748 0 0 0 #avg: 0.00237534; avg_err: 0.000179436; sd: 0.0133689; counts: 5552
sfh 0.123123 0 0 0 #avg: 0.00267286; avg_err: 0.000173854; sd: 0.012953; counts: 5552
sfh 0.126498 0 0.0012853 0 #avg: 0.00293786; avg_err: 0.00016879; sd: 0.0125757; counts: 5552
sfh 0.129873 0 0.00232901 0 #avg: 0.0031673; avg_err: 0.00016657; sd: 0.0124103; counts: 5552
sfh 0.133248 0 0.00332118 0 #avg: 0.00362297; avg_err: 0.000191207; sd: 0.0142458; counts: 5552
sfh 0.136623 0 0.00431012 0 #avg: 0.00407854; avg_err: 0.000206259; sd: 0.0153673; counts: 5552
sfh 0.141685 0 0.00618402 0 #avg: 0.00460577; avg_err: 0.000219277; sd: 0.0163372; counts: 5552
sfh 0.146748 0 0.00732294 0 #avg: 0.00552314; avg_err: 0.000346385; sd: 0.0258074; counts: 5552
sfh 0.15181 0 0.00852655 0 #avg: 0.00571933; avg_err: 0.000278302; sd: 0.0207349; counts: 5552
