#Type(SFH/ICLH/SM_mp/ICL_mp/HM_mp/SFR_mp/SSFR_mp/ICL_ratio_mp/SM_HM_ratio_mp/fq_mp) Scale Median 1Sig+ 1Sig-
#Halos/galaxies at a=0.668185 (z=0.496592)
#SF Units: Msun/yr
#SFH: Star formation history of present-day stellar population (including merged galaxies).
#ICLH: Star formation history of present-day ICL.
#SM_mp: Stellar mass of main progenitor.
#ICL_mp: ICL of main progenitor.
#HM_mp: Peak halo mass of main progenitor [Msun/h].
#SFR_mp: Star formation rate of main progenitor.
#SSFR_mp: Specific star formation rate of main progenitor.
#ICL_ratio_mp: ICL ratio (ICL/SM) of main progenitor.
#SM_HM_ratio_mp: SM/HM ratio of main progenitor.
#mpeak range: 10.25 - 10.75
#HM    Stats: 2.894120e+10 (median) + 1.504410e+10  / - 8.205900e+09
#SM    Stats: 2.220690e+07 (median) + 5.138080e+07  / - 1.497878e+07
#ObsSM Stats: 2.200290e+07 (median) + 5.255050e+07  / - 1.506199e+07
#VMP   Stats: 6.129000e+01 (median) + 1.111000e+01  / - 8.549999e+00
#ICL   Stats: 1.119470e+01 (median) + 5.651318e+05  / - 1.119470e+01
#SSFR  Stats: 3.710653e-10 (median) + 3.649384e-10  / - 1.852573e-10
sfh 0.055623 0 0 0 #avg: 0; avg_err: 0; sd: 0; counts: 700944
sfh 0.060123 0 0 0 #avg: 2.11197e-08; avg_err: 2.11197e-08; sd: 1.76819e-05; counts: 700944
sfh 0.062373 0 0 0 #avg: 2.54421e-07; avg_err: 1.83369e-07; sd: 0.00015352; counts: 700944
sfh 0.064623 0 0 0 #avg: 3.37554e-07; avg_err: 2.03696e-07; sd: 0.000170539; counts: 700944
sfh 0.066873 0 0 0 #avg: 6.58731e-07; avg_err: 3.58167e-07; sd: 0.000299866; counts: 700944
sfh 0.069123 0 0 0 #avg: 1.88096e-06; avg_err: 6.4232e-07; sd: 0.000537765; counts: 700944
sfh 0.071373 0 0 0 #avg: 4.93428e-06; avg_err: 1.21042e-06; sd: 0.00101339; counts: 700944
sfh 0.073623 0 0 0 #avg: 1.05063e-05; avg_err: 2.35246e-06; sd: 0.00196953; counts: 700944
sfh 0.075873 0 0 0 #avg: 1.95767e-05; avg_err: 3.98619e-06; sd: 0.00333733; counts: 700944
sfh 0.078123 0 0 0 #avg: 2.74012e-05; avg_err: 3.4504e-06; sd: 0.00288875; counts: 700944
sfh 0.080373 0 0 0 #avg: 4.68577e-05; avg_err: 5.13013e-06; sd: 0.00429507; counts: 700944
sfh 0.082623 0 0 0 #avg: 7.10339e-05; avg_err: 7.556e-06; sd: 0.00632606; counts: 700944
sfh 0.085998 0 0 0 #avg: 0.000134078; avg_err: 1.0056e-05; sd: 0.00841909; counts: 700944
sfh 0.089373 0 0 0 #avg: 0.000214837; avg_err: 9.16797e-06; sd: 0.00767563; counts: 700944
sfh 0.092748 0 0 0 #avg: 0.000331107; avg_err: 9.63324e-06; sd: 0.00806517; counts: 700944
sfh 0.096123 0 0 0 #avg: 0.000500356; avg_err: 1.26745e-05; sd: 0.0106114; counts: 700944
sfh 0.099498 0 0 0 #avg: 0.000710846; avg_err: 1.4098e-05; sd: 0.0118032; counts: 700944
sfh 0.102873 0 0 0 #avg: 0.000963277; avg_err: 1.49754e-05; sd: 0.0125378; counts: 700944
sfh 0.106248 0 0 0 #avg: 0.00129054; avg_err: 1.80804e-05; sd: 0.0151373; counts: 700944
sfh 0.109623 0 0 0 #avg: 0.00164436; avg_err: 1.95026e-05; sd: 0.016328; counts: 700944
sfh 0.112998 0 0 0 #avg: 0.00198595; avg_err: 2.06849e-05; sd: 0.0173179; counts: 700944
sfh 0.116373 0 0 0 #avg: 0.0023135; avg_err: 2.20323e-05; sd: 0.018446; counts: 700944
